cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size      147, 2081221 req, miss ratio 0.7551, byte miss ratio 0.7551
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size      441, 2081221 req, miss ratio 0.6456, byte miss ratio 0.6456
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size     1472, 2081221 req, miss ratio 0.4996, byte miss ratio 0.4996
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size     4417, 2081221 req, miss ratio 0.3607, byte miss ratio 0.3607
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size    14725, 2081221 req, miss ratio 0.2182, byte miss ratio 0.2182
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size    29451, 2081221 req, miss ratio 0.1465, byte miss ratio 0.1465
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size    58902, 2081221 req, miss ratio 0.0976, byte miss ratio 0.0976
cdn1_colo28.ns1842 S3FIFO-0.3000-0.9000 cache size   117805, 2081221 req, miss ratio 0.0725, byte miss ratio 0.0725
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size      147, 2081221 req, miss ratio 0.7456, byte miss ratio 0.7456
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size      441, 2081221 req, miss ratio 0.6357, byte miss ratio 0.6357
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size     1472, 2081221 req, miss ratio 0.4888, byte miss ratio 0.4888
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size     4417, 2081221 req, miss ratio 0.3513, byte miss ratio 0.3513
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size    14725, 2081221 req, miss ratio 0.2097, byte miss ratio 0.2097
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size    29451, 2081221 req, miss ratio 0.1407, byte miss ratio 0.1407
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size    58902, 2081221 req, miss ratio 0.0961, byte miss ratio 0.0961
cdn1_colo28.ns1842 S3FIFO-0.2000-0.9000 cache size   117805, 2081221 req, miss ratio 0.0725, byte miss ratio 0.0725
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size      147, 2081221 req, miss ratio 0.8753, byte miss ratio 0.8753
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size      441, 2081221 req, miss ratio 0.7685, byte miss ratio 0.7685
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size     1472, 2081221 req, miss ratio 0.6166, byte miss ratio 0.6166
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size     4417, 2081221 req, miss ratio 0.4616, byte miss ratio 0.4616
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size    14725, 2081221 req, miss ratio 0.2858, byte miss ratio 0.2858
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size    29451, 2081221 req, miss ratio 0.1929, byte miss ratio 0.1929
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size    58902, 2081221 req, miss ratio 0.1246, byte miss ratio 0.1246
cdn1_colo28.ns1842 S3FIFO-0.9500-1.9000 cache size   117805, 2081221 req, miss ratio 0.0799, byte miss ratio 0.0799
