io_traces.ns668 S3FIFO-0.7000-0.9000 cache size      182, 2600000 req, miss ratio 0.7714, byte miss ratio 0.7714
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size      547, 2600000 req, miss ratio 0.7273, byte miss ratio 0.7273
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size     1825, 2600000 req, miss ratio 0.6957, byte miss ratio 0.6957
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size     5476, 2600000 req, miss ratio 0.6565, byte miss ratio 0.6565
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size    18253, 2600000 req, miss ratio 0.4123, byte miss ratio 0.4123
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size    36507, 2600000 req, miss ratio 0.2782, byte miss ratio 0.2782
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size    73014, 2600000 req, miss ratio 0.1308, byte miss ratio 0.1308
io_traces.ns668 S3FIFO-0.7000-0.9000 cache size   146028, 2600000 req, miss ratio 0.0733, byte miss ratio 0.0733
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size      182, 2600000 req, miss ratio 0.7357, byte miss ratio 0.7357
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size      547, 2600000 req, miss ratio 0.7160, byte miss ratio 0.7160
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size     1825, 2600000 req, miss ratio 0.6505, byte miss ratio 0.6505
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size     5476, 2600000 req, miss ratio 0.5692, byte miss ratio 0.5692
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size    18253, 2600000 req, miss ratio 0.4041, byte miss ratio 0.4041
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size    36507, 2600000 req, miss ratio 0.2735, byte miss ratio 0.2735
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size    73014, 2600000 req, miss ratio 0.1140, byte miss ratio 0.1140
io_traces.ns668 S3FIFO-0.3000-1.9000 cache size   146028, 2600000 req, miss ratio 0.0712, byte miss ratio 0.0712
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size      182, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size      547, 2600000 req, miss ratio 0.7095, byte miss ratio 0.7095
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size     1825, 2600000 req, miss ratio 0.6252, byte miss ratio 0.6252
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size     5476, 2600000 req, miss ratio 0.5225, byte miss ratio 0.5225
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size    18253, 2600000 req, miss ratio 0.3976, byte miss ratio 0.3976
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size    36507, 2600000 req, miss ratio 0.2826, byte miss ratio 0.2826
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size    73014, 2600000 req, miss ratio 0.1183, byte miss ratio 0.1183
io_traces.ns668 S3FIFO-0.0050-1.9000 cache size   146028, 2600000 req, miss ratio 0.0719, byte miss ratio 0.0719
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size      182, 2600000 req, miss ratio 0.7477, byte miss ratio 0.7477
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size      547, 2600000 req, miss ratio 0.7110, byte miss ratio 0.7110
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size     1825, 2600000 req, miss ratio 0.6393, byte miss ratio 0.6393
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size     5476, 2600000 req, miss ratio 0.5293, byte miss ratio 0.5293
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size    18253, 2600000 req, miss ratio 0.4019, byte miss ratio 0.4019
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size    36507, 2600000 req, miss ratio 0.2787, byte miss ratio 0.2787
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size    73014, 2600000 req, miss ratio 0.1065, byte miss ratio 0.1065
io_traces.ns668 S3FIFO-0.1000-0.9000 cache size   146028, 2600000 req, miss ratio 0.0717, byte miss ratio 0.0717
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size      182, 2600000 req, miss ratio 0.8669, byte miss ratio 0.8669
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size      547, 2600000 req, miss ratio 0.8012, byte miss ratio 0.8012
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size     1825, 2600000 req, miss ratio 0.7516, byte miss ratio 0.7516
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size     5476, 2600000 req, miss ratio 0.6723, byte miss ratio 0.6723
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size    18253, 2600000 req, miss ratio 0.4194, byte miss ratio 0.4194
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size    36507, 2600000 req, miss ratio 0.2960, byte miss ratio 0.2960
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size    73014, 2600000 req, miss ratio 0.1450, byte miss ratio 0.1450
io_traces.ns668 S3FIFO-0.9900-1.9000 cache size   146028, 2600000 req, miss ratio 0.0832, byte miss ratio 0.0832
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size      182, 2600000 req, miss ratio 0.7343, byte miss ratio 0.7343
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size      547, 2600000 req, miss ratio 0.7125, byte miss ratio 0.7125
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size     1825, 2600000 req, miss ratio 0.6389, byte miss ratio 0.6389
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size     5476, 2600000 req, miss ratio 0.5517, byte miss ratio 0.5517
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size    18253, 2600000 req, miss ratio 0.4099, byte miss ratio 0.4099
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size    36507, 2600000 req, miss ratio 0.2763, byte miss ratio 0.2763
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size    73014, 2600000 req, miss ratio 0.1102, byte miss ratio 0.1102
io_traces.ns668 S3FIFO-0.2000-1.9000 cache size   146028, 2600000 req, miss ratio 0.0711, byte miss ratio 0.0711
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size      182, 2600000 req, miss ratio 0.7455, byte miss ratio 0.7455
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size      547, 2600000 req, miss ratio 0.7209, byte miss ratio 0.7209
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size     1825, 2600000 req, miss ratio 0.6699, byte miss ratio 0.6699
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size     5476, 2600000 req, miss ratio 0.6051, byte miss ratio 0.6051
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size    18253, 2600000 req, miss ratio 0.4047, byte miss ratio 0.4047
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size    36507, 2600000 req, miss ratio 0.2697, byte miss ratio 0.2697
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size    73014, 2600000 req, miss ratio 0.1201, byte miss ratio 0.1201
io_traces.ns668 S3FIFO-0.4500-1.9000 cache size   146028, 2600000 req, miss ratio 0.0716, byte miss ratio 0.0716
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size      182, 2600000 req, miss ratio 0.7583, byte miss ratio 0.7583
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size      547, 2600000 req, miss ratio 0.7250, byte miss ratio 0.7250
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size     1825, 2600000 req, miss ratio 0.6837, byte miss ratio 0.6837
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size     5476, 2600000 req, miss ratio 0.6229, byte miss ratio 0.6229
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size    18253, 2600000 req, miss ratio 0.4112, byte miss ratio 0.4112
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size    36507, 2600000 req, miss ratio 0.2738, byte miss ratio 0.2738
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size    73014, 2600000 req, miss ratio 0.1267, byte miss ratio 0.1267
io_traces.ns668 S3FIFO-0.6000-0.9000 cache size   146028, 2600000 req, miss ratio 0.0723, byte miss ratio 0.0723
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size      182, 2600000 req, miss ratio 0.8281, byte miss ratio 0.8281
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size      547, 2600000 req, miss ratio 0.7617, byte miss ratio 0.7617
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size     1825, 2600000 req, miss ratio 0.7185, byte miss ratio 0.7185
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size     5476, 2600000 req, miss ratio 0.6786, byte miss ratio 0.6786
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size    18253, 2600000 req, miss ratio 0.4168, byte miss ratio 0.4168
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size    36507, 2600000 req, miss ratio 0.2930, byte miss ratio 0.2930
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size    73014, 2600000 req, miss ratio 0.1401, byte miss ratio 0.1401
io_traces.ns668 S3FIFO-0.9000-0.9000 cache size   146028, 2600000 req, miss ratio 0.0808, byte miss ratio 0.0808
io_traces.ns668 S3FIFO-0.5000-1.9000 cache size      182, 2600000 req, miss ratio 0.7489, byte miss ratio 0.7489
io_traces.ns668 S3FIFO-0.5000-1.9000 cache size      547, 2600000 req, miss ratio 0.7223, byte miss ratio 0.7223
io_traces.ns668 S3FIFO-0.5000-1.9000 cache size     1825, 2600000 req, miss ratio 0.6764, byte miss ratio 0.6764
io_traces.ns668 S3FIFO-0.5000-1.9000 cache size     5476, 2600000 req, miss ratio 0.6199, byte miss ratio 0.6199
