tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size     2065, 61851829 req, miss ratio 0.8203, byte miss ratio 0.8203
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size     6196, 61851829 req, miss ratio 0.7297, byte miss ratio 0.7297
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size    20654, 61851829 req, miss ratio 0.5858, byte miss ratio 0.5858
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size    61964, 61851829 req, miss ratio 0.4341, byte miss ratio 0.4341
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size   206548, 61851829 req, miss ratio 0.2390, byte miss ratio 0.2390
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size   413096, 61851829 req, miss ratio 0.1373, byte miss ratio 0.1373
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size   826193, 61851829 req, miss ratio 0.0589, byte miss ratio 0.0589
tencentBlock.ns3900 S3FIFO-0.1500-1.9000 cache size  1652386, 61851829 req, miss ratio 0.0353, byte miss ratio 0.0353
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size     2065, 61851829 req, miss ratio 0.8417, byte miss ratio 0.8417
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size     6196, 61851829 req, miss ratio 0.7505, byte miss ratio 0.7505
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size    20654, 61851829 req, miss ratio 0.6303, byte miss ratio 0.6303
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size    61964, 61851829 req, miss ratio 0.4880, byte miss ratio 0.4880
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size   206548, 61851829 req, miss ratio 0.2702, byte miss ratio 0.2702
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size   413096, 61851829 req, miss ratio 0.1561, byte miss ratio 0.1561
tencentBlock.ns3900 S3FIFO-0.9500-0.9000 cache size   826193, 61851829 req, miss ratio 0.0799, byte miss ratio 0.0799
