cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.3500-1.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.4500-0.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9900-0.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.5500-0.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.0500-1.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size  2809933, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.9000-1.9000 cache size  5619867, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size     7024, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size    21074, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size    70248, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size   210745, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size   702483, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
cdn1_colo28.ns49 S3FIFO-0.8500-1.9000 cache size  1404966, 7026517 req, miss ratio 0.9998, byte miss ratio 0.9998
