cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6500-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.5500-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size      721, 34314007 req, miss ratio 0.0230, byte miss ratio 0.0230
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size     2163, 34314007 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.8500-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7500-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size      721, 34314007 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.9900-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.2000-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size      721, 34314007 req, miss ratio 0.0230, byte miss ratio 0.0230
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size     2163, 34314007 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0050-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.3500-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.7000-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size      721, 34314007 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size     2163, 34314007 req, miss ratio 0.0246, byte miss ratio 0.0246
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size     7212, 34314007 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.0010-0.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size      721, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size     2163, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size     7212, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size    21636, 34314007 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size    72120, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size   144241, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size   288482, 34314007 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns8 S3FIFO-0.6000-1.9000 cache size   576965, 34314007 req, miss ratio 0.0210, byte miss ratio 0.0210
