cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size      102, 2949513 req, miss ratio 0.3259, byte miss ratio 0.3259
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size      308, 2949513 req, miss ratio 0.2373, byte miss ratio 0.2373
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size     1027, 2949513 req, miss ratio 0.1568, byte miss ratio 0.1568
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size     3082, 2949513 req, miss ratio 0.1001, byte miss ratio 0.1001
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size    10276, 2949513 req, miss ratio 0.0597, byte miss ratio 0.0597
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size    20552, 2949513 req, miss ratio 0.0455, byte miss ratio 0.0455
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size    41104, 2949513 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_allcolo.ns1924 S3FIFO-0.7500-1.9000 cache size    82209, 2949513 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size      102, 2949513 req, miss ratio 0.2728, byte miss ratio 0.2728
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size      308, 2949513 req, miss ratio 0.1954, byte miss ratio 0.1954
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size     1027, 2949513 req, miss ratio 0.1280, byte miss ratio 0.1280
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size     3082, 2949513 req, miss ratio 0.0823, byte miss ratio 0.0823
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size    10276, 2949513 req, miss ratio 0.0505, byte miss ratio 0.0505
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size    20552, 2949513 req, miss ratio 0.0414, byte miss ratio 0.0414
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size    41104, 2949513 req, miss ratio 0.0365, byte miss ratio 0.0365
cdn1_allcolo.ns1924 S3FIFO-0.0100-1.9000 cache size    82209, 2949513 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size      102, 2949513 req, miss ratio 0.3630, byte miss ratio 0.3630
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size      308, 2949513 req, miss ratio 0.2643, byte miss ratio 0.2643
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size     1027, 2949513 req, miss ratio 0.1751, byte miss ratio 0.1751
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size     3082, 2949513 req, miss ratio 0.1130, byte miss ratio 0.1130
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size    10276, 2949513 req, miss ratio 0.0680, byte miss ratio 0.0680
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size    20552, 2949513 req, miss ratio 0.0517, byte miss ratio 0.0517
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size    41104, 2949513 req, miss ratio 0.0419, byte miss ratio 0.0419
cdn1_allcolo.ns1924 S3FIFO-0.9900-1.9000 cache size    82209, 2949513 req, miss ratio 0.0367, byte miss ratio 0.0367
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size      102, 2949513 req, miss ratio 0.3400, byte miss ratio 0.3400
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size      308, 2949513 req, miss ratio 0.2470, byte miss ratio 0.2470
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size     1027, 2949513 req, miss ratio 0.1636, byte miss ratio 0.1636
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size     3082, 2949513 req, miss ratio 0.1049, byte miss ratio 0.1049
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size    10276, 2949513 req, miss ratio 0.0627, byte miss ratio 0.0627
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size    20552, 2949513 req, miss ratio 0.0477, byte miss ratio 0.0477
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size    41104, 2949513 req, miss ratio 0.0392, byte miss ratio 0.0392
cdn1_allcolo.ns1924 S3FIFO-0.8500-1.9000 cache size    82209, 2949513 req, miss ratio 0.0351, byte miss ratio 0.0351
