tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size       70, 2202635 req, miss ratio 0.4525, byte miss ratio 0.4525
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size      212, 2202635 req, miss ratio 0.2778, byte miss ratio 0.2778
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size      708, 2202635 req, miss ratio 0.2092, byte miss ratio 0.2092
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size     2126, 2202635 req, miss ratio 0.1951, byte miss ratio 0.1951
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size     7086, 2202635 req, miss ratio 0.1818, byte miss ratio 0.1818
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size    14173, 2202635 req, miss ratio 0.1758, byte miss ratio 0.1758
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size    28346, 2202635 req, miss ratio 0.1496, byte miss ratio 0.1496
tencentBlock.ns12411 S3FIFO-0.6000-0.9000 cache size    56693, 2202635 req, miss ratio 0.0535, byte miss ratio 0.0535
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size       70, 2202635 req, miss ratio 0.3801, byte miss ratio 0.3801
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size      212, 2202635 req, miss ratio 0.2589, byte miss ratio 0.2589
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size      708, 2202635 req, miss ratio 0.2036, byte miss ratio 0.2036
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size     2126, 2202635 req, miss ratio 0.1890, byte miss ratio 0.1890
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size     7086, 2202635 req, miss ratio 0.1776, byte miss ratio 0.1776
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size    14173, 2202635 req, miss ratio 0.1769, byte miss ratio 0.1769
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size    28346, 2202635 req, miss ratio 0.1535, byte miss ratio 0.1535
tencentBlock.ns12411 S3FIFO-0.2500-1.9000 cache size    56693, 2202635 req, miss ratio 0.0476, byte miss ratio 0.0476
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size       70, 2202635 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size      212, 2202635 req, miss ratio 0.2621, byte miss ratio 0.2621
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size      708, 2202635 req, miss ratio 0.2208, byte miss ratio 0.2208
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size     2126, 2202635 req, miss ratio 0.2011, byte miss ratio 0.2011
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size     7086, 2202635 req, miss ratio 0.1703, byte miss ratio 0.1703
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size    14173, 2202635 req, miss ratio 0.1569, byte miss ratio 0.1569
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size    28346, 2202635 req, miss ratio 0.1241, byte miss ratio 0.1241
tencentBlock.ns12411 S3FIFO-0.0050-0.9000 cache size    56693, 2202635 req, miss ratio 0.0424, byte miss ratio 0.0424
tencentBlock.ns12411 S3FIFO-0.8500-0.9000 cache size       70, 2202635 req, miss ratio 0.4903, byte miss ratio 0.4903
tencentBlock.ns12411 S3FIFO-0.8500-0.9000 cache size      212, 2202635 req, miss ratio 0.3132, byte miss ratio 0.3132
tencentBlock.ns12411 S3FIFO-0.8500-0.9000 cache size      708, 2202635 req, miss ratio 0.2236, byte miss ratio 0.2236
