tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size     1112, 9540350 req, miss ratio 0.7735, byte miss ratio 0.7735
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size     3338, 9540350 req, miss ratio 0.7114, byte miss ratio 0.7114
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size    11129, 9540350 req, miss ratio 0.6110, byte miss ratio 0.6110
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size    33387, 9540350 req, miss ratio 0.4553, byte miss ratio 0.4553
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size   111290, 9540350 req, miss ratio 0.2904, byte miss ratio 0.2904
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size   222580, 9540350 req, miss ratio 0.2024, byte miss ratio 0.2024
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size   445161, 9540350 req, miss ratio 0.1418, byte miss ratio 0.1418
tencentBlock.ns3204 S3FIFO-0.3500-0.9000 cache size   890322, 9540350 req, miss ratio 0.1177, byte miss ratio 0.1177
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size     1112, 9540350 req, miss ratio 0.7905, byte miss ratio 0.7905
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size     3338, 9540350 req, miss ratio 0.7449, byte miss ratio 0.7449
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size    11129, 9540350 req, miss ratio 0.6628, byte miss ratio 0.6628
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size    33387, 9540350 req, miss ratio 0.5136, byte miss ratio 0.5136
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size   111290, 9540350 req, miss ratio 0.3179, byte miss ratio 0.3179
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size   222580, 9540350 req, miss ratio 0.2177, byte miss ratio 0.2177
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size   445161, 9540350 req, miss ratio 0.1493, byte miss ratio 0.1493
tencentBlock.ns3204 S3FIFO-0.6000-1.9000 cache size   890322, 9540350 req, miss ratio 0.1177, byte miss ratio 0.1177
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size     1112, 9540350 req, miss ratio 0.8063, byte miss ratio 0.8063
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size     3338, 9540350 req, miss ratio 0.7722, byte miss ratio 0.7722
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size    11129, 9540350 req, miss ratio 0.6927, byte miss ratio 0.6927
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size    33387, 9540350 req, miss ratio 0.5546, byte miss ratio 0.5546
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size   111290, 9540350 req, miss ratio 0.3502, byte miss ratio 0.3502
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size   222580, 9540350 req, miss ratio 0.2446, byte miss ratio 0.2446
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size   445161, 9540350 req, miss ratio 0.1649, byte miss ratio 0.1649
tencentBlock.ns3204 S3FIFO-0.9000-0.9000 cache size   890322, 9540350 req, miss ratio 0.1225, byte miss ratio 0.1225
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size     1112, 9540350 req, miss ratio 0.7624, byte miss ratio 0.7624
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size     3338, 9540350 req, miss ratio 0.6896, byte miss ratio 0.6896
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size    11129, 9540350 req, miss ratio 0.5692, byte miss ratio 0.5692
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size    33387, 9540350 req, miss ratio 0.4343, byte miss ratio 0.4343
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size   111290, 9540350 req, miss ratio 0.2777, byte miss ratio 0.2777
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size   222580, 9540350 req, miss ratio 0.1972, byte miss ratio 0.1972
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size   445161, 9540350 req, miss ratio 0.1396, byte miss ratio 0.1396
tencentBlock.ns3204 S3FIFO-0.0100-1.9000 cache size   890322, 9540350 req, miss ratio 0.1177, byte miss ratio 0.1177
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size     1112, 9540350 req, miss ratio 0.7824, byte miss ratio 0.7824
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size     3338, 9540350 req, miss ratio 0.7281, byte miss ratio 0.7281
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size    11129, 9540350 req, miss ratio 0.6457, byte miss ratio 0.6457
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size    33387, 9540350 req, miss ratio 0.4908, byte miss ratio 0.4908
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size   111290, 9540350 req, miss ratio 0.3026, byte miss ratio 0.3026
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size   222580, 9540350 req, miss ratio 0.2076, byte miss ratio 0.2076
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size   445161, 9540350 req, miss ratio 0.1438, byte miss ratio 0.1438
tencentBlock.ns3204 S3FIFO-0.4500-1.9000 cache size   890322, 9540350 req, miss ratio 0.1177, byte miss ratio 0.1177
tencentBlock.ns3204 S3FIFO-0.4500-0.9000 cache size     1112, 9540350 req, miss ratio 0.7790, byte miss ratio 0.7790
