tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size      256, 3176933 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size      770, 3176933 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size     2568, 3176933 req, miss ratio 0.3272, byte miss ratio 0.3272
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size     7706, 3176933 req, miss ratio 0.2263, byte miss ratio 0.2263
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size    25686, 3176933 req, miss ratio 0.1889, byte miss ratio 0.1889
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size    51373, 3176933 req, miss ratio 0.1437, byte miss ratio 0.1437
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size   102747, 3176933 req, miss ratio 0.1005, byte miss ratio 0.1005
tencentBlock.ns9310 S3FIFO-0.0010-0.9000 cache size   205494, 3176933 req, miss ratio 0.0829, byte miss ratio 0.0829
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size      256, 3176933 req, miss ratio 0.4323, byte miss ratio 0.4323
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size      770, 3176933 req, miss ratio 0.3768, byte miss ratio 0.3768
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size     2568, 3176933 req, miss ratio 0.3412, byte miss ratio 0.3412
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size     7706, 3176933 req, miss ratio 0.2830, byte miss ratio 0.2830
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size    25686, 3176933 req, miss ratio 0.2095, byte miss ratio 0.2095
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size    51373, 3176933 req, miss ratio 0.1572, byte miss ratio 0.1572
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size   102747, 3176933 req, miss ratio 0.0986, byte miss ratio 0.0986
tencentBlock.ns9310 S3FIFO-0.9900-1.9000 cache size   205494, 3176933 req, miss ratio 0.0898, byte miss ratio 0.0898
tencentBlock.ns9310 S3FIFO-0.5000-0.9000 cache size      256, 3176933 req, miss ratio 0.3654, byte miss ratio 0.3654
tencentBlock.ns9310 S3FIFO-0.5000-0.9000 cache size      770, 3176933 req, miss ratio 0.3406, byte miss ratio 0.3406
tencentBlock.ns9310 S3FIFO-0.5000-0.9000 cache size     2568, 3176933 req, miss ratio 0.3168, byte miss ratio 0.3168
tencentBlock.ns9310 S3FIFO-0.5000-0.9000 cache size     7706, 3176933 req, miss ratio 0.2415, byte miss ratio 0.2415
