cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2423, byte miss ratio 0.2423
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2400, byte miss ratio 0.2400
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2387, byte miss ratio 0.2387
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2383, byte miss ratio 0.2383
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.7000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size     1071, 4501951 req, miss ratio 0.2426, byte miss ratio 0.2426
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size     3215, 4501951 req, miss ratio 0.2401, byte miss ratio 0.2401
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size    10718, 4501951 req, miss ratio 0.2388, byte miss ratio 0.2388
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size    32155, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.7500-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size     1071, 4501951 req, miss ratio 0.2408, byte miss ratio 0.2408
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size     3215, 4501951 req, miss ratio 0.2393, byte miss ratio 0.2393
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size    10718, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.2500-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size     1071, 4501951 req, miss ratio 0.2446, byte miss ratio 0.2446
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size     3215, 4501951 req, miss ratio 0.2408, byte miss ratio 0.2408
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size    10718, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size    32155, 4501951 req, miss ratio 0.2385, byte miss ratio 0.2385
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size   107184, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.9000-1.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size     1071, 4501951 req, miss ratio 0.2407, byte miss ratio 0.2407
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size     3215, 4501951 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.1500-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size     3215, 4501951 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0500-0.9000 cache size   857476, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size     1071, 4501951 req, miss ratio 0.2405, byte miss ratio 0.2405
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size     3215, 4501951 req, miss ratio 0.2391, byte miss ratio 0.2391
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size    10718, 4501951 req, miss ratio 0.2384, byte miss ratio 0.2384
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size    32155, 4501951 req, miss ratio 0.2382, byte miss ratio 0.2382
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size   107184, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size   214369, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn1_allcolo.ns1029 S3FIFO-0.0100-0.9000 cache size   428738, 4501951 req, miss ratio 0.2381, byte miss ratio 0.2381
