tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size       64, 2089846 req, miss ratio 0.5219, byte miss ratio 0.5219
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size      192, 2089846 req, miss ratio 0.4374, byte miss ratio 0.4374
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size      640, 2089846 req, miss ratio 0.2385, byte miss ratio 0.2385
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size     1921, 2089846 req, miss ratio 0.2110, byte miss ratio 0.2110
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size     6406, 2089846 req, miss ratio 0.2024, byte miss ratio 0.2024
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size    12813, 2089846 req, miss ratio 0.1907, byte miss ratio 0.1907
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size    25626, 2089846 req, miss ratio 0.1695, byte miss ratio 0.1695
tencentBlock.ns19304 S3FIFO-0.5000-0.9000 cache size    51252, 2089846 req, miss ratio 0.0805, byte miss ratio 0.0805
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size       64, 2089846 req, miss ratio 0.5207, byte miss ratio 0.5207
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size      192, 2089846 req, miss ratio 0.4386, byte miss ratio 0.4386
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size      640, 2089846 req, miss ratio 0.2371, byte miss ratio 0.2371
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size     1921, 2089846 req, miss ratio 0.2088, byte miss ratio 0.2088
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size     6406, 2089846 req, miss ratio 0.2020, byte miss ratio 0.2020
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size    12813, 2089846 req, miss ratio 0.2034, byte miss ratio 0.2034
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size    25626, 2089846 req, miss ratio 0.1705, byte miss ratio 0.1705
tencentBlock.ns19304 S3FIFO-0.4500-1.9000 cache size    51252, 2089846 req, miss ratio 0.0827, byte miss ratio 0.0827
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size       64, 2089846 req, miss ratio 0.5424, byte miss ratio 0.5424
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size      192, 2089846 req, miss ratio 0.4556, byte miss ratio 0.4556
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size      640, 2089846 req, miss ratio 0.2420, byte miss ratio 0.2420
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size     1921, 2089846 req, miss ratio 0.2143, byte miss ratio 0.2143
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size     6406, 2089846 req, miss ratio 0.2033, byte miss ratio 0.2033
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size    12813, 2089846 req, miss ratio 0.2028, byte miss ratio 0.2028
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size    25626, 2089846 req, miss ratio 0.1706, byte miss ratio 0.1706
tencentBlock.ns19304 S3FIFO-0.6000-1.9000 cache size    51252, 2089846 req, miss ratio 0.0780, byte miss ratio 0.0780
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size       64, 2089846 req, miss ratio 0.5790, byte miss ratio 0.5790
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size      192, 2089846 req, miss ratio 0.4708, byte miss ratio 0.4708
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size      640, 2089846 req, miss ratio 0.2472, byte miss ratio 0.2472
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size     1921, 2089846 req, miss ratio 0.2257, byte miss ratio 0.2257
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size     6406, 2089846 req, miss ratio 0.2047, byte miss ratio 0.2047
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size    12813, 2089846 req, miss ratio 0.2015, byte miss ratio 0.2015
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size    25626, 2089846 req, miss ratio 0.1680, byte miss ratio 0.1680
tencentBlock.ns19304 S3FIFO-0.7500-0.9000 cache size    51252, 2089846 req, miss ratio 0.0832, byte miss ratio 0.0832
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size       64, 2089846 req, miss ratio 0.5043, byte miss ratio 0.5043
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size      192, 2089846 req, miss ratio 0.3734, byte miss ratio 0.3734
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size      640, 2089846 req, miss ratio 0.2345, byte miss ratio 0.2345
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size     1921, 2089846 req, miss ratio 0.2072, byte miss ratio 0.2072
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size     6406, 2089846 req, miss ratio 0.1920, byte miss ratio 0.1920
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size    12813, 2089846 req, miss ratio 0.1691, byte miss ratio 0.1691
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size    25626, 2089846 req, miss ratio 0.1595, byte miss ratio 0.1595
tencentBlock.ns19304 S3FIFO-0.0250-1.9000 cache size    51252, 2089846 req, miss ratio 0.0752, byte miss ratio 0.0752
tencentBlock.ns19304 S3FIFO-0.9500-1.9000 cache size       64, 2089846 req, miss ratio 0.6255, byte miss ratio 0.6255
tencentBlock.ns19304 S3FIFO-0.9500-1.9000 cache size      192, 2089846 req, miss ratio 0.4750, byte miss ratio 0.4750
tencentBlock.ns19304 S3FIFO-0.9500-1.9000 cache size      640, 2089846 req, miss ratio 0.2671, byte miss ratio 0.2671
