io_traces.ns236 S3FIFO-0.5500-0.9000 cache size     1462, 35400000 req, miss ratio 0.1913, byte miss ratio 0.1913
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size     4386, 35400000 req, miss ratio 0.1898, byte miss ratio 0.1898
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size    14622, 35400000 req, miss ratio 0.1842, byte miss ratio 0.1842
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size    43867, 35400000 req, miss ratio 0.1470, byte miss ratio 0.1470
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size   146223, 35400000 req, miss ratio 0.0860, byte miss ratio 0.0860
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size   292447, 35400000 req, miss ratio 0.0644, byte miss ratio 0.0644
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size   584895, 35400000 req, miss ratio 0.0545, byte miss ratio 0.0545
io_traces.ns236 S3FIFO-0.5500-0.9000 cache size  1169790, 35400000 req, miss ratio 0.0432, byte miss ratio 0.0432
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size     1462, 35400000 req, miss ratio 0.1919, byte miss ratio 0.1919
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size     4386, 35400000 req, miss ratio 0.1889, byte miss ratio 0.1889
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size    14622, 35400000 req, miss ratio 0.1823, byte miss ratio 0.1823
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size    43867, 35400000 req, miss ratio 0.1507, byte miss ratio 0.1507
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size   146223, 35400000 req, miss ratio 0.1022, byte miss ratio 0.1022
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size   292447, 35400000 req, miss ratio 0.0725, byte miss ratio 0.0725
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size   584895, 35400000 req, miss ratio 0.0566, byte miss ratio 0.0566
io_traces.ns236 S3FIFO-0.0500-1.9000 cache size  1169790, 35400000 req, miss ratio 0.0434, byte miss ratio 0.0434
io_traces.ns236 S3FIFO-0.8000-0.9000 cache size     1462, 35400000 req, miss ratio 0.1921, byte miss ratio 0.1921
