cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size        6, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size       22, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size       67, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size      223, 5671227 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size      447, 5671227 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size      894, 5671227 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1308 S3FIFO-0.0100-1.9000 cache size     1788, 5671227 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size        6, 5671227 req, miss ratio 0.5625, byte miss ratio 0.5625
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size       22, 5671227 req, miss ratio 0.2757, byte miss ratio 0.2757
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size       67, 5671227 req, miss ratio 0.0508, byte miss ratio 0.0508
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size      223, 5671227 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size      447, 5671227 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size      894, 5671227 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns1308 S3FIFO-0.7000-1.9000 cache size     1788, 5671227 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size        6, 5671227 req, miss ratio 0.5818, byte miss ratio 0.5818
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size       22, 5671227 req, miss ratio 0.2950, byte miss ratio 0.2950
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size       67, 5671227 req, miss ratio 0.0605, byte miss ratio 0.0605
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size      223, 5671227 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size      447, 5671227 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size      894, 5671227 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1308 S3FIFO-0.9000-0.9000 cache size     1788, 5671227 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size        6, 5671227 req, miss ratio 0.5818, byte miss ratio 0.5818
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size       22, 5671227 req, miss ratio 0.2905, byte miss ratio 0.2905
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size       67, 5671227 req, miss ratio 0.0580, byte miss ratio 0.0580
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size      223, 5671227 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size      447, 5671227 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size      894, 5671227 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1308 S3FIFO-0.8500-0.9000 cache size     1788, 5671227 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size        6, 5671227 req, miss ratio 0.5229, byte miss ratio 0.5229
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size       22, 5671227 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size       67, 5671227 req, miss ratio 0.0499, byte miss ratio 0.0499
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size      223, 5671227 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size      447, 5671227 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size      894, 5671227 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns1308 S3FIFO-0.6500-0.9000 cache size     1788, 5671227 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns1308 S3FIFO-0.0010-1.9000 cache size        6, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0010-1.9000 cache size       22, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0010-1.9000 cache size       67, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1308 S3FIFO-0.0010-1.9000 cache size      223, 5671227 req, miss ratio 1.0000, byte miss ratio 1.0000
