cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size        6, 5102234 req, miss ratio 0.1750, byte miss ratio 0.1750
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size       19, 5102234 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size       64, 5102234 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      193, 5102234 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size        6, 5102234 req, miss ratio 0.1459, byte miss ratio 0.1459
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       19, 5102234 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       64, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size        6, 5102234 req, miss ratio 0.1856, byte miss ratio 0.1856
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       19, 5102234 req, miss ratio 0.0124, byte miss ratio 0.0124
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       64, 5102234 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      193, 5102234 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      644, 5102234 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size        6, 5102234 req, miss ratio 0.1856, byte miss ratio 0.1856
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size       19, 5102234 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size       64, 5102234 req, miss ratio 0.0026, byte miss ratio 0.0026
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      193, 5102234 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size        6, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       19, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size       64, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      193, 5102234 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size        6, 5102234 req, miss ratio 0.1623, byte miss ratio 0.1623
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       19, 5102234 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size       64, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3500-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size        6, 5102234 req, miss ratio 0.1750, byte miss ratio 0.1750
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       19, 5102234 req, miss ratio 0.0106, byte miss ratio 0.0106
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size       64, 5102234 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      193, 5102234 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.6000-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size        6, 5102234 req, miss ratio 0.1500, byte miss ratio 0.1500
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size       19, 5102234 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size       64, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size        6, 5102234 req, miss ratio 0.1936, byte miss ratio 0.1936
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size       19, 5102234 req, miss ratio 0.0144, byte miss ratio 0.0144
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size       64, 5102234 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size      193, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size      644, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     1288, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
