tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size      234, 3354624 req, miss ratio 0.7788, byte miss ratio 0.7788
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size      704, 3354624 req, miss ratio 0.7742, byte miss ratio 0.7742
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size     2348, 3354624 req, miss ratio 0.7674, byte miss ratio 0.7674
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size     7046, 3354624 req, miss ratio 0.5718, byte miss ratio 0.5718
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size    23487, 3354624 req, miss ratio 0.2696, byte miss ratio 0.2696
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size    46975, 3354624 req, miss ratio 0.1670, byte miss ratio 0.1670
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size    93950, 3354624 req, miss ratio 0.1151, byte miss ratio 0.1151
tencentBlock.ns22313 S3FIFO-0.5500-0.9000 cache size   187900, 3354624 req, miss ratio 0.0745, byte miss ratio 0.0745
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size      234, 3354624 req, miss ratio 0.7784, byte miss ratio 0.7784
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size      704, 3354624 req, miss ratio 0.7741, byte miss ratio 0.7741
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size     2348, 3354624 req, miss ratio 0.7654, byte miss ratio 0.7654
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size     7046, 3354624 req, miss ratio 0.5612, byte miss ratio 0.5612
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size    23487, 3354624 req, miss ratio 0.2552, byte miss ratio 0.2552
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size    46975, 3354624 req, miss ratio 0.1683, byte miss ratio 0.1683
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size    93950, 3354624 req, miss ratio 0.1137, byte miss ratio 0.1137
tencentBlock.ns22313 S3FIFO-0.5000-0.9000 cache size   187900, 3354624 req, miss ratio 0.0735, byte miss ratio 0.0735
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size      234, 3354624 req, miss ratio 0.7783, byte miss ratio 0.7783
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size      704, 3354624 req, miss ratio 0.7737, byte miss ratio 0.7737
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size     2348, 3354624 req, miss ratio 0.7387, byte miss ratio 0.7387
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size     7046, 3354624 req, miss ratio 0.6651, byte miss ratio 0.6651
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size    23487, 3354624 req, miss ratio 0.2622, byte miss ratio 0.2622
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size    46975, 3354624 req, miss ratio 0.1681, byte miss ratio 0.1681
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size    93950, 3354624 req, miss ratio 0.1137, byte miss ratio 0.1137
tencentBlock.ns22313 S3FIFO-0.5000-1.9000 cache size   187900, 3354624 req, miss ratio 0.0735, byte miss ratio 0.0735
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size      234, 3354624 req, miss ratio 0.7779, byte miss ratio 0.7779
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size      704, 3354624 req, miss ratio 0.7738, byte miss ratio 0.7738
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size     2348, 3354624 req, miss ratio 0.7600, byte miss ratio 0.7600
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size     7046, 3354624 req, miss ratio 0.4933, byte miss ratio 0.4933
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size    23487, 3354624 req, miss ratio 0.1827, byte miss ratio 0.1827
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size    46975, 3354624 req, miss ratio 0.1637, byte miss ratio 0.1637
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size    93950, 3354624 req, miss ratio 0.1058, byte miss ratio 0.1058
tencentBlock.ns22313 S3FIFO-0.2000-0.9000 cache size   187900, 3354624 req, miss ratio 0.0709, byte miss ratio 0.0709
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size      234, 3354624 req, miss ratio 0.7804, byte miss ratio 0.7804
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size      704, 3354624 req, miss ratio 0.7745, byte miss ratio 0.7745
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size     2348, 3354624 req, miss ratio 0.7708, byte miss ratio 0.7708
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size     7046, 3354624 req, miss ratio 0.5930, byte miss ratio 0.5930
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size    23487, 3354624 req, miss ratio 0.2991, byte miss ratio 0.2991
tencentBlock.ns22313 S3FIFO-0.6500-0.9000 cache size    46975, 3354624 req, miss ratio 0.1707, byte miss ratio 0.1707
