io_traces.ns659 S3FIFO-0.0250-1.9000 cache size     1397, 2200000 req, miss ratio 0.4585, byte miss ratio 0.4585
io_traces.ns659 S3FIFO-0.0250-1.9000 cache size     4191, 2200000 req, miss ratio 0.4368, byte miss ratio 0.4368
io_traces.ns659 S3FIFO-0.0250-1.9000 cache size    13971, 2200000 req, miss ratio 0.3739, byte miss ratio 0.3739
io_traces.ns659 S3FIFO-0.0250-1.9000 cache size    27943, 2200000 req, miss ratio 0.2808, byte miss ratio 0.2808
io_traces.ns659 S3FIFO-0.0250-1.9000 cache size    55886, 2200000 req, miss ratio 0.1304, byte miss ratio 0.1304
io_traces.ns659 S3FIFO-0.0250-1.9000 cache size   111773, 2200000 req, miss ratio 0.0703, byte miss ratio 0.0703
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size      139, 2200000 req, miss ratio 0.5011, byte miss ratio 0.5011
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size      419, 2200000 req, miss ratio 0.4912, byte miss ratio 0.4912
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size     1397, 2200000 req, miss ratio 0.4814, byte miss ratio 0.4814
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size     4191, 2200000 req, miss ratio 0.4527, byte miss ratio 0.4527
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size    13971, 2200000 req, miss ratio 0.4370, byte miss ratio 0.4370
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size    27943, 2200000 req, miss ratio 0.3136, byte miss ratio 0.3136
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size    55886, 2200000 req, miss ratio 0.1653, byte miss ratio 0.1653
io_traces.ns659 S3FIFO-0.6000-0.9000 cache size   111773, 2200000 req, miss ratio 0.0713, byte miss ratio 0.0713
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size      139, 2200000 req, miss ratio 0.5078, byte miss ratio 0.5078
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size      419, 2200000 req, miss ratio 0.4924, byte miss ratio 0.4924
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size     1397, 2200000 req, miss ratio 0.4882, byte miss ratio 0.4882
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size     4191, 2200000 req, miss ratio 0.4602, byte miss ratio 0.4602
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size    13971, 2200000 req, miss ratio 0.3948, byte miss ratio 0.3948
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size    27943, 2200000 req, miss ratio 0.3257, byte miss ratio 0.3257
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size    55886, 2200000 req, miss ratio 0.1741, byte miss ratio 0.1741
io_traces.ns659 S3FIFO-0.8000-1.9000 cache size   111773, 2200000 req, miss ratio 0.0786, byte miss ratio 0.0786
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size      139, 2200000 req, miss ratio 0.4971, byte miss ratio 0.4971
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size      419, 2200000 req, miss ratio 0.4913, byte miss ratio 0.4913
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size     1397, 2200000 req, miss ratio 0.4767, byte miss ratio 0.4767
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size     4191, 2200000 req, miss ratio 0.4498, byte miss ratio 0.4498
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size    13971, 2200000 req, miss ratio 0.4336, byte miss ratio 0.4336
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size    27943, 2200000 req, miss ratio 0.3250, byte miss ratio 0.3250
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size    55886, 2200000 req, miss ratio 0.1607, byte miss ratio 0.1607
io_traces.ns659 S3FIFO-0.5000-0.9000 cache size   111773, 2200000 req, miss ratio 0.0701, byte miss ratio 0.0701
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size      139, 2200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size      419, 2200000 req, miss ratio 0.5480, byte miss ratio 0.5480
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size     1397, 2200000 req, miss ratio 0.5096, byte miss ratio 0.5096
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size     4191, 2200000 req, miss ratio 0.4434, byte miss ratio 0.4434
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size    13971, 2200000 req, miss ratio 0.3814, byte miss ratio 0.3814
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size    27943, 2200000 req, miss ratio 0.2780, byte miss ratio 0.2780
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size    55886, 2200000 req, miss ratio 0.1283, byte miss ratio 0.1283
io_traces.ns659 S3FIFO-0.0050-0.9000 cache size   111773, 2200000 req, miss ratio 0.0700, byte miss ratio 0.0700
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size      139, 2200000 req, miss ratio 0.5105, byte miss ratio 0.5105
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size      419, 2200000 req, miss ratio 0.4930, byte miss ratio 0.4930
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size     1397, 2200000 req, miss ratio 0.4891, byte miss ratio 0.4891
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size     4191, 2200000 req, miss ratio 0.4657, byte miss ratio 0.4657
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size    13971, 2200000 req, miss ratio 0.3967, byte miss ratio 0.3967
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size    27943, 2200000 req, miss ratio 0.3264, byte miss ratio 0.3264
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size    55886, 2200000 req, miss ratio 0.1750, byte miss ratio 0.1750
io_traces.ns659 S3FIFO-0.8500-1.9000 cache size   111773, 2200000 req, miss ratio 0.0808, byte miss ratio 0.0808
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size      139, 2200000 req, miss ratio 0.5667, byte miss ratio 0.5667
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size      419, 2200000 req, miss ratio 0.5233, byte miss ratio 0.5233
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size     1397, 2200000 req, miss ratio 0.4925, byte miss ratio 0.4925
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size     4191, 2200000 req, miss ratio 0.4428, byte miss ratio 0.4428
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size    13971, 2200000 req, miss ratio 0.3805, byte miss ratio 0.3805
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size    27943, 2200000 req, miss ratio 0.2786, byte miss ratio 0.2786
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size    55886, 2200000 req, miss ratio 0.1288, byte miss ratio 0.1288
io_traces.ns659 S3FIFO-0.0100-0.9000 cache size   111773, 2200000 req, miss ratio 0.0700, byte miss ratio 0.0700
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size      139, 2200000 req, miss ratio 0.4965, byte miss ratio 0.4965
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size      419, 2200000 req, miss ratio 0.4900, byte miss ratio 0.4900
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size     1397, 2200000 req, miss ratio 0.4578, byte miss ratio 0.4578
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size     4191, 2200000 req, miss ratio 0.4376, byte miss ratio 0.4376
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size    13971, 2200000 req, miss ratio 0.3800, byte miss ratio 0.3800
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size    27943, 2200000 req, miss ratio 0.3194, byte miss ratio 0.3194
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size    55886, 2200000 req, miss ratio 0.1401, byte miss ratio 0.1401
io_traces.ns659 S3FIFO-0.1500-1.9000 cache size   111773, 2200000 req, miss ratio 0.0698, byte miss ratio 0.0698
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size      139, 2200000 req, miss ratio 0.4948, byte miss ratio 0.4948
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size      419, 2200000 req, miss ratio 0.4900, byte miss ratio 0.4900
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size     1397, 2200000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size     4191, 2200000 req, miss ratio 0.4400, byte miss ratio 0.4400
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size    13971, 2200000 req, miss ratio 0.4167, byte miss ratio 0.4167
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size    27943, 2200000 req, miss ratio 0.3358, byte miss ratio 0.3358
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size    55886, 2200000 req, miss ratio 0.1471, byte miss ratio 0.1471
io_traces.ns659 S3FIFO-0.2500-1.9000 cache size   111773, 2200000 req, miss ratio 0.0697, byte miss ratio 0.0697
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size      139, 2200000 req, miss ratio 0.4946, byte miss ratio 0.4946
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size      419, 2200000 req, miss ratio 0.4903, byte miss ratio 0.4903
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size     1397, 2200000 req, miss ratio 0.4607, byte miss ratio 0.4607
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size     4191, 2200000 req, miss ratio 0.4433, byte miss ratio 0.4433
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size    13971, 2200000 req, miss ratio 0.4330, byte miss ratio 0.4330
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size    27943, 2200000 req, miss ratio 0.3168, byte miss ratio 0.3168
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size    55886, 2200000 req, miss ratio 0.1532, byte miss ratio 0.1532
io_traces.ns659 S3FIFO-0.3500-1.9000 cache size   111773, 2200000 req, miss ratio 0.0698, byte miss ratio 0.0698
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size      139, 2200000 req, miss ratio 0.5578, byte miss ratio 0.5578
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size      419, 2200000 req, miss ratio 0.5134, byte miss ratio 0.5134
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size     1397, 2200000 req, miss ratio 0.4955, byte miss ratio 0.4955
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size     4191, 2200000 req, miss ratio 0.4733, byte miss ratio 0.4733
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size    13971, 2200000 req, miss ratio 0.3969, byte miss ratio 0.3969
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size    27943, 2200000 req, miss ratio 0.3109, byte miss ratio 0.3109
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size    55886, 2200000 req, miss ratio 0.1768, byte miss ratio 0.1768
io_traces.ns659 S3FIFO-0.9900-1.9000 cache size   111773, 2200000 req, miss ratio 0.0844, byte miss ratio 0.0844
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size      139, 2200000 req, miss ratio 0.5656, byte miss ratio 0.5656
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size      419, 2200000 req, miss ratio 0.5227, byte miss ratio 0.5227
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size     1397, 2200000 req, miss ratio 0.4622, byte miss ratio 0.4622
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size     4191, 2200000 req, miss ratio 0.4380, byte miss ratio 0.4380
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size    13971, 2200000 req, miss ratio 0.3735, byte miss ratio 0.3735
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size    27943, 2200000 req, miss ratio 0.2787, byte miss ratio 0.2787
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size    55886, 2200000 req, miss ratio 0.1288, byte miss ratio 0.1288
io_traces.ns659 S3FIFO-0.0100-1.9000 cache size   111773, 2200000 req, miss ratio 0.0700, byte miss ratio 0.0700
