cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size        8, 2246502 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size       24, 2246502 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size       82, 2246502 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size      164, 2246502 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size      328, 2246502 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_colo28.ns526 S3FIFO-0.0050-0.9000 cache size      656, 2246502 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size        8, 2246502 req, miss ratio 0.6648, byte miss ratio 0.6648
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size       24, 2246502 req, miss ratio 0.2103, byte miss ratio 0.2103
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size       82, 2246502 req, miss ratio 0.0273, byte miss ratio 0.0273
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size      164, 2246502 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size      328, 2246502 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_colo28.ns526 S3FIFO-0.2500-1.9000 cache size      656, 2246502 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size        8, 2246502 req, miss ratio 0.6121, byte miss ratio 0.6121
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size       24, 2246502 req, miss ratio 0.2005, byte miss ratio 0.2005
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size       82, 2246502 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size      164, 2246502 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size      328, 2246502 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_colo28.ns526 S3FIFO-0.1500-1.9000 cache size      656, 2246502 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size        8, 2246502 req, miss ratio 0.7302, byte miss ratio 0.7302
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size       24, 2246502 req, miss ratio 0.2839, byte miss ratio 0.2839
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size       82, 2246502 req, miss ratio 0.0431, byte miss ratio 0.0431
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size      164, 2246502 req, miss ratio 0.0140, byte miss ratio 0.0140
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size      328, 2246502 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_colo28.ns526 S3FIFO-0.8000-0.9000 cache size      656, 2246502 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size        8, 2246502 req, miss ratio 0.7351, byte miss ratio 0.7351
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size       24, 2246502 req, miss ratio 0.2648, byte miss ratio 0.2648
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size       82, 2246502 req, miss ratio 0.0388, byte miss ratio 0.0388
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size      164, 2246502 req, miss ratio 0.0128, byte miss ratio 0.0128
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size      328, 2246502 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns526 S3FIFO-0.7000-1.9000 cache size      656, 2246502 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_colo28.ns526 S3FIFO-0.9500-1.9000 cache size        8, 2246502 req, miss ratio 0.7142, byte miss ratio 0.7142
cdn1_colo28.ns526 S3FIFO-0.9500-1.9000 cache size       24, 2246502 req, miss ratio 0.2891, byte miss ratio 0.2891
cdn1_colo28.ns526 S3FIFO-0.9500-1.9000 cache size       82, 2246502 req, miss ratio 0.0457, byte miss ratio 0.0457
