io_traces.ns287 S3FIFO-0.2000-1.9000 cache size      303, 11000000 req, miss ratio 0.6520, byte miss ratio 0.6520
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size      911, 11000000 req, miss ratio 0.5996, byte miss ratio 0.5996
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size     3039, 11000000 req, miss ratio 0.5673, byte miss ratio 0.5673
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size     9117, 11000000 req, miss ratio 0.5612, byte miss ratio 0.5612
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size    30392, 11000000 req, miss ratio 0.2202, byte miss ratio 0.2202
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size    60785, 11000000 req, miss ratio 0.0348, byte miss ratio 0.0348
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size   121570, 11000000 req, miss ratio 0.0285, byte miss ratio 0.0285
io_traces.ns287 S3FIFO-0.2000-1.9000 cache size   243140, 11000000 req, miss ratio 0.0277, byte miss ratio 0.0277
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size      303, 11000000 req, miss ratio 0.6647, byte miss ratio 0.6647
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size      911, 11000000 req, miss ratio 0.6135, byte miss ratio 0.6135
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size     3039, 11000000 req, miss ratio 0.5772, byte miss ratio 0.5772
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size     9117, 11000000 req, miss ratio 0.5718, byte miss ratio 0.5718
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size    30392, 11000000 req, miss ratio 0.2381, byte miss ratio 0.2381
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size    60785, 11000000 req, miss ratio 0.0540, byte miss ratio 0.0540
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size   121570, 11000000 req, miss ratio 0.0294, byte miss ratio 0.0294
io_traces.ns287 S3FIFO-0.6000-1.9000 cache size   243140, 11000000 req, miss ratio 0.0277, byte miss ratio 0.0277
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size      303, 11000000 req, miss ratio 0.6508, byte miss ratio 0.6508
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size      911, 11000000 req, miss ratio 0.6062, byte miss ratio 0.6062
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size     3039, 11000000 req, miss ratio 0.5746, byte miss ratio 0.5746
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size     9117, 11000000 req, miss ratio 0.5263, byte miss ratio 0.5263
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size    30392, 11000000 req, miss ratio 0.1929, byte miss ratio 0.1929
io_traces.ns287 S3FIFO-0.0100-1.9000 cache size    60785, 11000000 req, miss ratio 0.0336, byte miss ratio 0.0336
