tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size     1501, 10774843 req, miss ratio 0.5909, byte miss ratio 0.5909
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size     4503, 10774843 req, miss ratio 0.4288, byte miss ratio 0.4288
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size    15012, 10774843 req, miss ratio 0.3463, byte miss ratio 0.3463
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size    45038, 10774843 req, miss ratio 0.2716, byte miss ratio 0.2716
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size   150129, 10774843 req, miss ratio 0.2085, byte miss ratio 0.2085
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size   300258, 10774843 req, miss ratio 0.1787, byte miss ratio 0.1787
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size   600516, 10774843 req, miss ratio 0.1534, byte miss ratio 0.1534
tencentBlock.ns5066 S3FIFO-0.9000-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1431, byte miss ratio 0.1431
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size     1501, 10774843 req, miss ratio 0.5410, byte miss ratio 0.5410
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size     4503, 10774843 req, miss ratio 0.3762, byte miss ratio 0.3762
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size    15012, 10774843 req, miss ratio 0.3403, byte miss ratio 0.3403
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size    45038, 10774843 req, miss ratio 0.2618, byte miss ratio 0.2618
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size   150129, 10774843 req, miss ratio 0.2000, byte miss ratio 0.2000
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size   300258, 10774843 req, miss ratio 0.1688, byte miss ratio 0.1688
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size   600516, 10774843 req, miss ratio 0.1473, byte miss ratio 0.1473
tencentBlock.ns5066 S3FIFO-0.7000-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1407, byte miss ratio 0.1407
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size     1501, 10774843 req, miss ratio 0.5442, byte miss ratio 0.5442
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size     4503, 10774843 req, miss ratio 0.3776, byte miss ratio 0.3776
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size    15012, 10774843 req, miss ratio 0.3409, byte miss ratio 0.3409
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size    45038, 10774843 req, miss ratio 0.2625, byte miss ratio 0.2625
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size   150129, 10774843 req, miss ratio 0.1998, byte miss ratio 0.1998
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size   300258, 10774843 req, miss ratio 0.1689, byte miss ratio 0.1689
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size   600516, 10774843 req, miss ratio 0.1473, byte miss ratio 0.1473
tencentBlock.ns5066 S3FIFO-0.7000-1.9000 cache size  1201032, 10774843 req, miss ratio 0.1407, byte miss ratio 0.1407
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size     1501, 10774843 req, miss ratio 0.5153, byte miss ratio 0.5153
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size     4503, 10774843 req, miss ratio 0.3739, byte miss ratio 0.3739
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size    15012, 10774843 req, miss ratio 0.3386, byte miss ratio 0.3386
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size    45038, 10774843 req, miss ratio 0.2624, byte miss ratio 0.2624
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size   150129, 10774843 req, miss ratio 0.1946, byte miss ratio 0.1946
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size   300258, 10774843 req, miss ratio 0.1668, byte miss ratio 0.1668
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size   600516, 10774843 req, miss ratio 0.1458, byte miss ratio 0.1458
tencentBlock.ns5066 S3FIFO-0.6000-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1401, byte miss ratio 0.1401
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size     1501, 10774843 req, miss ratio 0.4119, byte miss ratio 0.4119
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size     4503, 10774843 req, miss ratio 0.3829, byte miss ratio 0.3829
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size    15012, 10774843 req, miss ratio 0.3316, byte miss ratio 0.3316
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size    45038, 10774843 req, miss ratio 0.2795, byte miss ratio 0.2795
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size   150129, 10774843 req, miss ratio 0.2020, byte miss ratio 0.2020
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size   300258, 10774843 req, miss ratio 0.1669, byte miss ratio 0.1669
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size   600516, 10774843 req, miss ratio 0.1472, byte miss ratio 0.1472
tencentBlock.ns5066 S3FIFO-0.0250-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1401, byte miss ratio 0.1401
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size     1501, 10774843 req, miss ratio 0.4079, byte miss ratio 0.4079
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size     4503, 10774843 req, miss ratio 0.3721, byte miss ratio 0.3721
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size    15012, 10774843 req, miss ratio 0.3250, byte miss ratio 0.3250
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size    45038, 10774843 req, miss ratio 0.2704, byte miss ratio 0.2704
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size   150129, 10774843 req, miss ratio 0.1815, byte miss ratio 0.1815
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size   300258, 10774843 req, miss ratio 0.1563, byte miss ratio 0.1563
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size   600516, 10774843 req, miss ratio 0.1457, byte miss ratio 0.1457
tencentBlock.ns5066 S3FIFO-0.2000-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1401, byte miss ratio 0.1401
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size     1501, 10774843 req, miss ratio 0.4159, byte miss ratio 0.4159
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size     4503, 10774843 req, miss ratio 0.3718, byte miss ratio 0.3718
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size    15012, 10774843 req, miss ratio 0.3250, byte miss ratio 0.3250
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size    45038, 10774843 req, miss ratio 0.2701, byte miss ratio 0.2701
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size   150129, 10774843 req, miss ratio 0.1812, byte miss ratio 0.1812
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size   300258, 10774843 req, miss ratio 0.1572, byte miss ratio 0.1572
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size   600516, 10774843 req, miss ratio 0.1453, byte miss ratio 0.1453
tencentBlock.ns5066 S3FIFO-0.2500-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1401, byte miss ratio 0.1401
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size     1501, 10774843 req, miss ratio 0.6063, byte miss ratio 0.6063
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size     4503, 10774843 req, miss ratio 0.4417, byte miss ratio 0.4417
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size    15012, 10774843 req, miss ratio 0.3554, byte miss ratio 0.3554
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size    45038, 10774843 req, miss ratio 0.2712, byte miss ratio 0.2712
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size   150129, 10774843 req, miss ratio 0.2099, byte miss ratio 0.2099
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size   300258, 10774843 req, miss ratio 0.1802, byte miss ratio 0.1802
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size   600516, 10774843 req, miss ratio 0.1563, byte miss ratio 0.1563
tencentBlock.ns5066 S3FIFO-0.9500-1.9000 cache size  1201032, 10774843 req, miss ratio 0.1448, byte miss ratio 0.1448
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size     1501, 10774843 req, miss ratio 0.4276, byte miss ratio 0.4276
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size     4503, 10774843 req, miss ratio 0.3716, byte miss ratio 0.3716
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size    15012, 10774843 req, miss ratio 0.3248, byte miss ratio 0.3248
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size    45038, 10774843 req, miss ratio 0.2650, byte miss ratio 0.2650
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size   150129, 10774843 req, miss ratio 0.1819, byte miss ratio 0.1819
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size   300258, 10774843 req, miss ratio 0.1581, byte miss ratio 0.1581
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size   600516, 10774843 req, miss ratio 0.1449, byte miss ratio 0.1449
tencentBlock.ns5066 S3FIFO-0.3000-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1401, byte miss ratio 0.1401
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size     1501, 10774843 req, miss ratio 0.5780, byte miss ratio 0.5780
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size     4503, 10774843 req, miss ratio 0.4145, byte miss ratio 0.4145
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size    15012, 10774843 req, miss ratio 0.3438, byte miss ratio 0.3438
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size    45038, 10774843 req, miss ratio 0.2699, byte miss ratio 0.2699
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size   150129, 10774843 req, miss ratio 0.2068, byte miss ratio 0.2068
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size   300258, 10774843 req, miss ratio 0.1761, byte miss ratio 0.1761
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size   600516, 10774843 req, miss ratio 0.1510, byte miss ratio 0.1510
tencentBlock.ns5066 S3FIFO-0.8500-0.9000 cache size  1201032, 10774843 req, miss ratio 0.1419, byte miss ratio 0.1419
