cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size     1396, 10032937 req, miss ratio 0.1727, byte miss ratio 0.1727
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size     4188, 10032937 req, miss ratio 0.1522, byte miss ratio 0.1522
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size    13960, 10032937 req, miss ratio 0.1464, byte miss ratio 0.1464
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size    41882, 10032937 req, miss ratio 0.1433, byte miss ratio 0.1433
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size   139607, 10032937 req, miss ratio 0.1409, byte miss ratio 0.1409
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size   279214, 10032937 req, miss ratio 0.1402, byte miss ratio 0.1402
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.3000-0.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size     1396, 10032937 req, miss ratio 0.1724, byte miss ratio 0.1724
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size     4188, 10032937 req, miss ratio 0.1521, byte miss ratio 0.1521
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size    13960, 10032937 req, miss ratio 0.1463, byte miss ratio 0.1463
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size    41882, 10032937 req, miss ratio 0.1432, byte miss ratio 0.1432
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size   139607, 10032937 req, miss ratio 0.1409, byte miss ratio 0.1409
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size   279214, 10032937 req, miss ratio 0.1402, byte miss ratio 0.1402
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.3000-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size     1396, 10032937 req, miss ratio 0.1726, byte miss ratio 0.1726
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size     4188, 10032937 req, miss ratio 0.1535, byte miss ratio 0.1535
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size    13960, 10032937 req, miss ratio 0.1464, byte miss ratio 0.1464
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size    41882, 10032937 req, miss ratio 0.1439, byte miss ratio 0.1439
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size   139607, 10032937 req, miss ratio 0.1412, byte miss ratio 0.1412
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size   279214, 10032937 req, miss ratio 0.1402, byte miss ratio 0.1402
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.6000-0.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size     1396, 10032937 req, miss ratio 0.1706, byte miss ratio 0.1706
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size     4188, 10032937 req, miss ratio 0.1522, byte miss ratio 0.1522
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size    13960, 10032937 req, miss ratio 0.1462, byte miss ratio 0.1462
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size    41882, 10032937 req, miss ratio 0.1433, byte miss ratio 0.1433
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size   139607, 10032937 req, miss ratio 0.1410, byte miss ratio 0.1410
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size   279214, 10032937 req, miss ratio 0.1401, byte miss ratio 0.1401
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.4000-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size     1396, 10032937 req, miss ratio 0.2426, byte miss ratio 0.2426
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size     4188, 10032937 req, miss ratio 0.2224, byte miss ratio 0.2224
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size    13960, 10032937 req, miss ratio 0.2065, byte miss ratio 0.2065
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size    41882, 10032937 req, miss ratio 0.1844, byte miss ratio 0.1844
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size   139607, 10032937 req, miss ratio 0.1573, byte miss ratio 0.1573
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size   279214, 10032937 req, miss ratio 0.1457, byte miss ratio 0.1457
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size   558429, 10032937 req, miss ratio 0.1407, byte miss ratio 0.1407
cdn1_colo28.ns278 S3FIFO-0.0010-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size     1396, 10032937 req, miss ratio 0.1712, byte miss ratio 0.1712
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size     4188, 10032937 req, miss ratio 0.1521, byte miss ratio 0.1521
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size    13960, 10032937 req, miss ratio 0.1462, byte miss ratio 0.1462
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size    41882, 10032937 req, miss ratio 0.1432, byte miss ratio 0.1432
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size   139607, 10032937 req, miss ratio 0.1409, byte miss ratio 0.1409
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size   279214, 10032937 req, miss ratio 0.1401, byte miss ratio 0.1401
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.3500-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size     1396, 10032937 req, miss ratio 0.2374, byte miss ratio 0.2374
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size     4188, 10032937 req, miss ratio 0.2078, byte miss ratio 0.2078
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size    13960, 10032937 req, miss ratio 0.1797, byte miss ratio 0.1797
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size    41882, 10032937 req, miss ratio 0.1562, byte miss ratio 0.1562
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size   139607, 10032937 req, miss ratio 0.1432, byte miss ratio 0.1432
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size   279214, 10032937 req, miss ratio 0.1413, byte miss ratio 0.1413
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size   558429, 10032937 req, miss ratio 0.1400, byte miss ratio 0.1400
cdn1_colo28.ns278 S3FIFO-0.0050-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size     1396, 10032937 req, miss ratio 0.2431, byte miss ratio 0.2431
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size     4188, 10032937 req, miss ratio 0.2227, byte miss ratio 0.2227
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size    13960, 10032937 req, miss ratio 0.2066, byte miss ratio 0.2066
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size    41882, 10032937 req, miss ratio 0.1847, byte miss ratio 0.1847
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size   139607, 10032937 req, miss ratio 0.1574, byte miss ratio 0.1574
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size   279214, 10032937 req, miss ratio 0.1458, byte miss ratio 0.1458
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size   558429, 10032937 req, miss ratio 0.1407, byte miss ratio 0.1407
cdn1_colo28.ns278 S3FIFO-0.0010-0.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size     1396, 10032937 req, miss ratio 0.1740, byte miss ratio 0.1740
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size     4188, 10032937 req, miss ratio 0.1541, byte miss ratio 0.1541
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size    13960, 10032937 req, miss ratio 0.1466, byte miss ratio 0.1466
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size    41882, 10032937 req, miss ratio 0.1441, byte miss ratio 0.1441
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size   139607, 10032937 req, miss ratio 0.1413, byte miss ratio 0.1413
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size   279214, 10032937 req, miss ratio 0.1402, byte miss ratio 0.1402
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size   558429, 10032937 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_colo28.ns278 S3FIFO-0.6500-1.9000 cache size  1116859, 10032937 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns278 S3FIFO-0.0500-1.9000 cache size     1396, 10032937 req, miss ratio 0.2042, byte miss ratio 0.2042
cdn1_colo28.ns278 S3FIFO-0.0500-1.9000 cache size     4188, 10032937 req, miss ratio 0.1657, byte miss ratio 0.1657
cdn1_colo28.ns278 S3FIFO-0.0500-1.9000 cache size    13960, 10032937 req, miss ratio 0.1488, byte miss ratio 0.1488
