cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size      190, 4260981 req, miss ratio 0.7601, byte miss ratio 0.7601
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size      572, 4260981 req, miss ratio 0.6439, byte miss ratio 0.6439
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size     1908, 4260981 req, miss ratio 0.4937, byte miss ratio 0.4937
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size     5724, 4260981 req, miss ratio 0.3420, byte miss ratio 0.3420
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size    19083, 4260981 req, miss ratio 0.1814, byte miss ratio 0.1814
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size    38166, 4260981 req, miss ratio 0.1093, byte miss ratio 0.1093
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size    76333, 4260981 req, miss ratio 0.0644, byte miss ratio 0.0644
cdn1_allcolo.ns1376 S3FIFO-0.0100-1.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size      190, 4260981 req, miss ratio 0.8024, byte miss ratio 0.8024
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size      572, 4260981 req, miss ratio 0.6964, byte miss ratio 0.6964
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size     1908, 4260981 req, miss ratio 0.5511, byte miss ratio 0.5511
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size     5724, 4260981 req, miss ratio 0.3941, byte miss ratio 0.3941
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size    19083, 4260981 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size    38166, 4260981 req, miss ratio 0.1293, byte miss ratio 0.1293
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size    76333, 4260981 req, miss ratio 0.0724, byte miss ratio 0.0724
cdn1_allcolo.ns1376 S3FIFO-0.5000-1.9000 cache size   152666, 4260981 req, miss ratio 0.0466, byte miss ratio 0.0466
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size      190, 4260981 req, miss ratio 0.8582, byte miss ratio 0.8582
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size      572, 4260981 req, miss ratio 0.7632, byte miss ratio 0.7632
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size     1908, 4260981 req, miss ratio 0.6152, byte miss ratio 0.6152
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size     5724, 4260981 req, miss ratio 0.4450, byte miss ratio 0.4450
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size    19083, 4260981 req, miss ratio 0.2463, byte miss ratio 0.2463
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size    38166, 4260981 req, miss ratio 0.1511, byte miss ratio 0.1511
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size    76333, 4260981 req, miss ratio 0.0855, byte miss ratio 0.0855
cdn1_allcolo.ns1376 S3FIFO-0.8500-1.9000 cache size   152666, 4260981 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size      190, 4260981 req, miss ratio 0.7907, byte miss ratio 0.7907
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size      572, 4260981 req, miss ratio 0.6819, byte miss ratio 0.6819
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size     1908, 4260981 req, miss ratio 0.5364, byte miss ratio 0.5364
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size     5724, 4260981 req, miss ratio 0.3815, byte miss ratio 0.3815
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size    19083, 4260981 req, miss ratio 0.2064, byte miss ratio 0.2064
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size    38166, 4260981 req, miss ratio 0.1242, byte miss ratio 0.1242
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size    76333, 4260981 req, miss ratio 0.0698, byte miss ratio 0.0698
cdn1_allcolo.ns1376 S3FIFO-0.4000-1.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size      190, 4260981 req, miss ratio 0.7662, byte miss ratio 0.7662
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size      572, 4260981 req, miss ratio 0.6510, byte miss ratio 0.6510
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size     1908, 4260981 req, miss ratio 0.5027, byte miss ratio 0.5027
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size     5724, 4260981 req, miss ratio 0.3505, byte miss ratio 0.3505
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size    19083, 4260981 req, miss ratio 0.1872, byte miss ratio 0.1872
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size    38166, 4260981 req, miss ratio 0.1135, byte miss ratio 0.1135
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size    76333, 4260981 req, miss ratio 0.0660, byte miss ratio 0.0660
cdn1_allcolo.ns1376 S3FIFO-0.2000-0.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size      190, 4260981 req, miss ratio 0.7751, byte miss ratio 0.7751
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size      572, 4260981 req, miss ratio 0.6636, byte miss ratio 0.6636
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size     1908, 4260981 req, miss ratio 0.5170, byte miss ratio 0.5170
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size     5724, 4260981 req, miss ratio 0.3642, byte miss ratio 0.3642
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size    19083, 4260981 req, miss ratio 0.1954, byte miss ratio 0.1954
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size    38166, 4260981 req, miss ratio 0.1171, byte miss ratio 0.1171
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size    76333, 4260981 req, miss ratio 0.0667, byte miss ratio 0.0667
cdn1_allcolo.ns1376 S3FIFO-0.2500-1.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size      190, 4260981 req, miss ratio 0.8170, byte miss ratio 0.8170
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size      572, 4260981 req, miss ratio 0.7130, byte miss ratio 0.7130
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size     1908, 4260981 req, miss ratio 0.5675, byte miss ratio 0.5675
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size     5724, 4260981 req, miss ratio 0.4096, byte miss ratio 0.4096
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size    19083, 4260981 req, miss ratio 0.2272, byte miss ratio 0.2272
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size    38166, 4260981 req, miss ratio 0.1388, byte miss ratio 0.1388
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size    76333, 4260981 req, miss ratio 0.0772, byte miss ratio 0.0772
cdn1_allcolo.ns1376 S3FIFO-0.6500-0.9000 cache size   152666, 4260981 req, miss ratio 0.0475, byte miss ratio 0.0475
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size      190, 4260981 req, miss ratio 0.7606, byte miss ratio 0.7606
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size      572, 4260981 req, miss ratio 0.6440, byte miss ratio 0.6440
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size     1908, 4260981 req, miss ratio 0.4960, byte miss ratio 0.4960
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size     5724, 4260981 req, miss ratio 0.3446, byte miss ratio 0.3446
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size    19083, 4260981 req, miss ratio 0.1828, byte miss ratio 0.1828
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size    38166, 4260981 req, miss ratio 0.1097, byte miss ratio 0.1097
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size    76333, 4260981 req, miss ratio 0.0643, byte miss ratio 0.0643
cdn1_allcolo.ns1376 S3FIFO-0.0500-1.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size      190, 4260981 req, miss ratio 0.8526, byte miss ratio 0.8526
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size      572, 4260981 req, miss ratio 0.7564, byte miss ratio 0.7564
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size     1908, 4260981 req, miss ratio 0.6102, byte miss ratio 0.6102
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size     5724, 4260981 req, miss ratio 0.4444, byte miss ratio 0.4444
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size    19083, 4260981 req, miss ratio 0.2494, byte miss ratio 0.2494
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size    38166, 4260981 req, miss ratio 0.1535, byte miss ratio 0.1535
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size    76333, 4260981 req, miss ratio 0.0855, byte miss ratio 0.0855
cdn1_allcolo.ns1376 S3FIFO-0.8500-0.9000 cache size   152666, 4260981 req, miss ratio 0.0504, byte miss ratio 0.0504
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size      190, 4260981 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size      572, 4260981 req, miss ratio 0.6391, byte miss ratio 0.6391
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size     1908, 4260981 req, miss ratio 0.4871, byte miss ratio 0.4871
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size     5724, 4260981 req, miss ratio 0.3344, byte miss ratio 0.3344
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size    19083, 4260981 req, miss ratio 0.1762, byte miss ratio 0.1762
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size    38166, 4260981 req, miss ratio 0.1073, byte miss ratio 0.1073
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size    76333, 4260981 req, miss ratio 0.0646, byte miss ratio 0.0646
cdn1_allcolo.ns1376 S3FIFO-0.0050-0.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size      190, 4260981 req, miss ratio 0.7961, byte miss ratio 0.7961
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size      572, 4260981 req, miss ratio 0.6889, byte miss ratio 0.6889
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size     1908, 4260981 req, miss ratio 0.5435, byte miss ratio 0.5435
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size     5724, 4260981 req, miss ratio 0.3878, byte miss ratio 0.3878
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size    19083, 4260981 req, miss ratio 0.2103, byte miss ratio 0.2103
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size    38166, 4260981 req, miss ratio 0.1267, byte miss ratio 0.1267
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size    76333, 4260981 req, miss ratio 0.0710, byte miss ratio 0.0710
cdn1_allcolo.ns1376 S3FIFO-0.4500-1.9000 cache size   152666, 4260981 req, miss ratio 0.0463, byte miss ratio 0.0463
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size      190, 4260981 req, miss ratio 0.7709, byte miss ratio 0.7709
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size      572, 4260981 req, miss ratio 0.6579, byte miss ratio 0.6579
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size     1908, 4260981 req, miss ratio 0.5111, byte miss ratio 0.5111
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size     5724, 4260981 req, miss ratio 0.3589, byte miss ratio 0.3589
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size    19083, 4260981 req, miss ratio 0.1919, byte miss ratio 0.1919
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size    38166, 4260981 req, miss ratio 0.1151, byte miss ratio 0.1151
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size    76333, 4260981 req, miss ratio 0.0660, byte miss ratio 0.0660
cdn1_allcolo.ns1376 S3FIFO-0.2000-1.9000 cache size   152666, 4260981 req, miss ratio 0.0462, byte miss ratio 0.0462
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size      190, 4260981 req, miss ratio 0.8253, byte miss ratio 0.8253
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size      572, 4260981 req, miss ratio 0.7226, byte miss ratio 0.7226
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size     1908, 4260981 req, miss ratio 0.5771, byte miss ratio 0.5771
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size     5724, 4260981 req, miss ratio 0.4177, byte miss ratio 0.4177
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size    19083, 4260981 req, miss ratio 0.2324, byte miss ratio 0.2324
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size    38166, 4260981 req, miss ratio 0.1423, byte miss ratio 0.1423
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size    76333, 4260981 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn1_allcolo.ns1376 S3FIFO-0.7000-0.9000 cache size   152666, 4260981 req, miss ratio 0.0479, byte miss ratio 0.0479
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size      190, 4260981 req, miss ratio 0.8394, byte miss ratio 0.8394
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size      572, 4260981 req, miss ratio 0.7410, byte miss ratio 0.7410
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size     1908, 4260981 req, miss ratio 0.5949, byte miss ratio 0.5949
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size     5724, 4260981 req, miss ratio 0.4293, byte miss ratio 0.4293
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size    19083, 4260981 req, miss ratio 0.2363, byte miss ratio 0.2363
cdn1_allcolo.ns1376 S3FIFO-0.7500-1.9000 cache size    38166, 4260981 req, miss ratio 0.1442, byte miss ratio 0.1442
