cdn1_colo28.ns691 S3FIFO-0.3500-0.9000 cache size        7, 1345918 req, miss ratio 0.4173, byte miss ratio 0.4173
cdn1_colo28.ns691 S3FIFO-0.3500-0.9000 cache size       23, 1345918 req, miss ratio 0.2048, byte miss ratio 0.2048
cdn1_colo28.ns691 S3FIFO-0.3500-0.9000 cache size       47, 1345918 req, miss ratio 0.1445, byte miss ratio 0.1445
cdn1_colo28.ns691 S3FIFO-0.3500-0.9000 cache size       95, 1345918 req, miss ratio 0.0624, byte miss ratio 0.0624
cdn1_colo28.ns691 S3FIFO-0.3500-0.9000 cache size      190, 1345918 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns691 S3FIFO-0.6500-1.9000 cache size        7, 1345918 req, miss ratio 0.4816, byte miss ratio 0.4816
cdn1_colo28.ns691 S3FIFO-0.6500-1.9000 cache size       23, 1345918 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_colo28.ns691 S3FIFO-0.6500-1.9000 cache size       47, 1345918 req, miss ratio 0.1619, byte miss ratio 0.1619
cdn1_colo28.ns691 S3FIFO-0.6500-1.9000 cache size       95, 1345918 req, miss ratio 0.0666, byte miss ratio 0.0666
cdn1_colo28.ns691 S3FIFO-0.6500-1.9000 cache size      190, 1345918 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_colo28.ns691 S3FIFO-0.1500-0.9000 cache size        7, 1345918 req, miss ratio 0.3881, byte miss ratio 0.3881
cdn1_colo28.ns691 S3FIFO-0.1500-0.9000 cache size       23, 1345918 req, miss ratio 0.1914, byte miss ratio 0.1914
cdn1_colo28.ns691 S3FIFO-0.1500-0.9000 cache size       47, 1345918 req, miss ratio 0.1325, byte miss ratio 0.1325
cdn1_colo28.ns691 S3FIFO-0.1500-0.9000 cache size       95, 1345918 req, miss ratio 0.0584, byte miss ratio 0.0584
cdn1_colo28.ns691 S3FIFO-0.1500-0.9000 cache size      190, 1345918 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns691 S3FIFO-0.0010-1.9000 cache size        7, 1345918 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns691 S3FIFO-0.0010-1.9000 cache size       23, 1345918 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns691 S3FIFO-0.0010-1.9000 cache size       47, 1345918 req, miss ratio 1.0000, byte miss ratio 1.0000
