cdn1_allcolo.ns448 S3FIFO-0.3500-0.9000 cache size        6, 3053618 req, miss ratio 0.1977, byte miss ratio 0.1977
cdn1_allcolo.ns448 S3FIFO-0.3500-0.9000 cache size       22, 3053618 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns448 S3FIFO-0.3500-0.9000 cache size       45, 3053618 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns448 S3FIFO-0.3500-0.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.3500-0.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.4000-1.9000 cache size        6, 3053618 req, miss ratio 0.1990, byte miss ratio 0.1990
cdn1_allcolo.ns448 S3FIFO-0.4000-1.9000 cache size       22, 3053618 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns448 S3FIFO-0.4000-1.9000 cache size       45, 3053618 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns448 S3FIFO-0.4000-1.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.4000-1.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.9000-1.9000 cache size        6, 3053618 req, miss ratio 0.2035, byte miss ratio 0.2035
cdn1_allcolo.ns448 S3FIFO-0.9000-1.9000 cache size       22, 3053618 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns448 S3FIFO-0.9000-1.9000 cache size       45, 3053618 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns448 S3FIFO-0.9000-1.9000 cache size       90, 3053618 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns448 S3FIFO-0.9000-1.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.7000-1.9000 cache size        6, 3053618 req, miss ratio 0.2034, byte miss ratio 0.2034
cdn1_allcolo.ns448 S3FIFO-0.7000-1.9000 cache size       22, 3053618 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_allcolo.ns448 S3FIFO-0.7000-1.9000 cache size       45, 3053618 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns448 S3FIFO-0.7000-1.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.7000-1.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.0050-0.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0050-0.9000 cache size       22, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0050-0.9000 cache size       45, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0050-0.9000 cache size       90, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0050-0.9000 cache size      180, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0250-0.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0250-0.9000 cache size       22, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0250-0.9000 cache size       45, 3053618 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns448 S3FIFO-0.0250-0.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.0250-0.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.0010-1.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0010-1.9000 cache size       22, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0010-1.9000 cache size       45, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0010-1.9000 cache size       90, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0010-1.9000 cache size      180, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.4000-0.9000 cache size        6, 3053618 req, miss ratio 0.1977, byte miss ratio 0.1977
cdn1_allcolo.ns448 S3FIFO-0.4000-0.9000 cache size       22, 3053618 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns448 S3FIFO-0.4000-0.9000 cache size       45, 3053618 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns448 S3FIFO-0.4000-0.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.4000-0.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.9500-0.9000 cache size        6, 3053618 req, miss ratio 0.2049, byte miss ratio 0.2049
cdn1_allcolo.ns448 S3FIFO-0.9500-0.9000 cache size       22, 3053618 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns448 S3FIFO-0.9500-0.9000 cache size       45, 3053618 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns448 S3FIFO-0.9500-0.9000 cache size       90, 3053618 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns448 S3FIFO-0.9500-0.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.0250-1.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0250-1.9000 cache size       22, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.0250-1.9000 cache size       45, 3053618 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns448 S3FIFO-0.0250-1.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.0250-1.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.1000-0.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.1000-0.9000 cache size       22, 3053618 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns448 S3FIFO-0.1000-0.9000 cache size       45, 3053618 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns448 S3FIFO-0.1000-0.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.1000-0.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.1000-1.9000 cache size        6, 3053618 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns448 S3FIFO-0.1000-1.9000 cache size       22, 3053618 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns448 S3FIFO-0.1000-1.9000 cache size       45, 3053618 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns448 S3FIFO-0.1000-1.9000 cache size       90, 3053618 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns448 S3FIFO-0.1000-1.9000 cache size      180, 3053618 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns448 S3FIFO-0.4500-1.9000 cache size        6, 3053618 req, miss ratio 0.1990, byte miss ratio 0.1990
cdn1_allcolo.ns448 S3FIFO-0.4500-1.9000 cache size       22, 3053618 req, miss ratio 0.0030, byte miss ratio 0.0030
