pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.6000 cache size   566724, 184017803 req, miss ratio 0.0776, byte miss ratio 0.0776
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.6000 cache size  1133448, 184017803 req, miss ratio 0.0101, byte miss ratio 0.0101
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size     1416, 184017803 req, miss ratio 0.5875, byte miss ratio 0.5875
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size     4250, 184017803 req, miss ratio 0.5547, byte miss ratio 0.5547
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size    14168, 184017803 req, miss ratio 0.5238, byte miss ratio 0.5238
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size    42504, 184017803 req, miss ratio 0.4949, byte miss ratio 0.4949
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size   141681, 184017803 req, miss ratio 0.4251, byte miss ratio 0.4251
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size   283362, 184017803 req, miss ratio 0.2314, byte miss ratio 0.2314
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size   566724, 184017803 req, miss ratio 0.0985, byte miss ratio 0.0985
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.5000 cache size  1133448, 184017803 req, miss ratio 0.0155, byte miss ratio 0.0155
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size     1416, 184017803 req, miss ratio 0.5723, byte miss ratio 0.5723
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size     4250, 184017803 req, miss ratio 0.5417, byte miss ratio 0.5417
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size    14168, 184017803 req, miss ratio 0.5132, byte miss ratio 0.5132
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size    42504, 184017803 req, miss ratio 0.4835, byte miss ratio 0.4835
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size   141681, 184017803 req, miss ratio 0.3548, byte miss ratio 0.3548
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size   283362, 184017803 req, miss ratio 0.1723, byte miss ratio 0.1723
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size   566724, 184017803 req, miss ratio 0.0960, byte miss ratio 0.0960
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size  1133448, 184017803 req, miss ratio 0.0116, byte miss ratio 0.0116
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size     1416, 184017803 req, miss ratio 0.6277, byte miss ratio 0.6277
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size     4250, 184017803 req, miss ratio 0.5880, byte miss ratio 0.5880
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size    14168, 184017803 req, miss ratio 0.5504, byte miss ratio 0.5504
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size    42504, 184017803 req, miss ratio 0.5156, byte miss ratio 0.5156
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size   141681, 184017803 req, miss ratio 0.3737, byte miss ratio 0.3737
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size   283362, 184017803 req, miss ratio 0.2295, byte miss ratio 0.2295
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size   566724, 184017803 req, miss ratio 0.1119, byte miss ratio 0.1119
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.5000 cache size  1133448, 184017803 req, miss ratio 0.0184, byte miss ratio 0.0184
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size     1416, 184017803 req, miss ratio 0.5790, byte miss ratio 0.5790
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size     4250, 184017803 req, miss ratio 0.5456, byte miss ratio 0.5456
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size    14168, 184017803 req, miss ratio 0.5113, byte miss ratio 0.5113
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size    42504, 184017803 req, miss ratio 0.4731, byte miss ratio 0.4731
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   141681, 184017803 req, miss ratio 0.3054, byte miss ratio 0.3054
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   283362, 184017803 req, miss ratio 0.1604, byte miss ratio 0.1604
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size   566724, 184017803 req, miss ratio 0.0779, byte miss ratio 0.0779
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.4000 cache size  1133448, 184017803 req, miss ratio 0.0101, byte miss ratio 0.0101
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size     1416, 184017803 req, miss ratio 0.5960, byte miss ratio 0.5960
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size     4250, 184017803 req, miss ratio 0.5618, byte miss ratio 0.5618
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size    14168, 184017803 req, miss ratio 0.5296, byte miss ratio 0.5296
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size    42504, 184017803 req, miss ratio 0.5000, byte miss ratio 0.5000
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size   141681, 184017803 req, miss ratio 0.4067, byte miss ratio 0.4067
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size   283362, 184017803 req, miss ratio 0.2305, byte miss ratio 0.2305
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size   566724, 184017803 req, miss ratio 0.1045, byte miss ratio 0.1045
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.1000 cache size  1133448, 184017803 req, miss ratio 0.0165, byte miss ratio 0.0165
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.8000 cache size     1416, 184017803 req, miss ratio 0.5694, byte miss ratio 0.5694
