io_traces.ns227 S3FIFO-0.0010-0.9000 cache size     1465, 11600000 req, miss ratio 0.2977, byte miss ratio 0.2977
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size     4397, 11600000 req, miss ratio 0.2943, byte miss ratio 0.2943
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size    14659, 11600000 req, miss ratio 0.2562, byte miss ratio 0.2562
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size    43978, 11600000 req, miss ratio 0.1876, byte miss ratio 0.1876
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size   146594, 11600000 req, miss ratio 0.1418, byte miss ratio 0.1418
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size   293188, 11600000 req, miss ratio 0.1362, byte miss ratio 0.1362
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size   586377, 11600000 req, miss ratio 0.1318, byte miss ratio 0.1318
io_traces.ns227 S3FIFO-0.0010-0.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size     1465, 11600000 req, miss ratio 0.2517, byte miss ratio 0.2517
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size     4397, 11600000 req, miss ratio 0.2481, byte miss ratio 0.2481
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size    14659, 11600000 req, miss ratio 0.2364, byte miss ratio 0.2364
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size    43978, 11600000 req, miss ratio 0.1973, byte miss ratio 0.1973
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size   146594, 11600000 req, miss ratio 0.1432, byte miss ratio 0.1432
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size   293188, 11600000 req, miss ratio 0.1360, byte miss ratio 0.1360
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size   586377, 11600000 req, miss ratio 0.1314, byte miss ratio 0.1314
io_traces.ns227 S3FIFO-0.4000-1.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size     1465, 11600000 req, miss ratio 0.2549, byte miss ratio 0.2549
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size     4397, 11600000 req, miss ratio 0.2510, byte miss ratio 0.2510
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size    14659, 11600000 req, miss ratio 0.2388, byte miss ratio 0.2388
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size    43978, 11600000 req, miss ratio 0.2143, byte miss ratio 0.2143
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size   146594, 11600000 req, miss ratio 0.1659, byte miss ratio 0.1659
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size   293188, 11600000 req, miss ratio 0.1454, byte miss ratio 0.1454
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size   586377, 11600000 req, miss ratio 0.1329, byte miss ratio 0.1329
io_traces.ns227 S3FIFO-0.8500-1.9000 cache size  1172754, 11600000 req, miss ratio 0.1273, byte miss ratio 0.1273
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size     1465, 11600000 req, miss ratio 0.2538, byte miss ratio 0.2538
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size     4397, 11600000 req, miss ratio 0.2505, byte miss ratio 0.2505
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size    14659, 11600000 req, miss ratio 0.2367, byte miss ratio 0.2367
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size    43978, 11600000 req, miss ratio 0.2111, byte miss ratio 0.2111
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size   146594, 11600000 req, miss ratio 0.1626, byte miss ratio 0.1626
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size   293188, 11600000 req, miss ratio 0.1421, byte miss ratio 0.1421
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size   586377, 11600000 req, miss ratio 0.1322, byte miss ratio 0.1322
io_traces.ns227 S3FIFO-0.8000-0.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size     1465, 11600000 req, miss ratio 0.2526, byte miss ratio 0.2526
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size     4397, 11600000 req, miss ratio 0.2495, byte miss ratio 0.2495
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size    14659, 11600000 req, miss ratio 0.2360, byte miss ratio 0.2360
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size    43978, 11600000 req, miss ratio 0.2071, byte miss ratio 0.2071
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size   146594, 11600000 req, miss ratio 0.1517, byte miss ratio 0.1517
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size   293188, 11600000 req, miss ratio 0.1385, byte miss ratio 0.1385
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size   586377, 11600000 req, miss ratio 0.1315, byte miss ratio 0.1315
io_traces.ns227 S3FIFO-0.6500-0.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size     1465, 11600000 req, miss ratio 0.2515, byte miss ratio 0.2515
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size     4397, 11600000 req, miss ratio 0.2463, byte miss ratio 0.2463
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size    14659, 11600000 req, miss ratio 0.2312, byte miss ratio 0.2312
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size    43978, 11600000 req, miss ratio 0.1853, byte miss ratio 0.1853
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size   146594, 11600000 req, miss ratio 0.1409, byte miss ratio 0.1409
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size   293188, 11600000 req, miss ratio 0.1354, byte miss ratio 0.1354
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size   586377, 11600000 req, miss ratio 0.1317, byte miss ratio 0.1317
io_traces.ns227 S3FIFO-0.1500-1.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size     1465, 11600000 req, miss ratio 0.2532, byte miss ratio 0.2532
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size     4397, 11600000 req, miss ratio 0.2470, byte miss ratio 0.2470
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size    14659, 11600000 req, miss ratio 0.2300, byte miss ratio 0.2300
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size    43978, 11600000 req, miss ratio 0.1783, byte miss ratio 0.1783
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size   146594, 11600000 req, miss ratio 0.1406, byte miss ratio 0.1406
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size   293188, 11600000 req, miss ratio 0.1357, byte miss ratio 0.1357
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size   586377, 11600000 req, miss ratio 0.1318, byte miss ratio 0.1318
io_traces.ns227 S3FIFO-0.0250-1.9000 cache size  1172754, 11600000 req, miss ratio 0.1270, byte miss ratio 0.1270
