tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size       70, 1483666 req, miss ratio 0.4334, byte miss ratio 0.4334
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size      212, 1483666 req, miss ratio 0.3063, byte miss ratio 0.3063
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size      706, 1483666 req, miss ratio 0.2771, byte miss ratio 0.2771
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size     2120, 1483666 req, miss ratio 0.2641, byte miss ratio 0.2641
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size     7067, 1483666 req, miss ratio 0.2493, byte miss ratio 0.2493
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size    14134, 1483666 req, miss ratio 0.2354, byte miss ratio 0.2354
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size    28268, 1483666 req, miss ratio 0.1781, byte miss ratio 0.1781
tencentBlock.ns12293 S3FIFO-0.8500-0.9000 cache size    56536, 1483666 req, miss ratio 0.0819, byte miss ratio 0.0819
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size       70, 1483666 req, miss ratio 0.3359, byte miss ratio 0.3359
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size      212, 1483666 req, miss ratio 0.2948, byte miss ratio 0.2948
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size      706, 1483666 req, miss ratio 0.2674, byte miss ratio 0.2674
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size     2120, 1483666 req, miss ratio 0.2486, byte miss ratio 0.2486
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size     7067, 1483666 req, miss ratio 0.2313, byte miss ratio 0.2313
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size    14134, 1483666 req, miss ratio 0.2235, byte miss ratio 0.2235
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size    28268, 1483666 req, miss ratio 0.1733, byte miss ratio 0.1733
tencentBlock.ns12293 S3FIFO-0.0250-1.9000 cache size    56536, 1483666 req, miss ratio 0.0682, byte miss ratio 0.0682
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size       70, 1483666 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size      212, 1483666 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size      706, 1483666 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size     2120, 1483666 req, miss ratio 0.2679, byte miss ratio 0.2679
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size     7067, 1483666 req, miss ratio 0.2326, byte miss ratio 0.2326
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size    14134, 1483666 req, miss ratio 0.2110, byte miss ratio 0.2110
tencentBlock.ns12293 S3FIFO-0.0010-0.9000 cache size    28268, 1483666 req, miss ratio 0.1711, byte miss ratio 0.1711
