tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size      142, 1402583 req, miss ratio 0.4997, byte miss ratio 0.4997
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size      427, 1402583 req, miss ratio 0.4842, byte miss ratio 0.4842
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size     1426, 1402583 req, miss ratio 0.4307, byte miss ratio 0.4307
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size     4279, 1402583 req, miss ratio 0.4253, byte miss ratio 0.4253
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size    14264, 1402583 req, miss ratio 0.4016, byte miss ratio 0.4016
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size    28529, 1402583 req, miss ratio 0.3761, byte miss ratio 0.3761
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size    57059, 1402583 req, miss ratio 0.2946, byte miss ratio 0.2946
tencentBlock.ns21523 S3FIFO-0.4500-1.9000 cache size   114119, 1402583 req, miss ratio 0.1369, byte miss ratio 0.1369
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size      142, 1402583 req, miss ratio 0.5008, byte miss ratio 0.5008
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size      427, 1402583 req, miss ratio 0.4835, byte miss ratio 0.4835
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size     1426, 1402583 req, miss ratio 0.4332, byte miss ratio 0.4332
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size     4279, 1402583 req, miss ratio 0.4252, byte miss ratio 0.4252
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size    14264, 1402583 req, miss ratio 0.4006, byte miss ratio 0.4006
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size    28529, 1402583 req, miss ratio 0.3787, byte miss ratio 0.3787
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size    57059, 1402583 req, miss ratio 0.3058, byte miss ratio 0.3058
tencentBlock.ns21523 S3FIFO-0.3000-0.9000 cache size   114119, 1402583 req, miss ratio 0.1262, byte miss ratio 0.1262
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size      142, 1402583 req, miss ratio 0.5030, byte miss ratio 0.5030
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size      427, 1402583 req, miss ratio 0.4836, byte miss ratio 0.4836
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size     1426, 1402583 req, miss ratio 0.4369, byte miss ratio 0.4369
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size     4279, 1402583 req, miss ratio 0.4248, byte miss ratio 0.4248
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size    14264, 1402583 req, miss ratio 0.4048, byte miss ratio 0.4048
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size    28529, 1402583 req, miss ratio 0.3458, byte miss ratio 0.3458
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size    57059, 1402583 req, miss ratio 0.2951, byte miss ratio 0.2951
tencentBlock.ns21523 S3FIFO-0.1000-0.9000 cache size   114119, 1402583 req, miss ratio 0.1207, byte miss ratio 0.1207
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size      142, 1402583 req, miss ratio 0.5797, byte miss ratio 0.5797
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size      427, 1402583 req, miss ratio 0.5033, byte miss ratio 0.5033
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size     1426, 1402583 req, miss ratio 0.4804, byte miss ratio 0.4804
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size     4279, 1402583 req, miss ratio 0.4388, byte miss ratio 0.4388
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size    14264, 1402583 req, miss ratio 0.4153, byte miss ratio 0.4153
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size    28529, 1402583 req, miss ratio 0.3753, byte miss ratio 0.3753
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size    57059, 1402583 req, miss ratio 0.2836, byte miss ratio 0.2836
tencentBlock.ns21523 S3FIFO-0.9000-1.9000 cache size   114119, 1402583 req, miss ratio 0.1482, byte miss ratio 0.1482
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size      142, 1402583 req, miss ratio 0.5007, byte miss ratio 0.5007
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size      427, 1402583 req, miss ratio 0.4832, byte miss ratio 0.4832
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size     1426, 1402583 req, miss ratio 0.4339, byte miss ratio 0.4339
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size     4279, 1402583 req, miss ratio 0.4250, byte miss ratio 0.4250
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size    14264, 1402583 req, miss ratio 0.3988, byte miss ratio 0.3988
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size    28529, 1402583 req, miss ratio 0.3584, byte miss ratio 0.3584
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size    57059, 1402583 req, miss ratio 0.2984, byte miss ratio 0.2984
tencentBlock.ns21523 S3FIFO-0.2000-0.9000 cache size   114119, 1402583 req, miss ratio 0.1226, byte miss ratio 0.1226
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size      142, 1402583 req, miss ratio 0.5133, byte miss ratio 0.5133
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size      427, 1402583 req, miss ratio 0.4912, byte miss ratio 0.4912
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size     1426, 1402583 req, miss ratio 0.4633, byte miss ratio 0.4633
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size     4279, 1402583 req, miss ratio 0.4263, byte miss ratio 0.4263
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size    14264, 1402583 req, miss ratio 0.4232, byte miss ratio 0.4232
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size    28529, 1402583 req, miss ratio 0.3823, byte miss ratio 0.3823
tencentBlock.ns21523 S3FIFO-0.7000-0.9000 cache size    57059, 1402583 req, miss ratio 0.2867, byte miss ratio 0.2867
