io_traces.ns538 S3FIFO-0.0050-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size   182364, 14200000 req, miss ratio 0.6645, byte miss ratio 0.6645
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size   607881, 14200000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4836, byte miss ratio 0.4836
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9593, byte miss ratio 0.9593
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9511, byte miss ratio 0.9511
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size    60788, 14200000 req, miss ratio 0.9280, byte miss ratio 0.9280
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size   182364, 14200000 req, miss ratio 0.8687, byte miss ratio 0.8687
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size   607881, 14200000 req, miss ratio 0.6128, byte miss ratio 0.6128
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.5228, byte miss ratio 0.5228
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4666, byte miss ratio 0.4666
io_traces.ns538 S3FIFO-0.8000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size     6078, 14200000 req, miss ratio 0.9541, byte miss ratio 0.9541
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size    18236, 14200000 req, miss ratio 0.9377, byte miss ratio 0.9377
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size    60788, 14200000 req, miss ratio 0.8561, byte miss ratio 0.8561
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size   182364, 14200000 req, miss ratio 0.7209, byte miss ratio 0.7209
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size   607881, 14200000 req, miss ratio 0.5330, byte miss ratio 0.5330
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4849, byte miss ratio 0.4849
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.3500-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9544, byte miss ratio 0.9544
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8839, byte miss ratio 0.8839
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size   182364, 14200000 req, miss ratio 0.7060, byte miss ratio 0.7060
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5302, byte miss ratio 0.5302
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4850, byte miss ratio 0.4850
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.3500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9554, byte miss ratio 0.9554
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8980, byte miss ratio 0.8980
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size   182364, 14200000 req, miss ratio 0.7518, byte miss ratio 0.7518
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5513, byte miss ratio 0.5513
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4896, byte miss ratio 0.4896
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4573, byte miss ratio 0.4573
io_traces.ns538 S3FIFO-0.5500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size     6078, 14200000 req, miss ratio 0.9539, byte miss ratio 0.9539
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size    18236, 14200000 req, miss ratio 0.9378, byte miss ratio 0.9378
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size    60788, 14200000 req, miss ratio 0.8412, byte miss ratio 0.8412
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size   182364, 14200000 req, miss ratio 0.6958, byte miss ratio 0.6958
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size   607881, 14200000 req, miss ratio 0.5243, byte miss ratio 0.5243
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4841, byte miss ratio 0.4841
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.2500-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.3000-0.9000 cache size    60788, 14200000 req, miss ratio 0.8820, byte miss ratio 0.8820
