cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size      628, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size     1885, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size     6285, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size    18856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size    62856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size   125712, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size   251424, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.4500-1.9000 cache size   502848, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size      628, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size     1885, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size     6285, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size    18856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size    62856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size   125712, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size   251424, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.1500-0.9000 cache size   502848, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size      628, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size     1885, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size     6285, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size    18856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size    62856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size   125712, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size   251424, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2500-0.9000 cache size   502848, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size      628, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size     1885, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size     6285, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size    18856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size    62856, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size   125712, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size   251424, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.2000-0.9000 cache size   502848, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.6500-1.9000 cache size      628, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.6500-1.9000 cache size     1885, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns2335 S3FIFO-0.6500-1.9000 cache size     6285, 91514994 req, miss ratio 0.0069, byte miss ratio 0.0069
