cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size      296, 2490326 req, miss ratio 0.2364, byte miss ratio 0.2364
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size      888, 2490326 req, miss ratio 0.2203, byte miss ratio 0.2203
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size     2960, 2490326 req, miss ratio 0.2008, byte miss ratio 0.2008
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size     8882, 2490326 req, miss ratio 0.1754, byte miss ratio 0.1754
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size    29608, 2490326 req, miss ratio 0.1504, byte miss ratio 0.1504
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size    59216, 2490326 req, miss ratio 0.1359, byte miss ratio 0.1359
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size   118432, 2490326 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns855 S3FIFO-0.7000-1.9000 cache size   236864, 2490326 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size      296, 2490326 req, miss ratio 0.2333, byte miss ratio 0.2333
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size      888, 2490326 req, miss ratio 0.2170, byte miss ratio 0.2170
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size     2960, 2490326 req, miss ratio 0.1944, byte miss ratio 0.1944
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size     8882, 2490326 req, miss ratio 0.1701, byte miss ratio 0.1701
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size    29608, 2490326 req, miss ratio 0.1449, byte miss ratio 0.1449
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size    59216, 2490326 req, miss ratio 0.1328, byte miss ratio 0.1328
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size   118432, 2490326 req, miss ratio 0.1247, byte miss ratio 0.1247
cdn1_colo28.ns855 S3FIFO-0.5000-0.9000 cache size   236864, 2490326 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size      296, 2490326 req, miss ratio 0.2350, byte miss ratio 0.2350
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size      888, 2490326 req, miss ratio 0.2174, byte miss ratio 0.2174
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size     2960, 2490326 req, miss ratio 0.1914, byte miss ratio 0.1914
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size     8882, 2490326 req, miss ratio 0.1682, byte miss ratio 0.1682
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size    29608, 2490326 req, miss ratio 0.1438, byte miss ratio 0.1438
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size    59216, 2490326 req, miss ratio 0.1321, byte miss ratio 0.1321
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size   118432, 2490326 req, miss ratio 0.1247, byte miss ratio 0.1247
cdn1_colo28.ns855 S3FIFO-0.0250-0.9000 cache size   236864, 2490326 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size      296, 2490326 req, miss ratio 0.2329, byte miss ratio 0.2329
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size      888, 2490326 req, miss ratio 0.2170, byte miss ratio 0.2170
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size     2960, 2490326 req, miss ratio 0.1949, byte miss ratio 0.1949
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size     8882, 2490326 req, miss ratio 0.1703, byte miss ratio 0.1703
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size    29608, 2490326 req, miss ratio 0.1453, byte miss ratio 0.1453
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size    59216, 2490326 req, miss ratio 0.1330, byte miss ratio 0.1330
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size   118432, 2490326 req, miss ratio 0.1248, byte miss ratio 0.1248
cdn1_colo28.ns855 S3FIFO-0.5000-1.9000 cache size   236864, 2490326 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size      296, 2490326 req, miss ratio 0.2315, byte miss ratio 0.2315
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size      888, 2490326 req, miss ratio 0.2151, byte miss ratio 0.2151
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size     2960, 2490326 req, miss ratio 0.1904, byte miss ratio 0.1904
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size     8882, 2490326 req, miss ratio 0.1672, byte miss ratio 0.1672
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size    29608, 2490326 req, miss ratio 0.1426, byte miss ratio 0.1426
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size    59216, 2490326 req, miss ratio 0.1316, byte miss ratio 0.1316
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size   118432, 2490326 req, miss ratio 0.1247, byte miss ratio 0.1247
cdn1_colo28.ns855 S3FIFO-0.3000-1.9000 cache size   236864, 2490326 req, miss ratio 0.1196, byte miss ratio 0.1196
cdn1_colo28.ns855 S3FIFO-0.4000-0.9000 cache size      296, 2490326 req, miss ratio 0.2326, byte miss ratio 0.2326
cdn1_colo28.ns855 S3FIFO-0.4000-0.9000 cache size      888, 2490326 req, miss ratio 0.2160, byte miss ratio 0.2160
