cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size     9471, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size    28415, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size    94719, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size   284157, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size   947191, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size  1894383, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size  3788767, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.3000-0.9000 cache size  7577534, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size     9471, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size    28415, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size    94719, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size   284157, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size   947191, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size  1894383, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
cdn1_allcolo.ns803 S3FIFO-0.0100-1.9000 cache size  3788767, 9704117 req, miss ratio 0.9761, byte miss ratio 0.9761
