tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size     1030, 2650547 req, miss ratio 0.5962, byte miss ratio 0.5962
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size     3090, 2650547 req, miss ratio 0.5226, byte miss ratio 0.5226
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size    10300, 2650547 req, miss ratio 0.4944, byte miss ratio 0.4944
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size    30900, 2650547 req, miss ratio 0.4632, byte miss ratio 0.4632
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size   103002, 2650547 req, miss ratio 0.4018, byte miss ratio 0.4018
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size   206005, 2650547 req, miss ratio 0.3926, byte miss ratio 0.3926
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size   412011, 2650547 req, miss ratio 0.3892, byte miss ratio 0.3892
tencentBlock.ns13980 S3FIFO-0.0050-1.9000 cache size   824023, 2650547 req, miss ratio 0.3886, byte miss ratio 0.3886
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size     1030, 2650547 req, miss ratio 0.4935, byte miss ratio 0.4935
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size     3090, 2650547 req, miss ratio 0.4925, byte miss ratio 0.4925
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size    10300, 2650547 req, miss ratio 0.4913, byte miss ratio 0.4913
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size    30900, 2650547 req, miss ratio 0.4716, byte miss ratio 0.4716
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size   103002, 2650547 req, miss ratio 0.4069, byte miss ratio 0.4069
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size   206005, 2650547 req, miss ratio 0.3934, byte miss ratio 0.3934
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size   412011, 2650547 req, miss ratio 0.3892, byte miss ratio 0.3892
tencentBlock.ns13980 S3FIFO-0.2000-0.9000 cache size   824023, 2650547 req, miss ratio 0.3886, byte miss ratio 0.3886
tencentBlock.ns13980 S3FIFO-0.4000-1.9000 cache size     1030, 2650547 req, miss ratio 0.4934, byte miss ratio 0.4934
