io_traces.ns254 S3FIFO-0.5000-0.9000 cache size     9796, 16200000 req, miss ratio 0.8385, byte miss ratio 0.8385
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size    29388, 16200000 req, miss ratio 0.8343, byte miss ratio 0.8343
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size    97960, 16200000 req, miss ratio 0.7908, byte miss ratio 0.7908
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size   293881, 16200000 req, miss ratio 0.7514, byte miss ratio 0.7514
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size   979605, 16200000 req, miss ratio 0.7372, byte miss ratio 0.7372
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size  1959210, 16200000 req, miss ratio 0.7194, byte miss ratio 0.7194
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size  3918420, 16200000 req, miss ratio 0.6653, byte miss ratio 0.6653
io_traces.ns254 S3FIFO-0.5000-0.9000 cache size  7836840, 16200000 req, miss ratio 0.6132, byte miss ratio 0.6132
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size     9796, 16200000 req, miss ratio 0.8868, byte miss ratio 0.8868
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size    29388, 16200000 req, miss ratio 0.8360, byte miss ratio 0.8360
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size    97960, 16200000 req, miss ratio 0.7616, byte miss ratio 0.7616
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size   293881, 16200000 req, miss ratio 0.7505, byte miss ratio 0.7505
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size   979605, 16200000 req, miss ratio 0.7304, byte miss ratio 0.7304
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size  1959210, 16200000 req, miss ratio 0.7120, byte miss ratio 0.7120
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size  3918420, 16200000 req, miss ratio 0.6645, byte miss ratio 0.6645
io_traces.ns254 S3FIFO-0.0010-0.9000 cache size  7836840, 16200000 req, miss ratio 0.6132, byte miss ratio 0.6132
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size     9796, 16200000 req, miss ratio 0.8393, byte miss ratio 0.8393
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size    29388, 16200000 req, miss ratio 0.8362, byte miss ratio 0.8362
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size    97960, 16200000 req, miss ratio 0.8233, byte miss ratio 0.8233
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size   293881, 16200000 req, miss ratio 0.8003, byte miss ratio 0.8003
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size   979605, 16200000 req, miss ratio 0.7678, byte miss ratio 0.7678
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size  1959210, 16200000 req, miss ratio 0.7278, byte miss ratio 0.7278
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size  3918420, 16200000 req, miss ratio 0.6748, byte miss ratio 0.6748
io_traces.ns254 S3FIFO-0.9900-1.9000 cache size  7836840, 16200000 req, miss ratio 0.6166, byte miss ratio 0.6166
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size     9796, 16200000 req, miss ratio 0.8389, byte miss ratio 0.8389
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size    29388, 16200000 req, miss ratio 0.8360, byte miss ratio 0.8360
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size    97960, 16200000 req, miss ratio 0.8214, byte miss ratio 0.8214
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size   293881, 16200000 req, miss ratio 0.7945, byte miss ratio 0.7945
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size   979605, 16200000 req, miss ratio 0.7609, byte miss ratio 0.7609
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size  1959210, 16200000 req, miss ratio 0.7275, byte miss ratio 0.7275
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size  3918420, 16200000 req, miss ratio 0.6738, byte miss ratio 0.6738
io_traces.ns254 S3FIFO-0.9500-0.9000 cache size  7836840, 16200000 req, miss ratio 0.6146, byte miss ratio 0.6146
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size     9796, 16200000 req, miss ratio 0.8393, byte miss ratio 0.8393
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size    29388, 16200000 req, miss ratio 0.8360, byte miss ratio 0.8360
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size    97960, 16200000 req, miss ratio 0.8220, byte miss ratio 0.8220
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size   293881, 16200000 req, miss ratio 0.7989, byte miss ratio 0.7989
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size   979605, 16200000 req, miss ratio 0.7683, byte miss ratio 0.7683
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size  1959210, 16200000 req, miss ratio 0.7293, byte miss ratio 0.7293
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size  3918420, 16200000 req, miss ratio 0.6748, byte miss ratio 0.6748
io_traces.ns254 S3FIFO-0.9900-0.9000 cache size  7836840, 16200000 req, miss ratio 0.6166, byte miss ratio 0.6166
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size     9796, 16200000 req, miss ratio 0.8382, byte miss ratio 0.8382
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size    29388, 16200000 req, miss ratio 0.8332, byte miss ratio 0.8332
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size    97960, 16200000 req, miss ratio 0.7666, byte miss ratio 0.7666
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size   293881, 16200000 req, miss ratio 0.7513, byte miss ratio 0.7513
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size   979605, 16200000 req, miss ratio 0.7323, byte miss ratio 0.7323
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size  1959210, 16200000 req, miss ratio 0.7136, byte miss ratio 0.7136
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size  3918420, 16200000 req, miss ratio 0.6645, byte miss ratio 0.6645
io_traces.ns254 S3FIFO-0.2000-0.9000 cache size  7836840, 16200000 req, miss ratio 0.6132, byte miss ratio 0.6132
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size     9796, 16200000 req, miss ratio 0.8375, byte miss ratio 0.8375
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size    29388, 16200000 req, miss ratio 0.8235, byte miss ratio 0.8235
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size    97960, 16200000 req, miss ratio 0.7571, byte miss ratio 0.7571
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size   293881, 16200000 req, miss ratio 0.7504, byte miss ratio 0.7504
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size   979605, 16200000 req, miss ratio 0.7218, byte miss ratio 0.7218
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size  1959210, 16200000 req, miss ratio 0.7099, byte miss ratio 0.7099
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size  3918420, 16200000 req, miss ratio 0.6647, byte miss ratio 0.6647
io_traces.ns254 S3FIFO-0.0250-1.9000 cache size  7836840, 16200000 req, miss ratio 0.6132, byte miss ratio 0.6132
io_traces.ns254 S3FIFO-0.0050-1.9000 cache size     9796, 16200000 req, miss ratio 0.8383, byte miss ratio 0.8383
