tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size       52, 2101567 req, miss ratio 0.5254, byte miss ratio 0.5254
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size      156, 2101567 req, miss ratio 0.3837, byte miss ratio 0.3837
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size      522, 2101567 req, miss ratio 0.1359, byte miss ratio 0.1359
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size     1568, 2101567 req, miss ratio 0.0987, byte miss ratio 0.0987
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size     5226, 2101567 req, miss ratio 0.0813, byte miss ratio 0.0813
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size    10453, 2101567 req, miss ratio 0.0712, byte miss ratio 0.0712
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size    20906, 2101567 req, miss ratio 0.0485, byte miss ratio 0.0485
tencentBlock.ns14533 S3FIFO-0.4000-0.9000 cache size    41813, 2101567 req, miss ratio 0.0261, byte miss ratio 0.0261
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size       52, 2101567 req, miss ratio 0.5706, byte miss ratio 0.5706
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size      156, 2101567 req, miss ratio 0.4161, byte miss ratio 0.4161
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size      522, 2101567 req, miss ratio 0.1553, byte miss ratio 0.1553
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size     1568, 2101567 req, miss ratio 0.1054, byte miss ratio 0.1054
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size     5226, 2101567 req, miss ratio 0.0855, byte miss ratio 0.0855
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size    10453, 2101567 req, miss ratio 0.0734, byte miss ratio 0.0734
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size    20906, 2101567 req, miss ratio 0.0503, byte miss ratio 0.0503
tencentBlock.ns14533 S3FIFO-0.7000-0.9000 cache size    41813, 2101567 req, miss ratio 0.0269, byte miss ratio 0.0269
tencentBlock.ns14533 S3FIFO-0.8000-0.9000 cache size       52, 2101567 req, miss ratio 0.5895, byte miss ratio 0.5895
tencentBlock.ns14533 S3FIFO-0.8000-0.9000 cache size      156, 2101567 req, miss ratio 0.4203, byte miss ratio 0.4203
