cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size        7, 1195234 req, miss ratio 0.2327, byte miss ratio 0.2327
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size       22, 1195234 req, miss ratio 0.0998, byte miss ratio 0.0998
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size       74, 1195234 req, miss ratio 0.0742, byte miss ratio 0.0742
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size      223, 1195234 req, miss ratio 0.0551, byte miss ratio 0.0551
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size      743, 1195234 req, miss ratio 0.0336, byte miss ratio 0.0336
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size     1487, 1195234 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size     2974, 1195234 req, miss ratio 0.0115, byte miss ratio 0.0115
cdn1_allcolo.ns849 S3FIFO-0.1500-0.9000 cache size     5949, 1195234 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size        7, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size       22, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size       74, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size      223, 1195234 req, miss ratio 0.0568, byte miss ratio 0.0568
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size      743, 1195234 req, miss ratio 0.0335, byte miss ratio 0.0335
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size     1487, 1195234 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size     2974, 1195234 req, miss ratio 0.0112, byte miss ratio 0.0112
cdn1_allcolo.ns849 S3FIFO-0.0050-1.9000 cache size     5949, 1195234 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size        7, 1195234 req, miss ratio 0.3176, byte miss ratio 0.3176
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size       22, 1195234 req, miss ratio 0.1364, byte miss ratio 0.1364
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size       74, 1195234 req, miss ratio 0.0852, byte miss ratio 0.0852
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size      223, 1195234 req, miss ratio 0.0645, byte miss ratio 0.0645
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size      743, 1195234 req, miss ratio 0.0407, byte miss ratio 0.0407
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size     1487, 1195234 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size     2974, 1195234 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_allcolo.ns849 S3FIFO-0.8000-1.9000 cache size     5949, 1195234 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size        7, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size       22, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size       74, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size      223, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size      743, 1195234 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size     1487, 1195234 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size     2974, 1195234 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns849 S3FIFO-0.0010-1.9000 cache size     5949, 1195234 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size        7, 1195234 req, miss ratio 0.2963, byte miss ratio 0.2963
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size       22, 1195234 req, miss ratio 0.1268, byte miss ratio 0.1268
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size       74, 1195234 req, miss ratio 0.0817, byte miss ratio 0.0817
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size      223, 1195234 req, miss ratio 0.0625, byte miss ratio 0.0625
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size      743, 1195234 req, miss ratio 0.0395, byte miss ratio 0.0395
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size     1487, 1195234 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size     2974, 1195234 req, miss ratio 0.0142, byte miss ratio 0.0142
cdn1_allcolo.ns849 S3FIFO-0.7000-0.9000 cache size     5949, 1195234 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size        7, 1195234 req, miss ratio 0.3352, byte miss ratio 0.3352
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size       22, 1195234 req, miss ratio 0.1459, byte miss ratio 0.1459
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size       74, 1195234 req, miss ratio 0.0897, byte miss ratio 0.0897
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size      223, 1195234 req, miss ratio 0.0663, byte miss ratio 0.0663
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size      743, 1195234 req, miss ratio 0.0420, byte miss ratio 0.0420
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size     1487, 1195234 req, miss ratio 0.0278, byte miss ratio 0.0278
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size     2974, 1195234 req, miss ratio 0.0156, byte miss ratio 0.0156
cdn1_allcolo.ns849 S3FIFO-0.9000-1.9000 cache size     5949, 1195234 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size        7, 1195234 req, miss ratio 0.3166, byte miss ratio 0.3166
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size       22, 1195234 req, miss ratio 0.1314, byte miss ratio 0.1314
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size       74, 1195234 req, miss ratio 0.0831, byte miss ratio 0.0831
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size      223, 1195234 req, miss ratio 0.0634, byte miss ratio 0.0634
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size      743, 1195234 req, miss ratio 0.0402, byte miss ratio 0.0402
cdn1_allcolo.ns849 S3FIFO-0.7500-0.9000 cache size     1487, 1195234 req, miss ratio 0.0265, byte miss ratio 0.0265
