cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size      459, 3164647 req, miss ratio 0.7078, byte miss ratio 0.7078
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size     1379, 3164647 req, miss ratio 0.5984, byte miss ratio 0.5984
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size     4599, 3164647 req, miss ratio 0.4647, byte miss ratio 0.4647
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size    13799, 3164647 req, miss ratio 0.3446, byte miss ratio 0.3446
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size    45999, 3164647 req, miss ratio 0.2335, byte miss ratio 0.2335
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size    91999, 3164647 req, miss ratio 0.1869, byte miss ratio 0.1869
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size   183998, 3164647 req, miss ratio 0.1585, byte miss ratio 0.1585
cdn1_colo28.ns281 S3FIFO-0.2500-1.9000 cache size   367997, 3164647 req, miss ratio 0.1463, byte miss ratio 0.1463
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size      459, 3164647 req, miss ratio 0.7326, byte miss ratio 0.7326
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size     1379, 3164647 req, miss ratio 0.6269, byte miss ratio 0.6269
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size     4599, 3164647 req, miss ratio 0.4906, byte miss ratio 0.4906
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size    13799, 3164647 req, miss ratio 0.3657, byte miss ratio 0.3657
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size    45999, 3164647 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size    91999, 3164647 req, miss ratio 0.1960, byte miss ratio 0.1960
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size   183998, 3164647 req, miss ratio 0.1612, byte miss ratio 0.1612
cdn1_colo28.ns281 S3FIFO-0.5000-1.9000 cache size   367997, 3164647 req, miss ratio 0.1463, byte miss ratio 0.1463
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size      459, 3164647 req, miss ratio 0.7122, byte miss ratio 0.7122
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size     1379, 3164647 req, miss ratio 0.6033, byte miss ratio 0.6033
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size     4599, 3164647 req, miss ratio 0.4691, byte miss ratio 0.4691
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size    13799, 3164647 req, miss ratio 0.3482, byte miss ratio 0.3482
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size    45999, 3164647 req, miss ratio 0.2361, byte miss ratio 0.2361
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size    91999, 3164647 req, miss ratio 0.1882, byte miss ratio 0.1882
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size   183998, 3164647 req, miss ratio 0.1588, byte miss ratio 0.1588
cdn1_colo28.ns281 S3FIFO-0.3000-1.9000 cache size   367997, 3164647 req, miss ratio 0.1463, byte miss ratio 0.1463
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size      459, 3164647 req, miss ratio 0.7591, byte miss ratio 0.7591
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size     1379, 3164647 req, miss ratio 0.6579, byte miss ratio 0.6579
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size     4599, 3164647 req, miss ratio 0.5196, byte miss ratio 0.5196
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size    13799, 3164647 req, miss ratio 0.3892, byte miss ratio 0.3892
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size    45999, 3164647 req, miss ratio 0.2655, byte miss ratio 0.2655
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size    91999, 3164647 req, miss ratio 0.2074, byte miss ratio 0.2074
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size   183998, 3164647 req, miss ratio 0.1668, byte miss ratio 0.1668
cdn1_colo28.ns281 S3FIFO-0.7000-1.9000 cache size   367997, 3164647 req, miss ratio 0.1463, byte miss ratio 0.1463
cdn1_colo28.ns281 S3FIFO-0.2000-1.9000 cache size      459, 3164647 req, miss ratio 0.7037, byte miss ratio 0.7037
cdn1_colo28.ns281 S3FIFO-0.2000-1.9000 cache size     1379, 3164647 req, miss ratio 0.5938, byte miss ratio 0.5938
cdn1_colo28.ns281 S3FIFO-0.2000-1.9000 cache size     4599, 3164647 req, miss ratio 0.4607, byte miss ratio 0.4607
