cdn1_allcolo.ns745 S3FIFO-0.9000-1.9000 cache size        7, 2767317 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_allcolo.ns745 S3FIFO-0.9000-1.9000 cache size       14, 2767317 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns745 S3FIFO-0.9000-1.9000 cache size       29, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.9000-1.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.3500-0.9000 cache size        7, 2767317 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns745 S3FIFO-0.3500-0.9000 cache size       14, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.3500-0.9000 cache size       29, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.3500-0.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.8500-0.9000 cache size        7, 2767317 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns745 S3FIFO-0.8500-0.9000 cache size       14, 2767317 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns745 S3FIFO-0.8500-0.9000 cache size       29, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.8500-0.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.8000-1.9000 cache size        7, 2767317 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns745 S3FIFO-0.8000-1.9000 cache size       14, 2767317 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns745 S3FIFO-0.8000-1.9000 cache size       29, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.8000-1.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.2000-0.9000 cache size        7, 2767317 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns745 S3FIFO-0.2000-0.9000 cache size       14, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.2000-0.9000 cache size       29, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.2000-0.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.1500-0.9000 cache size        7, 2767317 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns745 S3FIFO-0.1500-0.9000 cache size       14, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.1500-0.9000 cache size       29, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.1500-0.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
cdn1_allcolo.ns745 S3FIFO-0.9000-0.9000 cache size        7, 2767317 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_allcolo.ns745 S3FIFO-0.9000-0.9000 cache size       14, 2767317 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns745 S3FIFO-0.9000-0.9000 cache size       29, 2767317 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns745 S3FIFO-0.9000-0.9000 cache size       59, 2767317 req, miss ratio 0.0000, byte miss ratio 0.0000
