cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size        7, 1582281 req, miss ratio 0.2697, byte miss ratio 0.2697
cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size       21, 1582281 req, miss ratio 0.0372, byte miss ratio 0.0372
cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size       71, 1582281 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size      143, 1582281 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size      286, 1582281 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1146 S3FIFO-0.4500-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size        7, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size       21, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size       71, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size      143, 1582281 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.0100-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size        7, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size       21, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size       71, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size      143, 1582281 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.0100-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size        7, 1582281 req, miss ratio 0.2843, byte miss ratio 0.2843
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size       21, 1582281 req, miss ratio 0.0460, byte miss ratio 0.0460
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size       71, 1582281 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size      143, 1582281 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size      286, 1582281 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns1146 S3FIFO-0.7000-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size        7, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size       21, 1582281 req, miss ratio 0.0291, byte miss ratio 0.0291
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size       71, 1582281 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size      143, 1582281 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.0500-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size        7, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size       21, 1582281 req, miss ratio 0.0292, byte miss ratio 0.0292
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size       71, 1582281 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size      143, 1582281 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.1000-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size        7, 1582281 req, miss ratio 0.3066, byte miss ratio 0.3066
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size       21, 1582281 req, miss ratio 0.0552, byte miss ratio 0.0552
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size       71, 1582281 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size      143, 1582281 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size      286, 1582281 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns1146 S3FIFO-0.9900-1.9000 cache size      573, 1582281 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size        7, 1582281 req, miss ratio 0.2450, byte miss ratio 0.2450
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size       21, 1582281 req, miss ratio 0.0318, byte miss ratio 0.0318
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size       71, 1582281 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size      143, 1582281 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.2000-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size        7, 1582281 req, miss ratio 0.2602, byte miss ratio 0.2602
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size       21, 1582281 req, miss ratio 0.0346, byte miss ratio 0.0346
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size       71, 1582281 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size      143, 1582281 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size      286, 1582281 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1146 S3FIFO-0.3500-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size        7, 1582281 req, miss ratio 0.2967, byte miss ratio 0.2967
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size       21, 1582281 req, miss ratio 0.0468, byte miss ratio 0.0468
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size       71, 1582281 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size      143, 1582281 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size      286, 1582281 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns1146 S3FIFO-0.7500-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size        7, 1582281 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size       21, 1582281 req, miss ratio 0.0300, byte miss ratio 0.0300
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size       71, 1582281 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size      143, 1582281 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.1000-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size        7, 1582281 req, miss ratio 0.2602, byte miss ratio 0.2602
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size       21, 1582281 req, miss ratio 0.0357, byte miss ratio 0.0357
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size       71, 1582281 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size      143, 1582281 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size      286, 1582281 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1146 S3FIFO-0.4000-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size        7, 1582281 req, miss ratio 0.2450, byte miss ratio 0.2450
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size       21, 1582281 req, miss ratio 0.0326, byte miss ratio 0.0326
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size       71, 1582281 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size      143, 1582281 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.2500-1.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size        7, 1582281 req, miss ratio 0.2342, byte miss ratio 0.2342
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size       21, 1582281 req, miss ratio 0.0324, byte miss ratio 0.0324
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size       71, 1582281 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size      143, 1582281 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.2500-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size        7, 1582281 req, miss ratio 0.2544, byte miss ratio 0.2544
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size       21, 1582281 req, miss ratio 0.0334, byte miss ratio 0.0334
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size       71, 1582281 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size      143, 1582281 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size      286, 1582281 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1146 S3FIFO-0.3000-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size        7, 1582281 req, miss ratio 0.3004, byte miss ratio 0.3004
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size       21, 1582281 req, miss ratio 0.0480, byte miss ratio 0.0480
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size       71, 1582281 req, miss ratio 0.0067, byte miss ratio 0.0067
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size      143, 1582281 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size      286, 1582281 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns1146 S3FIFO-0.7500-0.9000 cache size      573, 1582281 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns1146 S3FIFO-0.5000-0.9000 cache size        7, 1582281 req, miss ratio 0.2697, byte miss ratio 0.2697
cdn1_allcolo.ns1146 S3FIFO-0.5000-0.9000 cache size       21, 1582281 req, miss ratio 0.0386, byte miss ratio 0.0386
