cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size       10, 2291469 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size       32, 2291469 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size      109, 2291469 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size      218, 2291469 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size      437, 2291469 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns2027 S3FIFO-0.0100-1.9000 cache size      875, 2291469 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size       10, 2291469 req, miss ratio 0.0843, byte miss ratio 0.0843
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size       32, 2291469 req, miss ratio 0.0083, byte miss ratio 0.0083
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size      109, 2291469 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size      218, 2291469 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size      437, 2291469 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns2027 S3FIFO-0.2000-1.9000 cache size      875, 2291469 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size       10, 2291469 req, miss ratio 0.0838, byte miss ratio 0.0838
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size       32, 2291469 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size      109, 2291469 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size      218, 2291469 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size      437, 2291469 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns2027 S3FIFO-0.2500-0.9000 cache size      875, 2291469 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns2027 S3FIFO-0.3500-1.9000 cache size       10, 2291469 req, miss ratio 0.0852, byte miss ratio 0.0852
cdn1_allcolo.ns2027 S3FIFO-0.3500-1.9000 cache size       32, 2291469 req, miss ratio 0.0099, byte miss ratio 0.0099
