cdn1_allcolo.ns1302 S3FIFO-0.1000-1.9000 cache size        7, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.1000-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.4000-0.9000 cache size        7, 1779801 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_allcolo.ns1302 S3FIFO-0.4000-0.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.0010-1.9000 cache size        7, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.0010-1.9000 cache size       14, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.0250-1.9000 cache size        7, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.0250-1.9000 cache size       14, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.7000-1.9000 cache size        7, 1779801 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_allcolo.ns1302 S3FIFO-0.7000-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.3500-1.9000 cache size        7, 1779801 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_allcolo.ns1302 S3FIFO-0.3500-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.5500-0.9000 cache size        7, 1779801 req, miss ratio 0.0100, byte miss ratio 0.0100
cdn1_allcolo.ns1302 S3FIFO-0.5500-0.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.3000-1.9000 cache size        7, 1779801 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_allcolo.ns1302 S3FIFO-0.3000-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.6000-1.9000 cache size        7, 1779801 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_allcolo.ns1302 S3FIFO-0.6000-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.9900-1.9000 cache size        7, 1779801 req, miss ratio 0.0128, byte miss ratio 0.0128
cdn1_allcolo.ns1302 S3FIFO-0.9900-1.9000 cache size       14, 1779801 req, miss ratio 0.0002, byte miss ratio 0.0002
cdn1_allcolo.ns1302 S3FIFO-0.0100-0.9000 cache size        7, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.0100-0.9000 cache size       14, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.1500-1.9000 cache size        7, 1779801 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_allcolo.ns1302 S3FIFO-0.1500-1.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.0050-1.9000 cache size        7, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.0050-1.9000 cache size       14, 1779801 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1302 S3FIFO-0.1500-0.9000 cache size        7, 1779801 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_allcolo.ns1302 S3FIFO-0.1500-0.9000 cache size       14, 1779801 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_allcolo.ns1302 S3FIFO-0.6500-1.9000 cache size        7, 1779801 req, miss ratio 0.0111, byte miss ratio 0.0111
