onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 15374058, 1446577592 req, miss ratio 0.2569, byte miss ratio 0.2569
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 30748116, 1446577592 req, miss ratio 0.1160, byte miss ratio 0.1160
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-2.0000 cache size 61496233, 1446577592 req, miss ratio 0.0600, byte miss ratio 0.0600
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size    76870, 1446577592 req, miss ratio 0.7264, byte miss ratio 0.7264
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size   230610, 1446577592 req, miss ratio 0.6863, byte miss ratio 0.6863
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size   768702, 1446577592 req, miss ratio 0.6401, byte miss ratio 0.6401
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size  2306108, 1446577592 req, miss ratio 0.6037, byte miss ratio 0.6037
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size  7687029, 1446577592 req, miss ratio 0.4467, byte miss ratio 0.4467
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 15374058, 1446577592 req, miss ratio 0.2940, byte miss ratio 0.2940
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 30748116, 1446577592 req, miss ratio 0.1488, byte miss ratio 0.1488
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.7000 cache size 61496233, 1446577592 req, miss ratio 0.0698, byte miss ratio 0.0698
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size    76870, 1446577592 req, miss ratio 0.6931, byte miss ratio 0.6931
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size   230610, 1446577592 req, miss ratio 0.6468, byte miss ratio 0.6468
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size   768702, 1446577592 req, miss ratio 0.6139, byte miss ratio 0.6139
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size  2306108, 1446577592 req, miss ratio 0.5665, byte miss ratio 0.5665
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size  7687029, 1446577592 req, miss ratio 0.3892, byte miss ratio 0.3892
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 15374058, 1446577592 req, miss ratio 0.2332, byte miss ratio 0.2332
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 30748116, 1446577592 req, miss ratio 0.0994, byte miss ratio 0.0994
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.3000 cache size 61496233, 1446577592 req, miss ratio 0.0558, byte miss ratio 0.0558
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size    76870, 1446577592 req, miss ratio 0.6965, byte miss ratio 0.6965
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size   230610, 1446577592 req, miss ratio 0.6513, byte miss ratio 0.6513
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size   768702, 1446577592 req, miss ratio 0.6161, byte miss ratio 0.6161
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size  2306108, 1446577592 req, miss ratio 0.5707, byte miss ratio 0.5707
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size  7687029, 1446577592 req, miss ratio 0.3902, byte miss ratio 0.3902
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size 15374058, 1446577592 req, miss ratio 0.2271, byte miss ratio 0.2271
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size 30748116, 1446577592 req, miss ratio 0.0972, byte miss ratio 0.0972
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-2.0000 cache size 61496233, 1446577592 req, miss ratio 0.0553, byte miss ratio 0.0553
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size    76870, 1446577592 req, miss ratio 0.6972, byte miss ratio 0.6972
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size   230610, 1446577592 req, miss ratio 0.6518, byte miss ratio 0.6518
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size   768702, 1446577592 req, miss ratio 0.6170, byte miss ratio 0.6170
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size  2306108, 1446577592 req, miss ratio 0.5817, byte miss ratio 0.5817
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size  7687029, 1446577592 req, miss ratio 0.4399, byte miss ratio 0.4399
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size 15374058, 1446577592 req, miss ratio 0.2569, byte miss ratio 0.2569
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size 30748116, 1446577592 req, miss ratio 0.1160, byte miss ratio 0.1160
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.1000 cache size 61496233, 1446577592 req, miss ratio 0.0600, byte miss ratio 0.0600
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size    76870, 1446577592 req, miss ratio 0.7225, byte miss ratio 0.7225
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size   230610, 1446577592 req, miss ratio 0.6806, byte miss ratio 0.6806
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size   768702, 1446577592 req, miss ratio 0.6345, byte miss ratio 0.6345
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size  2306108, 1446577592 req, miss ratio 0.5999, byte miss ratio 0.5999
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size  7687029, 1446577592 req, miss ratio 0.4504, byte miss ratio 0.4504
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size 15374058, 1446577592 req, miss ratio 0.2948, byte miss ratio 0.2948
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size 30748116, 1446577592 req, miss ratio 0.1457, byte miss ratio 0.1457
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.4000 cache size 61496233, 1446577592 req, miss ratio 0.0683, byte miss ratio 0.0683
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size    76870, 1446577592 req, miss ratio 0.7295, byte miss ratio 0.7295
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size   230610, 1446577592 req, miss ratio 0.6905, byte miss ratio 0.6905
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size   768702, 1446577592 req, miss ratio 0.6448, byte miss ratio 0.6448
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size  2306108, 1446577592 req, miss ratio 0.6069, byte miss ratio 0.6069
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size  7687029, 1446577592 req, miss ratio 0.4413, byte miss ratio 0.4413
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size 15374058, 1446577592 req, miss ratio 0.2924, byte miss ratio 0.2924
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size 30748116, 1446577592 req, miss ratio 0.1506, byte miss ratio 0.1506
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-1.2000 cache size 61496233, 1446577592 req, miss ratio 0.0704, byte miss ratio 0.0704
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size    76870, 1446577592 req, miss ratio 0.7029, byte miss ratio 0.7029
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size   230610, 1446577592 req, miss ratio 0.6568, byte miss ratio 0.6568
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size   768702, 1446577592 req, miss ratio 0.6203, byte miss ratio 0.6203
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size  2306108, 1446577592 req, miss ratio 0.5631, byte miss ratio 0.5631
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size  7687029, 1446577592 req, miss ratio 0.3727, byte miss ratio 0.3727
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size 15374058, 1446577592 req, miss ratio 0.2218, byte miss ratio 0.2218
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size 30748116, 1446577592 req, miss ratio 0.0971, byte miss ratio 0.0971
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.5000 cache size 61496233, 1446577592 req, miss ratio 0.0553, byte miss ratio 0.0553
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size    76870, 1446577592 req, miss ratio 0.6957, byte miss ratio 0.6957
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size   230610, 1446577592 req, miss ratio 0.6503, byte miss ratio 0.6503
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size   768702, 1446577592 req, miss ratio 0.6153, byte miss ratio 0.6153
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size  2306108, 1446577592 req, miss ratio 0.5714, byte miss ratio 0.5714
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size  7687029, 1446577592 req, miss ratio 0.4191, byte miss ratio 0.4191
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size 15374058, 1446577592 req, miss ratio 0.2378, byte miss ratio 0.2378
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size 30748116, 1446577592 req, miss ratio 0.1022, byte miss ratio 0.1022
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.0000 cache size 61496233, 1446577592 req, miss ratio 0.0570, byte miss ratio 0.0570
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size    76870, 1446577592 req, miss ratio 0.6899, byte miss ratio 0.6899
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   230610, 1446577592 req, miss ratio 0.6455, byte miss ratio 0.6455
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   768702, 1446577592 req, miss ratio 0.6139, byte miss ratio 0.6139
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size  2306108, 1446577592 req, miss ratio 0.5787, byte miss ratio 0.5787
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size  7687029, 1446577592 req, miss ratio 0.4215, byte miss ratio 0.4215
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size 15374058, 1446577592 req, miss ratio 0.2445, byte miss ratio 0.2445
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size 30748116, 1446577592 req, miss ratio 0.1047, byte miss ratio 0.1047
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size 61496233, 1446577592 req, miss ratio 0.0573, byte miss ratio 0.0573
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size    76870, 1446577592 req, miss ratio 0.7201, byte miss ratio 0.7201
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size   230610, 1446577592 req, miss ratio 0.6767, byte miss ratio 0.6767
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size   768702, 1446577592 req, miss ratio 0.6311, byte miss ratio 0.6311
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size  2306108, 1446577592 req, miss ratio 0.5995, byte miss ratio 0.5995
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size  7687029, 1446577592 req, miss ratio 0.4429, byte miss ratio 0.4429
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size 15374058, 1446577592 req, miss ratio 0.2886, byte miss ratio 0.2886
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size 30748116, 1446577592 req, miss ratio 0.1423, byte miss ratio 0.1423
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8500-1.5000 cache size 61496233, 1446577592 req, miss ratio 0.0669, byte miss ratio 0.0669
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size    76870, 1446577592 req, miss ratio 0.6966, byte miss ratio 0.6966
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size   230610, 1446577592 req, miss ratio 0.6503, byte miss ratio 0.6503
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size   768702, 1446577592 req, miss ratio 0.6153, byte miss ratio 0.6153
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size  2306108, 1446577592 req, miss ratio 0.5668, byte miss ratio 0.5668
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size  7687029, 1446577592 req, miss ratio 0.4106, byte miss ratio 0.4106
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size 15374058, 1446577592 req, miss ratio 0.2381, byte miss ratio 0.2381
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size 30748116, 1446577592 req, miss ratio 0.0979, byte miss ratio 0.0979
onboarding_task_service_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.0000 cache size 61496233, 1446577592 req, miss ratio 0.0556, byte miss ratio 0.0556
