io_traces.ns333 S3FIFO-0.9900-1.9000 cache size      376, 1200000 req, miss ratio 0.2141, byte miss ratio 0.2141
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     1128, 1200000 req, miss ratio 0.1785, byte miss ratio 0.1785
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     3760, 1200000 req, miss ratio 0.1414, byte miss ratio 0.1414
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     7521, 1200000 req, miss ratio 0.1128, byte miss ratio 0.1128
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size    15042, 1200000 req, miss ratio 0.0735, byte miss ratio 0.0735
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size    30084, 1200000 req, miss ratio 0.0403, byte miss ratio 0.0403
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size       37, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size      112, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size      376, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size     1128, 1200000 req, miss ratio 0.1607, byte miss ratio 0.1607
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size     3760, 1200000 req, miss ratio 0.1358, byte miss ratio 0.1358
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size     7521, 1200000 req, miss ratio 0.1068, byte miss ratio 0.1068
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size    15042, 1200000 req, miss ratio 0.0586, byte miss ratio 0.0586
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size       37, 1200000 req, miss ratio 0.4053, byte miss ratio 0.4053
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size      112, 1200000 req, miss ratio 0.2364, byte miss ratio 0.2364
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size      376, 1200000 req, miss ratio 0.1775, byte miss ratio 0.1775
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size     1128, 1200000 req, miss ratio 0.1545, byte miss ratio 0.1545
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size     3760, 1200000 req, miss ratio 0.1445, byte miss ratio 0.1445
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size     7521, 1200000 req, miss ratio 0.1135, byte miss ratio 0.1135
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size    15042, 1200000 req, miss ratio 0.0688, byte miss ratio 0.0688
io_traces.ns333 S3FIFO-0.6000-1.9000 cache size    30084, 1200000 req, miss ratio 0.0348, byte miss ratio 0.0348
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size       37, 1200000 req, miss ratio 0.3134, byte miss ratio 0.3134
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size      112, 1200000 req, miss ratio 0.2162, byte miss ratio 0.2162
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size      376, 1200000 req, miss ratio 0.1705, byte miss ratio 0.1705
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size     1128, 1200000 req, miss ratio 0.1472, byte miss ratio 0.1472
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size     3760, 1200000 req, miss ratio 0.1271, byte miss ratio 0.1271
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size     7521, 1200000 req, miss ratio 0.1032, byte miss ratio 0.1032
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size    15042, 1200000 req, miss ratio 0.0596, byte miss ratio 0.0596
io_traces.ns333 S3FIFO-0.0500-0.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size       37, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size      112, 1200000 req, miss ratio 0.2196, byte miss ratio 0.2196
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size      376, 1200000 req, miss ratio 0.1725, byte miss ratio 0.1725
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size     1128, 1200000 req, miss ratio 0.1469, byte miss ratio 0.1469
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size     3760, 1200000 req, miss ratio 0.1245, byte miss ratio 0.1245
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size     7521, 1200000 req, miss ratio 0.1033, byte miss ratio 0.1033
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size    15042, 1200000 req, miss ratio 0.0586, byte miss ratio 0.0586
io_traces.ns333 S3FIFO-0.0250-1.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size       37, 1200000 req, miss ratio 0.3222, byte miss ratio 0.3222
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size      112, 1200000 req, miss ratio 0.2119, byte miss ratio 0.2119
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size      376, 1200000 req, miss ratio 0.1665, byte miss ratio 0.1665
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size     1128, 1200000 req, miss ratio 0.1461, byte miss ratio 0.1461
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size     3760, 1200000 req, miss ratio 0.1282, byte miss ratio 0.1282
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size     7521, 1200000 req, miss ratio 0.1067, byte miss ratio 0.1067
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size    15042, 1200000 req, miss ratio 0.0596, byte miss ratio 0.0596
io_traces.ns333 S3FIFO-0.1000-1.9000 cache size    30084, 1200000 req, miss ratio 0.0325, byte miss ratio 0.0325
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size       37, 1200000 req, miss ratio 0.4763, byte miss ratio 0.4763
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size      112, 1200000 req, miss ratio 0.2909, byte miss ratio 0.2909
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size      376, 1200000 req, miss ratio 0.2078, byte miss ratio 0.2078
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1734, byte miss ratio 0.1734
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1421, byte miss ratio 0.1421
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1120, byte miss ratio 0.1120
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0731, byte miss ratio 0.0731
io_traces.ns333 S3FIFO-0.9500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0398, byte miss ratio 0.0398
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size       37, 1200000 req, miss ratio 0.3464, byte miss ratio 0.3464
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size      112, 1200000 req, miss ratio 0.2123, byte miss ratio 0.2123
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size      376, 1200000 req, miss ratio 0.1681, byte miss ratio 0.1681
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1474, byte miss ratio 0.1474
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1371, byte miss ratio 0.1371
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1116, byte miss ratio 0.1116
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0627, byte miss ratio 0.0627
io_traces.ns333 S3FIFO-0.2500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0326, byte miss ratio 0.0326
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size       37, 1200000 req, miss ratio 0.4672, byte miss ratio 0.4672
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size      112, 1200000 req, miss ratio 0.2809, byte miss ratio 0.2809
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size      376, 1200000 req, miss ratio 0.2007, byte miss ratio 0.2007
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size     1128, 1200000 req, miss ratio 0.1688, byte miss ratio 0.1688
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size     3760, 1200000 req, miss ratio 0.1436, byte miss ratio 0.1436
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size     7521, 1200000 req, miss ratio 0.1115, byte miss ratio 0.1115
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size    15042, 1200000 req, miss ratio 0.0731, byte miss ratio 0.0731
io_traces.ns333 S3FIFO-0.9000-1.9000 cache size    30084, 1200000 req, miss ratio 0.0391, byte miss ratio 0.0391
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size       37, 1200000 req, miss ratio 0.4425, byte miss ratio 0.4425
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size      112, 1200000 req, miss ratio 0.2630, byte miss ratio 0.2630
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size      376, 1200000 req, miss ratio 0.1899, byte miss ratio 0.1899
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1623, byte miss ratio 0.1623
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1473, byte miss ratio 0.1473
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1136, byte miss ratio 0.1136
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0706, byte miss ratio 0.0706
io_traces.ns333 S3FIFO-0.8000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0376, byte miss ratio 0.0376
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size       37, 1200000 req, miss ratio 0.3685, byte miss ratio 0.3685
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size      112, 1200000 req, miss ratio 0.2186, byte miss ratio 0.2186
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size      376, 1200000 req, miss ratio 0.1710, byte miss ratio 0.1710
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size     1128, 1200000 req, miss ratio 0.1498, byte miss ratio 0.1498
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size     3760, 1200000 req, miss ratio 0.1417, byte miss ratio 0.1417
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size     7521, 1200000 req, miss ratio 0.1046, byte miss ratio 0.1046
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size    15042, 1200000 req, miss ratio 0.0655, byte miss ratio 0.0655
io_traces.ns333 S3FIFO-0.4000-1.9000 cache size    30084, 1200000 req, miss ratio 0.0331, byte miss ratio 0.0331
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size       37, 1200000 req, miss ratio 0.4837, byte miss ratio 0.4837
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size      112, 1200000 req, miss ratio 0.2983, byte miss ratio 0.2983
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size      376, 1200000 req, miss ratio 0.2137, byte miss ratio 0.2137
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size     1128, 1200000 req, miss ratio 0.1781, byte miss ratio 0.1781
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size     3760, 1200000 req, miss ratio 0.1506, byte miss ratio 0.1506
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size     7521, 1200000 req, miss ratio 0.1127, byte miss ratio 0.1127
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size    15042, 1200000 req, miss ratio 0.0735, byte miss ratio 0.0735
io_traces.ns333 S3FIFO-0.9900-0.9000 cache size    30084, 1200000 req, miss ratio 0.0403, byte miss ratio 0.0403
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size       37, 1200000 req, miss ratio 0.4024, byte miss ratio 0.4024
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size      112, 1200000 req, miss ratio 0.2342, byte miss ratio 0.2342
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size      376, 1200000 req, miss ratio 0.1770, byte miss ratio 0.1770
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1544, byte miss ratio 0.1544
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1429, byte miss ratio 0.1429
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1130, byte miss ratio 0.1130
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0688, byte miss ratio 0.0688
io_traces.ns333 S3FIFO-0.6000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0348, byte miss ratio 0.0348
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size       37, 1200000 req, miss ratio 0.4136, byte miss ratio 0.4136
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size      112, 1200000 req, miss ratio 0.2400, byte miss ratio 0.2400
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size      376, 1200000 req, miss ratio 0.1794, byte miss ratio 0.1794
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size     1128, 1200000 req, miss ratio 0.1561, byte miss ratio 0.1561
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size     3760, 1200000 req, miss ratio 0.1440, byte miss ratio 0.1440
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size     7521, 1200000 req, miss ratio 0.1137, byte miss ratio 0.1137
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size    15042, 1200000 req, miss ratio 0.0694, byte miss ratio 0.0694
io_traces.ns333 S3FIFO-0.6500-0.9000 cache size    30084, 1200000 req, miss ratio 0.0354, byte miss ratio 0.0354
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size       37, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size      112, 1200000 req, miss ratio 0.2215, byte miss ratio 0.2215
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size      376, 1200000 req, miss ratio 0.1734, byte miss ratio 0.1734
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size     1128, 1200000 req, miss ratio 0.1479, byte miss ratio 0.1479
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size     3760, 1200000 req, miss ratio 0.1275, byte miss ratio 0.1275
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size     7521, 1200000 req, miss ratio 0.1023, byte miss ratio 0.1023
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size    15042, 1200000 req, miss ratio 0.0586, byte miss ratio 0.0586
io_traces.ns333 S3FIFO-0.0250-0.9000 cache size    30084, 1200000 req, miss ratio 0.0324, byte miss ratio 0.0324
io_traces.ns333 S3FIFO-0.7000-0.9000 cache size       37, 1200000 req, miss ratio 0.4187, byte miss ratio 0.4187
