tencentBlock.ns23479 S3FIFO-0.9900-0.9000 cache size       92, 12757218 req, miss ratio 0.4355, byte miss ratio 0.4355
tencentBlock.ns23479 S3FIFO-0.9900-0.9000 cache size      306, 12757218 req, miss ratio 0.0215, byte miss ratio 0.0215
tencentBlock.ns23479 S3FIFO-0.9900-0.9000 cache size      613, 12757218 req, miss ratio 0.0081, byte miss ratio 0.0081
tencentBlock.ns23479 S3FIFO-0.9900-0.9000 cache size     1227, 12757218 req, miss ratio 0.0058, byte miss ratio 0.0058
tencentBlock.ns23479 S3FIFO-0.9900-0.9000 cache size     2455, 12757218 req, miss ratio 0.0025, byte miss ratio 0.0025
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size       92, 12757218 req, miss ratio 0.4362, byte miss ratio 0.4362
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size      306, 12757218 req, miss ratio 0.0214, byte miss ratio 0.0214
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size      613, 12757218 req, miss ratio 0.0078, byte miss ratio 0.0078
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size     1227, 12757218 req, miss ratio 0.0058, byte miss ratio 0.0058
tencentBlock.ns23479 S3FIFO-0.9500-1.9000 cache size     2455, 12757218 req, miss ratio 0.0025, byte miss ratio 0.0025
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size       30, 12757218 req, miss ratio 0.7328, byte miss ratio 0.7328
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size       92, 12757218 req, miss ratio 0.4813, byte miss ratio 0.4813
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size      306, 12757218 req, miss ratio 0.0200, byte miss ratio 0.0200
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size      613, 12757218 req, miss ratio 0.0071, byte miss ratio 0.0071
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0056, byte miss ratio 0.0056
tencentBlock.ns23479 S3FIFO-0.7000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0024, byte miss ratio 0.0024
tencentBlock.ns23479 S3FIFO-0.5500-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
