tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size     1236, 3126026 req, miss ratio 0.8048, byte miss ratio 0.8048
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size     3710, 3126026 req, miss ratio 0.7988, byte miss ratio 0.7988
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size    12369, 3126026 req, miss ratio 0.7942, byte miss ratio 0.7942
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size    37107, 3126026 req, miss ratio 0.7794, byte miss ratio 0.7794
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size   123690, 3126026 req, miss ratio 0.7279, byte miss ratio 0.7279
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size   247381, 3126026 req, miss ratio 0.6410, byte miss ratio 0.6410
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size   494763, 3126026 req, miss ratio 0.5390, byte miss ratio 0.5390
tencentBlock.ns17742 S3FIFO-0.9500-1.9000 cache size   989527, 3126026 req, miss ratio 0.4192, byte miss ratio 0.4192
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size     1236, 3126026 req, miss ratio 0.8003, byte miss ratio 0.8003
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size     3710, 3126026 req, miss ratio 0.7953, byte miss ratio 0.7953
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size    12369, 3126026 req, miss ratio 0.7898, byte miss ratio 0.7898
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size    37107, 3126026 req, miss ratio 0.7732, byte miss ratio 0.7732
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size   123690, 3126026 req, miss ratio 0.7195, byte miss ratio 0.7195
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size   247381, 3126026 req, miss ratio 0.6328, byte miss ratio 0.6328
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size   494763, 3126026 req, miss ratio 0.5179, byte miss ratio 0.5179
tencentBlock.ns17742 S3FIFO-0.7000-1.9000 cache size   989527, 3126026 req, miss ratio 0.4097, byte miss ratio 0.4097
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size     1236, 3126026 req, miss ratio 0.8004, byte miss ratio 0.8004
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size     3710, 3126026 req, miss ratio 0.7947, byte miss ratio 0.7947
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size    12369, 3126026 req, miss ratio 0.7877, byte miss ratio 0.7877
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size    37107, 3126026 req, miss ratio 0.7690, byte miss ratio 0.7690
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size   123690, 3126026 req, miss ratio 0.6971, byte miss ratio 0.6971
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size   247381, 3126026 req, miss ratio 0.6168, byte miss ratio 0.6168
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size   494763, 3126026 req, miss ratio 0.5162, byte miss ratio 0.5162
tencentBlock.ns17742 S3FIFO-0.5500-0.9000 cache size   989527, 3126026 req, miss ratio 0.4084, byte miss ratio 0.4084
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size     1236, 3126026 req, miss ratio 0.8009, byte miss ratio 0.8009
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size     3710, 3126026 req, miss ratio 0.7966, byte miss ratio 0.7966
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size    12369, 3126026 req, miss ratio 0.7913, byte miss ratio 0.7913
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size    37107, 3126026 req, miss ratio 0.7753, byte miss ratio 0.7753
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size   123690, 3126026 req, miss ratio 0.7239, byte miss ratio 0.7239
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size   247381, 3126026 req, miss ratio 0.6387, byte miss ratio 0.6387
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size   494763, 3126026 req, miss ratio 0.5262, byte miss ratio 0.5262
tencentBlock.ns17742 S3FIFO-0.8000-0.9000 cache size   989527, 3126026 req, miss ratio 0.4120, byte miss ratio 0.4120
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size     1236, 3126026 req, miss ratio 0.8014, byte miss ratio 0.8014
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size     3710, 3126026 req, miss ratio 0.7971, byte miss ratio 0.7971
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size    12369, 3126026 req, miss ratio 0.7921, byte miss ratio 0.7921
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size    37107, 3126026 req, miss ratio 0.7773, byte miss ratio 0.7773
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size   123690, 3126026 req, miss ratio 0.7239, byte miss ratio 0.7239
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size   247381, 3126026 req, miss ratio 0.6375, byte miss ratio 0.6375
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size   494763, 3126026 req, miss ratio 0.5297, byte miss ratio 0.5297
tencentBlock.ns17742 S3FIFO-0.8500-1.9000 cache size   989527, 3126026 req, miss ratio 0.4130, byte miss ratio 0.4130
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size     1236, 3126026 req, miss ratio 0.8117, byte miss ratio 0.8117
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size     3710, 3126026 req, miss ratio 0.8015, byte miss ratio 0.8015
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size    12369, 3126026 req, miss ratio 0.7953, byte miss ratio 0.7953
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size    37107, 3126026 req, miss ratio 0.7800, byte miss ratio 0.7800
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size   123690, 3126026 req, miss ratio 0.7276, byte miss ratio 0.7276
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size   247381, 3126026 req, miss ratio 0.6416, byte miss ratio 0.6416
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size   494763, 3126026 req, miss ratio 0.5383, byte miss ratio 0.5383
tencentBlock.ns17742 S3FIFO-0.9900-1.9000 cache size   989527, 3126026 req, miss ratio 0.4214, byte miss ratio 0.4214
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size     1236, 3126026 req, miss ratio 0.8036, byte miss ratio 0.8036
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size     3710, 3126026 req, miss ratio 0.7938, byte miss ratio 0.7938
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size    12369, 3126026 req, miss ratio 0.7841, byte miss ratio 0.7841
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size    37107, 3126026 req, miss ratio 0.7468, byte miss ratio 0.7468
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size   123690, 3126026 req, miss ratio 0.6640, byte miss ratio 0.6640
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size   247381, 3126026 req, miss ratio 0.6003, byte miss ratio 0.6003
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size   494763, 3126026 req, miss ratio 0.5073, byte miss ratio 0.5073
tencentBlock.ns17742 S3FIFO-0.1000-1.9000 cache size   989527, 3126026 req, miss ratio 0.4083, byte miss ratio 0.4083
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size     1236, 3126026 req, miss ratio 0.8263, byte miss ratio 0.8263
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size     3710, 3126026 req, miss ratio 0.7993, byte miss ratio 0.7993
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size    12369, 3126026 req, miss ratio 0.7856, byte miss ratio 0.7856
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size    37107, 3126026 req, miss ratio 0.7509, byte miss ratio 0.7509
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size   123690, 3126026 req, miss ratio 0.6626, byte miss ratio 0.6626
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size   247381, 3126026 req, miss ratio 0.5949, byte miss ratio 0.5949
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size   494763, 3126026 req, miss ratio 0.5063, byte miss ratio 0.5063
tencentBlock.ns17742 S3FIFO-0.0250-0.9000 cache size   989527, 3126026 req, miss ratio 0.4083, byte miss ratio 0.4083
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size     1236, 3126026 req, miss ratio 0.8024, byte miss ratio 0.8024
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size     3710, 3126026 req, miss ratio 0.7978, byte miss ratio 0.7978
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size    12369, 3126026 req, miss ratio 0.7930, byte miss ratio 0.7930
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size    37107, 3126026 req, miss ratio 0.7792, byte miss ratio 0.7792
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size   123690, 3126026 req, miss ratio 0.7253, byte miss ratio 0.7253
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size   247381, 3126026 req, miss ratio 0.6391, byte miss ratio 0.6391
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size   494763, 3126026 req, miss ratio 0.5347, byte miss ratio 0.5347
tencentBlock.ns17742 S3FIFO-0.9000-1.9000 cache size   989527, 3126026 req, miss ratio 0.4155, byte miss ratio 0.4155
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size     1236, 3126026 req, miss ratio 0.8735, byte miss ratio 0.8735
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size     3710, 3126026 req, miss ratio 0.8122, byte miss ratio 0.8122
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size    12369, 3126026 req, miss ratio 0.7886, byte miss ratio 0.7886
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size    37107, 3126026 req, miss ratio 0.7515, byte miss ratio 0.7515
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size   123690, 3126026 req, miss ratio 0.6618, byte miss ratio 0.6618
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size   247381, 3126026 req, miss ratio 0.5942, byte miss ratio 0.5942
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size   494763, 3126026 req, miss ratio 0.5056, byte miss ratio 0.5056
tencentBlock.ns17742 S3FIFO-0.0100-0.9000 cache size   989527, 3126026 req, miss ratio 0.4083, byte miss ratio 0.4083
