media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size     1199, 282251551 req, miss ratio 0.3017, byte miss ratio 0.3017
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size     3597, 282251551 req, miss ratio 0.1841, byte miss ratio 0.1841
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size    11991, 282251551 req, miss ratio 0.0928, byte miss ratio 0.0928
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size    35975, 282251551 req, miss ratio 0.0452, byte miss ratio 0.0452
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size   119917, 282251551 req, miss ratio 0.0200, byte miss ratio 0.0200
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size   239835, 282251551 req, miss ratio 0.0127, byte miss ratio 0.0127
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size   479670, 282251551 req, miss ratio 0.0081, byte miss ratio 0.0081
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.4000 cache size   959340, 282251551 req, miss ratio 0.0050, byte miss ratio 0.0050
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size     1199, 282251551 req, miss ratio 0.2682, byte miss ratio 0.2682
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size     3597, 282251551 req, miss ratio 0.1599, byte miss ratio 0.1599
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    11991, 282251551 req, miss ratio 0.0789, byte miss ratio 0.0789
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    35975, 282251551 req, miss ratio 0.0380, byte miss ratio 0.0380
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   119917, 282251551 req, miss ratio 0.0170, byte miss ratio 0.0170
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   239835, 282251551 req, miss ratio 0.0109, byte miss ratio 0.0109
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   479670, 282251551 req, miss ratio 0.0071, byte miss ratio 0.0071
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   959340, 282251551 req, miss ratio 0.0046, byte miss ratio 0.0046
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size     1199, 282251551 req, miss ratio 0.2584, byte miss ratio 0.2584
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size     3597, 282251551 req, miss ratio 0.1536, byte miss ratio 0.1536
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size    11991, 282251551 req, miss ratio 0.0756, byte miss ratio 0.0756
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size    35975, 282251551 req, miss ratio 0.0364, byte miss ratio 0.0364
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   119917, 282251551 req, miss ratio 0.0163, byte miss ratio 0.0163
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   239835, 282251551 req, miss ratio 0.0105, byte miss ratio 0.0105
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   479670, 282251551 req, miss ratio 0.0069, byte miss ratio 0.0069
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.4000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size     1199, 282251551 req, miss ratio 0.2354, byte miss ratio 0.2354
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size     3597, 282251551 req, miss ratio 0.1383, byte miss ratio 0.1383
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size    11991, 282251551 req, miss ratio 0.0673, byte miss ratio 0.0673
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size    35975, 282251551 req, miss ratio 0.0324, byte miss ratio 0.0324
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   119917, 282251551 req, miss ratio 0.0147, byte miss ratio 0.0147
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   239835, 282251551 req, miss ratio 0.0095, byte miss ratio 0.0095
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   479670, 282251551 req, miss ratio 0.0065, byte miss ratio 0.0065
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.8000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size     1199, 282251551 req, miss ratio 0.2661, byte miss ratio 0.2661
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size     3597, 282251551 req, miss ratio 0.1602, byte miss ratio 0.1602
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size    11991, 282251551 req, miss ratio 0.0799, byte miss ratio 0.0799
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size    35975, 282251551 req, miss ratio 0.0388, byte miss ratio 0.0388
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size   119917, 282251551 req, miss ratio 0.0173, byte miss ratio 0.0173
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size   239835, 282251551 req, miss ratio 0.0111, byte miss ratio 0.0111
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size   479670, 282251551 req, miss ratio 0.0072, byte miss ratio 0.0072
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.1000 cache size   959340, 282251551 req, miss ratio 0.0046, byte miss ratio 0.0046
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size     1199, 282251551 req, miss ratio 0.3003, byte miss ratio 0.3003
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size     3597, 282251551 req, miss ratio 0.1836, byte miss ratio 0.1836
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size    11991, 282251551 req, miss ratio 0.0929, byte miss ratio 0.0929
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size    35975, 282251551 req, miss ratio 0.0454, byte miss ratio 0.0454
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size   119917, 282251551 req, miss ratio 0.0201, byte miss ratio 0.0201
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size   239835, 282251551 req, miss ratio 0.0127, byte miss ratio 0.0127
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size   479670, 282251551 req, miss ratio 0.0081, byte miss ratio 0.0081
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.1000 cache size   959340, 282251551 req, miss ratio 0.0050, byte miss ratio 0.0050
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size     1199, 282251551 req, miss ratio 0.2502, byte miss ratio 0.2502
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size     3597, 282251551 req, miss ratio 0.1482, byte miss ratio 0.1482
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    11991, 282251551 req, miss ratio 0.0726, byte miss ratio 0.0726
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size    35975, 282251551 req, miss ratio 0.0349, byte miss ratio 0.0349
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size   119917, 282251551 req, miss ratio 0.0157, byte miss ratio 0.0157
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size   239835, 282251551 req, miss ratio 0.0101, byte miss ratio 0.0101
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size   479670, 282251551 req, miss ratio 0.0067, byte miss ratio 0.0067
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.6000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size     1199, 282251551 req, miss ratio 0.2225, byte miss ratio 0.2225
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size     3597, 282251551 req, miss ratio 0.1287, byte miss ratio 0.1287
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size    11991, 282251551 req, miss ratio 0.0621, byte miss ratio 0.0621
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size    35975, 282251551 req, miss ratio 0.0297, byte miss ratio 0.0297
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   119917, 282251551 req, miss ratio 0.0136, byte miss ratio 0.0136
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   239835, 282251551 req, miss ratio 0.0089, byte miss ratio 0.0089
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.4000 cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size     1199, 282251551 req, miss ratio 0.2218, byte miss ratio 0.2218
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size     3597, 282251551 req, miss ratio 0.1293, byte miss ratio 0.1293
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size    11991, 282251551 req, miss ratio 0.0626, byte miss ratio 0.0626
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size    35975, 282251551 req, miss ratio 0.0301, byte miss ratio 0.0301
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size   119917, 282251551 req, miss ratio 0.0139, byte miss ratio 0.0139
media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.4000 cache size   239835, 282251551 req, miss ratio 0.0091, byte miss ratio 0.0091
