cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size      269, 17087462 req, miss ratio 0.2838, byte miss ratio 0.2838
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size      807, 17087462 req, miss ratio 0.1497, byte miss ratio 0.1497
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size     2692, 17087462 req, miss ratio 0.0722, byte miss ratio 0.0722
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size     8076, 17087462 req, miss ratio 0.0414, byte miss ratio 0.0414
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size    26920, 17087462 req, miss ratio 0.0264, byte miss ratio 0.0264
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size    53841, 17087462 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size   107682, 17087462 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns241 S3FIFO-0.3000-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size      269, 17087462 req, miss ratio 0.2913, byte miss ratio 0.2913
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size      807, 17087462 req, miss ratio 0.1538, byte miss ratio 0.1538
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size     2692, 17087462 req, miss ratio 0.0741, byte miss ratio 0.0741
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size     8076, 17087462 req, miss ratio 0.0422, byte miss ratio 0.0422
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size    26920, 17087462 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size    53841, 17087462 req, miss ratio 0.0217, byte miss ratio 0.0217
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size   107682, 17087462 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns241 S3FIFO-0.3500-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size      269, 17087462 req, miss ratio 0.3314, byte miss ratio 0.3314
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size      807, 17087462 req, miss ratio 0.1773, byte miss ratio 0.1773
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size     2692, 17087462 req, miss ratio 0.0852, byte miss ratio 0.0852
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size     8076, 17087462 req, miss ratio 0.0472, byte miss ratio 0.0472
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size    26920, 17087462 req, miss ratio 0.0287, byte miss ratio 0.0287
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size    53841, 17087462 req, miss ratio 0.0228, byte miss ratio 0.0228
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size   107682, 17087462 req, miss ratio 0.0186, byte miss ratio 0.0186
cdn1_allcolo.ns241 S3FIFO-0.6000-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size      269, 17087462 req, miss ratio 0.2535, byte miss ratio 0.2535
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size      807, 17087462 req, miss ratio 0.1329, byte miss ratio 0.1329
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size     2692, 17087462 req, miss ratio 0.0656, byte miss ratio 0.0656
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size     8076, 17087462 req, miss ratio 0.0390, byte miss ratio 0.0390
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size    26920, 17087462 req, miss ratio 0.0259, byte miss ratio 0.0259
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size    53841, 17087462 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size   107682, 17087462 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_allcolo.ns241 S3FIFO-0.0500-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size      269, 17087462 req, miss ratio 0.3981, byte miss ratio 0.3981
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size      807, 17087462 req, miss ratio 0.2201, byte miss ratio 0.2201
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size     2692, 17087462 req, miss ratio 0.1075, byte miss ratio 0.1075
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size     8076, 17087462 req, miss ratio 0.0589, byte miss ratio 0.0589
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size    26920, 17087462 req, miss ratio 0.0342, byte miss ratio 0.0342
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size    53841, 17087462 req, miss ratio 0.0262, byte miss ratio 0.0262
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size   107682, 17087462 req, miss ratio 0.0204, byte miss ratio 0.0204
cdn1_allcolo.ns241 S3FIFO-0.9500-0.9000 cache size   215365, 17087462 req, miss ratio 0.0166, byte miss ratio 0.0166
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size      269, 17087462 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size      807, 17087462 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size     2692, 17087462 req, miss ratio 0.0661, byte miss ratio 0.0661
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size     8076, 17087462 req, miss ratio 0.0399, byte miss ratio 0.0399
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size    26920, 17087462 req, miss ratio 0.0268, byte miss ratio 0.0268
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size    53841, 17087462 req, miss ratio 0.0217, byte miss ratio 0.0217
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size   107682, 17087462 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns241 S3FIFO-0.0010-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size      269, 17087462 req, miss ratio 0.2986, byte miss ratio 0.2986
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size      807, 17087462 req, miss ratio 0.1580, byte miss ratio 0.1580
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size     2692, 17087462 req, miss ratio 0.0760, byte miss ratio 0.0760
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size     8076, 17087462 req, miss ratio 0.0430, byte miss ratio 0.0430
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size    26920, 17087462 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size    53841, 17087462 req, miss ratio 0.0218, byte miss ratio 0.0218
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size   107682, 17087462 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_allcolo.ns241 S3FIFO-0.4000-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size      269, 17087462 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size      807, 17087462 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size     2692, 17087462 req, miss ratio 0.0669, byte miss ratio 0.0669
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size     8076, 17087462 req, miss ratio 0.0401, byte miss ratio 0.0401
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size    26920, 17087462 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size    53841, 17087462 req, miss ratio 0.0218, byte miss ratio 0.0218
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size   107682, 17087462 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns241 S3FIFO-0.0010-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size      269, 17087462 req, miss ratio 0.2772, byte miss ratio 0.2772
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size      807, 17087462 req, miss ratio 0.1458, byte miss ratio 0.1458
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size     2692, 17087462 req, miss ratio 0.0706, byte miss ratio 0.0706
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size     8076, 17087462 req, miss ratio 0.0407, byte miss ratio 0.0407
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size    26920, 17087462 req, miss ratio 0.0262, byte miss ratio 0.0262
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size    53841, 17087462 req, miss ratio 0.0214, byte miss ratio 0.0214
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size   107682, 17087462 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns241 S3FIFO-0.2500-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size      269, 17087462 req, miss ratio 0.2981, byte miss ratio 0.2981
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size      807, 17087462 req, miss ratio 0.1567, byte miss ratio 0.1567
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size     2692, 17087462 req, miss ratio 0.0752, byte miss ratio 0.0752
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size     8076, 17087462 req, miss ratio 0.0427, byte miss ratio 0.0427
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size    26920, 17087462 req, miss ratio 0.0269, byte miss ratio 0.0269
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size    53841, 17087462 req, miss ratio 0.0218, byte miss ratio 0.0218
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size   107682, 17087462 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns241 S3FIFO-0.3500-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size      269, 17087462 req, miss ratio 0.2719, byte miss ratio 0.2719
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size      807, 17087462 req, miss ratio 0.1421, byte miss ratio 0.1421
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size     2692, 17087462 req, miss ratio 0.0688, byte miss ratio 0.0688
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size     8076, 17087462 req, miss ratio 0.0400, byte miss ratio 0.0400
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size    26920, 17087462 req, miss ratio 0.0260, byte miss ratio 0.0260
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size    53841, 17087462 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size   107682, 17087462 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_allcolo.ns241 S3FIFO-0.1500-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size      269, 17087462 req, miss ratio 0.3594, byte miss ratio 0.3594
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size      807, 17087462 req, miss ratio 0.1937, byte miss ratio 0.1937
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size     2692, 17087462 req, miss ratio 0.0936, byte miss ratio 0.0936
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size     8076, 17087462 req, miss ratio 0.0515, byte miss ratio 0.0515
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size    26920, 17087462 req, miss ratio 0.0306, byte miss ratio 0.0306
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size    53841, 17087462 req, miss ratio 0.0239, byte miss ratio 0.0239
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size   107682, 17087462 req, miss ratio 0.0191, byte miss ratio 0.0191
cdn1_allcolo.ns241 S3FIFO-0.7500-1.9000 cache size   215365, 17087462 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size      269, 17087462 req, miss ratio 0.4011, byte miss ratio 0.4011
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size      807, 17087462 req, miss ratio 0.2225, byte miss ratio 0.2225
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size     2692, 17087462 req, miss ratio 0.1095, byte miss ratio 0.1095
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size     8076, 17087462 req, miss ratio 0.0603, byte miss ratio 0.0603
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size    26920, 17087462 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size    53841, 17087462 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size   107682, 17087462 req, miss ratio 0.0208, byte miss ratio 0.0208
cdn1_allcolo.ns241 S3FIFO-0.9900-1.9000 cache size   215365, 17087462 req, miss ratio 0.0168, byte miss ratio 0.0168
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size      269, 17087462 req, miss ratio 0.2569, byte miss ratio 0.2569
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size      807, 17087462 req, miss ratio 0.1345, byte miss ratio 0.1345
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size     2692, 17087462 req, miss ratio 0.0664, byte miss ratio 0.0664
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size     8076, 17087462 req, miss ratio 0.0397, byte miss ratio 0.0397
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size    26920, 17087462 req, miss ratio 0.0265, byte miss ratio 0.0265
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size    53841, 17087462 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size   107682, 17087462 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns241 S3FIFO-0.0050-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size      269, 17087462 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size      807, 17087462 req, miss ratio 0.1313, byte miss ratio 0.1313
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size     2692, 17087462 req, miss ratio 0.0654, byte miss ratio 0.0654
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size     8076, 17087462 req, miss ratio 0.0393, byte miss ratio 0.0393
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size    26920, 17087462 req, miss ratio 0.0263, byte miss ratio 0.0263
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size    53841, 17087462 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size   107682, 17087462 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns241 S3FIFO-0.0100-0.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size      269, 17087462 req, miss ratio 0.3514, byte miss ratio 0.3514
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size      807, 17087462 req, miss ratio 0.1883, byte miss ratio 0.1883
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size     2692, 17087462 req, miss ratio 0.0909, byte miss ratio 0.0909
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size     8076, 17087462 req, miss ratio 0.0501, byte miss ratio 0.0501
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size    26920, 17087462 req, miss ratio 0.0300, byte miss ratio 0.0300
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size    53841, 17087462 req, miss ratio 0.0235, byte miss ratio 0.0235
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size   107682, 17087462 req, miss ratio 0.0189, byte miss ratio 0.0189
cdn1_allcolo.ns241 S3FIFO-0.7000-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size      269, 17087462 req, miss ratio 0.2572, byte miss ratio 0.2572
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size      807, 17087462 req, miss ratio 0.1344, byte miss ratio 0.1344
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size     2692, 17087462 req, miss ratio 0.0662, byte miss ratio 0.0662
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size     8076, 17087462 req, miss ratio 0.0396, byte miss ratio 0.0396
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size    26920, 17087462 req, miss ratio 0.0263, byte miss ratio 0.0263
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size    53841, 17087462 req, miss ratio 0.0214, byte miss ratio 0.0214
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size   107682, 17087462 req, miss ratio 0.0179, byte miss ratio 0.0179
cdn1_allcolo.ns241 S3FIFO-0.0100-1.9000 cache size   215365, 17087462 req, miss ratio 0.0159, byte miss ratio 0.0159
