gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size      655, 814062339 req, miss ratio 0.1984, byte miss ratio 0.1984
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size     1966, 814062339 req, miss ratio 0.1093, byte miss ratio 0.1093
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size     6553, 814062339 req, miss ratio 0.0513, byte miss ratio 0.0513
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    19660, 814062339 req, miss ratio 0.0248, byte miss ratio 0.0248
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    65535, 814062339 req, miss ratio 0.0085, byte miss ratio 0.0085
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   131071, 814062339 req, miss ratio 0.0033, byte miss ratio 0.0033
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   262143, 814062339 req, miss ratio 0.0016, byte miss ratio 0.0016
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   524286, 814062339 req, miss ratio 0.0010, byte miss ratio 0.0010
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size      655, 814062339 req, miss ratio 0.2269, byte miss ratio 0.2269
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size     1966, 814062339 req, miss ratio 0.1274, byte miss ratio 0.1274
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size     6553, 814062339 req, miss ratio 0.0613, byte miss ratio 0.0613
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size    19660, 814062339 req, miss ratio 0.0299, byte miss ratio 0.0299
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size    65535, 814062339 req, miss ratio 0.0103, byte miss ratio 0.0103
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size   131071, 814062339 req, miss ratio 0.0043, byte miss ratio 0.0043
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size   262143, 814062339 req, miss ratio 0.0022, byte miss ratio 0.0022
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size   524286, 814062339 req, miss ratio 0.0011, byte miss ratio 0.0011
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size      655, 814062339 req, miss ratio 0.1852, byte miss ratio 0.1852
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size     1966, 814062339 req, miss ratio 0.1008, byte miss ratio 0.1008
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size     6553, 814062339 req, miss ratio 0.0469, byte miss ratio 0.0469
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size    19660, 814062339 req, miss ratio 0.0229, byte miss ratio 0.0229
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size    65535, 814062339 req, miss ratio 0.0078, byte miss ratio 0.0078
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   131071, 814062339 req, miss ratio 0.0027, byte miss ratio 0.0027
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   262143, 814062339 req, miss ratio 0.0015, byte miss ratio 0.0015
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-1.4000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size      655, 814062339 req, miss ratio 0.1794, byte miss ratio 0.1794
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size     1966, 814062339 req, miss ratio 0.0969, byte miss ratio 0.0969
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size     6553, 814062339 req, miss ratio 0.0448, byte miss ratio 0.0448
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size    19660, 814062339 req, miss ratio 0.0220, byte miss ratio 0.0220
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size    65535, 814062339 req, miss ratio 0.0074, byte miss ratio 0.0074
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size   131071, 814062339 req, miss ratio 0.0026, byte miss ratio 0.0026
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size   262143, 814062339 req, miss ratio 0.0014, byte miss ratio 0.0014
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-1.3000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size      655, 814062339 req, miss ratio 0.1707, byte miss ratio 0.1707
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size     1966, 814062339 req, miss ratio 0.0894, byte miss ratio 0.0894
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size     6553, 814062339 req, miss ratio 0.0407, byte miss ratio 0.0407
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size    19660, 814062339 req, miss ratio 0.0202, byte miss ratio 0.0202
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size    65535, 814062339 req, miss ratio 0.0058, byte miss ratio 0.0058
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size   131071, 814062339 req, miss ratio 0.0022, byte miss ratio 0.0022
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.5000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size      655, 814062339 req, miss ratio 0.1932, byte miss ratio 0.1932
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size     1966, 814062339 req, miss ratio 0.0950, byte miss ratio 0.0950
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size     6553, 814062339 req, miss ratio 0.0409, byte miss ratio 0.0409
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size    19660, 814062339 req, miss ratio 0.0198, byte miss ratio 0.0198
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size    65535, 814062339 req, miss ratio 0.0052, byte miss ratio 0.0052
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size   131071, 814062339 req, miss ratio 0.0021, byte miss ratio 0.0021
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-1.4000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size      655, 814062339 req, miss ratio 0.1705, byte miss ratio 0.1705
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size     1966, 814062339 req, miss ratio 0.0893, byte miss ratio 0.0893
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size     6553, 814062339 req, miss ratio 0.0407, byte miss ratio 0.0407
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size    19660, 814062339 req, miss ratio 0.0202, byte miss ratio 0.0202
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size    65535, 814062339 req, miss ratio 0.0058, byte miss ratio 0.0058
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size   131071, 814062339 req, miss ratio 0.0022, byte miss ratio 0.0022
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-1.4000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
