io_traces.ns246 S3FIFO-0.6000-0.9000 cache size      244, 14000000 req, miss ratio 0.6552, byte miss ratio 0.6552
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size      732, 14000000 req, miss ratio 0.5591, byte miss ratio 0.5591
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size     2440, 14000000 req, miss ratio 0.5426, byte miss ratio 0.5426
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size     7322, 14000000 req, miss ratio 0.5386, byte miss ratio 0.5386
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size    24408, 14000000 req, miss ratio 0.3196, byte miss ratio 0.3196
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size    48817, 14000000 req, miss ratio 0.0798, byte miss ratio 0.0798
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size    97634, 14000000 req, miss ratio 0.0363, byte miss ratio 0.0363
io_traces.ns246 S3FIFO-0.6000-0.9000 cache size   195268, 14000000 req, miss ratio 0.0206, byte miss ratio 0.0206
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size      244, 14000000 req, miss ratio 0.6955, byte miss ratio 0.6955
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size      732, 14000000 req, miss ratio 0.5755, byte miss ratio 0.5755
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size     2440, 14000000 req, miss ratio 0.5439, byte miss ratio 0.5439
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size     7322, 14000000 req, miss ratio 0.5442, byte miss ratio 0.5442
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size    24408, 14000000 req, miss ratio 0.3146, byte miss ratio 0.3146
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size    48817, 14000000 req, miss ratio 0.0877, byte miss ratio 0.0877
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size    97634, 14000000 req, miss ratio 0.0403, byte miss ratio 0.0403
io_traces.ns246 S3FIFO-0.7000-1.9000 cache size   195268, 14000000 req, miss ratio 0.0217, byte miss ratio 0.0217
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size      244, 14000000 req, miss ratio 0.5972, byte miss ratio 0.5972
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size      732, 14000000 req, miss ratio 0.5509, byte miss ratio 0.5509
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size     2440, 14000000 req, miss ratio 0.5409, byte miss ratio 0.5409
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size     7322, 14000000 req, miss ratio 0.5339, byte miss ratio 0.5339
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size    24408, 14000000 req, miss ratio 0.2967, byte miss ratio 0.2967
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size    48817, 14000000 req, miss ratio 0.0443, byte miss ratio 0.0443
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size    97634, 14000000 req, miss ratio 0.0336, byte miss ratio 0.0336
io_traces.ns246 S3FIFO-0.1500-1.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size      244, 14000000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size      732, 14000000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size     2440, 14000000 req, miss ratio 0.5670, byte miss ratio 0.5670
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size     7322, 14000000 req, miss ratio 0.5446, byte miss ratio 0.5446
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size    24408, 14000000 req, miss ratio 0.2536, byte miss ratio 0.2536
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size    48817, 14000000 req, miss ratio 0.0422, byte miss ratio 0.0422
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size    97634, 14000000 req, miss ratio 0.0338, byte miss ratio 0.0338
io_traces.ns246 S3FIFO-0.0010-0.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size      244, 14000000 req, miss ratio 0.7333, byte miss ratio 0.7333
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size      732, 14000000 req, miss ratio 0.6212, byte miss ratio 0.6212
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size     2440, 14000000 req, miss ratio 0.5563, byte miss ratio 0.5563
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size     7322, 14000000 req, miss ratio 0.5426, byte miss ratio 0.5426
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size    24408, 14000000 req, miss ratio 0.3003, byte miss ratio 0.3003
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size    48817, 14000000 req, miss ratio 0.0999, byte miss ratio 0.0999
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size    97634, 14000000 req, miss ratio 0.0486, byte miss ratio 0.0486
io_traces.ns246 S3FIFO-0.9000-0.9000 cache size   195268, 14000000 req, miss ratio 0.0240, byte miss ratio 0.0240
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size      244, 14000000 req, miss ratio 0.7030, byte miss ratio 0.7030
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size      732, 14000000 req, miss ratio 0.5811, byte miss ratio 0.5811
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size     2440, 14000000 req, miss ratio 0.5450, byte miss ratio 0.5450
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size     7322, 14000000 req, miss ratio 0.5393, byte miss ratio 0.5393
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size    24408, 14000000 req, miss ratio 0.3132, byte miss ratio 0.3132
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size    48817, 14000000 req, miss ratio 0.0914, byte miss ratio 0.0914
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size    97634, 14000000 req, miss ratio 0.0426, byte miss ratio 0.0426
io_traces.ns246 S3FIFO-0.7500-0.9000 cache size   195268, 14000000 req, miss ratio 0.0225, byte miss ratio 0.0225
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size      244, 14000000 req, miss ratio 0.6773, byte miss ratio 0.6773
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size      732, 14000000 req, miss ratio 0.5681, byte miss ratio 0.5681
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size     2440, 14000000 req, miss ratio 0.5431, byte miss ratio 0.5431
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size     7322, 14000000 req, miss ratio 0.5439, byte miss ratio 0.5439
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size    24408, 14000000 req, miss ratio 0.3152, byte miss ratio 0.3152
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size    48817, 14000000 req, miss ratio 0.0838, byte miss ratio 0.0838
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size    97634, 14000000 req, miss ratio 0.0380, byte miss ratio 0.0380
io_traces.ns246 S3FIFO-0.6500-1.9000 cache size   195268, 14000000 req, miss ratio 0.0213, byte miss ratio 0.0213
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size      244, 14000000 req, miss ratio 0.6067, byte miss ratio 0.6067
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size      732, 14000000 req, miss ratio 0.5494, byte miss ratio 0.5494
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size     2440, 14000000 req, miss ratio 0.5410, byte miss ratio 0.5410
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size     7322, 14000000 req, miss ratio 0.5410, byte miss ratio 0.5410
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size    24408, 14000000 req, miss ratio 0.2852, byte miss ratio 0.2852
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size    48817, 14000000 req, miss ratio 0.0576, byte miss ratio 0.0576
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size    97634, 14000000 req, miss ratio 0.0345, byte miss ratio 0.0345
io_traces.ns246 S3FIFO-0.3500-1.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size      244, 14000000 req, miss ratio 0.6055, byte miss ratio 0.6055
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size      732, 14000000 req, miss ratio 0.5539, byte miss ratio 0.5539
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size     2440, 14000000 req, miss ratio 0.5434, byte miss ratio 0.5434
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size     7322, 14000000 req, miss ratio 0.5134, byte miss ratio 0.5134
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size    24408, 14000000 req, miss ratio 0.2632, byte miss ratio 0.2632
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size    48817, 14000000 req, miss ratio 0.0423, byte miss ratio 0.0423
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size    97634, 14000000 req, miss ratio 0.0337, byte miss ratio 0.0337
io_traces.ns246 S3FIFO-0.0500-1.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size      244, 14000000 req, miss ratio 0.6582, byte miss ratio 0.6582
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size      732, 14000000 req, miss ratio 0.5605, byte miss ratio 0.5605
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size     2440, 14000000 req, miss ratio 0.5424, byte miss ratio 0.5424
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size     7322, 14000000 req, miss ratio 0.5436, byte miss ratio 0.5436
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size    24408, 14000000 req, miss ratio 0.3196, byte miss ratio 0.3196
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size    48817, 14000000 req, miss ratio 0.0798, byte miss ratio 0.0798
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size    97634, 14000000 req, miss ratio 0.0363, byte miss ratio 0.0363
io_traces.ns246 S3FIFO-0.6000-1.9000 cache size   195268, 14000000 req, miss ratio 0.0206, byte miss ratio 0.0206
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size      244, 14000000 req, miss ratio 0.6310, byte miss ratio 0.6310
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size      732, 14000000 req, miss ratio 0.5518, byte miss ratio 0.5518
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size     2440, 14000000 req, miss ratio 0.5414, byte miss ratio 0.5414
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size     7322, 14000000 req, miss ratio 0.5427, byte miss ratio 0.5427
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size    24408, 14000000 req, miss ratio 0.2904, byte miss ratio 0.2904
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size    48817, 14000000 req, miss ratio 0.0714, byte miss ratio 0.0714
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size    97634, 14000000 req, miss ratio 0.0351, byte miss ratio 0.0351
io_traces.ns246 S3FIFO-0.5000-1.9000 cache size   195268, 14000000 req, miss ratio 0.0193, byte miss ratio 0.0193
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size      244, 14000000 req, miss ratio 0.6193, byte miss ratio 0.6193
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size      732, 14000000 req, miss ratio 0.5516, byte miss ratio 0.5516
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size     2440, 14000000 req, miss ratio 0.5411, byte miss ratio 0.5411
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size     7322, 14000000 req, miss ratio 0.5362, byte miss ratio 0.5362
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size    24408, 14000000 req, miss ratio 0.2804, byte miss ratio 0.2804
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size    48817, 14000000 req, miss ratio 0.0478, byte miss ratio 0.0478
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size    97634, 14000000 req, miss ratio 0.0339, byte miss ratio 0.0339
io_traces.ns246 S3FIFO-0.2500-0.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size      244, 14000000 req, miss ratio 0.6231, byte miss ratio 0.6231
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size      732, 14000000 req, miss ratio 0.5578, byte miss ratio 0.5578
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size     2440, 14000000 req, miss ratio 0.5448, byte miss ratio 0.5448
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size     7322, 14000000 req, miss ratio 0.5062, byte miss ratio 0.5062
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size    24408, 14000000 req, miss ratio 0.2510, byte miss ratio 0.2510
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size    48817, 14000000 req, miss ratio 0.0415, byte miss ratio 0.0415
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size    97634, 14000000 req, miss ratio 0.0338, byte miss ratio 0.0338
io_traces.ns246 S3FIFO-0.0100-1.9000 cache size   195268, 14000000 req, miss ratio 0.0175, byte miss ratio 0.0175
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size      244, 14000000 req, miss ratio 0.7247, byte miss ratio 0.7247
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size      732, 14000000 req, miss ratio 0.6026, byte miss ratio 0.6026
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size     2440, 14000000 req, miss ratio 0.5482, byte miss ratio 0.5482
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size     7322, 14000000 req, miss ratio 0.5402, byte miss ratio 0.5402
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size    24408, 14000000 req, miss ratio 0.3125, byte miss ratio 0.3125
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size    48817, 14000000 req, miss ratio 0.0978, byte miss ratio 0.0978
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size    97634, 14000000 req, miss ratio 0.0468, byte miss ratio 0.0468
io_traces.ns246 S3FIFO-0.8500-0.9000 cache size   195268, 14000000 req, miss ratio 0.0234, byte miss ratio 0.0234
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size      244, 14000000 req, miss ratio 0.6189, byte miss ratio 0.6189
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size      732, 14000000 req, miss ratio 0.5530, byte miss ratio 0.5530
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size     2440, 14000000 req, miss ratio 0.5411, byte miss ratio 0.5411
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size     7322, 14000000 req, miss ratio 0.5363, byte miss ratio 0.5363
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size    24408, 14000000 req, miss ratio 0.3089, byte miss ratio 0.3089
io_traces.ns246 S3FIFO-0.2000-0.9000 cache size    48817, 14000000 req, miss ratio 0.0454, byte miss ratio 0.0454
