cdn1_colo28.ns975 S3FIFO-0.0500-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size       32, 2315384 req, miss ratio 0.5417, byte miss ratio 0.5417
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size       98, 2315384 req, miss ratio 0.4484, byte miss ratio 0.4484
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size      328, 2315384 req, miss ratio 0.3657, byte miss ratio 0.3657
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size      986, 2315384 req, miss ratio 0.2548, byte miss ratio 0.2548
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size     3289, 2315384 req, miss ratio 0.1134, byte miss ratio 0.1134
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size     6578, 2315384 req, miss ratio 0.0596, byte miss ratio 0.0596
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size    13156, 2315384 req, miss ratio 0.0294, byte miss ratio 0.0294
cdn1_colo28.ns975 S3FIFO-0.4000-1.9000 cache size    26313, 2315384 req, miss ratio 0.0152, byte miss ratio 0.0152
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size       98, 2315384 req, miss ratio 0.4252, byte miss ratio 0.4252
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size      328, 2315384 req, miss ratio 0.3387, byte miss ratio 0.3387
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size      986, 2315384 req, miss ratio 0.2246, byte miss ratio 0.2246
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size     3289, 2315384 req, miss ratio 0.0942, byte miss ratio 0.0942
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size     6578, 2315384 req, miss ratio 0.0512, byte miss ratio 0.0512
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size    13156, 2315384 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_colo28.ns975 S3FIFO-0.0250-1.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size       32, 2315384 req, miss ratio 0.7263, byte miss ratio 0.7263
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size       98, 2315384 req, miss ratio 0.5601, byte miss ratio 0.5601
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size      328, 2315384 req, miss ratio 0.4322, byte miss ratio 0.4322
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size      986, 2315384 req, miss ratio 0.3061, byte miss ratio 0.3061
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size     3289, 2315384 req, miss ratio 0.1487, byte miss ratio 0.1487
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size     6578, 2315384 req, miss ratio 0.0815, byte miss ratio 0.0815
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size    13156, 2315384 req, miss ratio 0.0409, byte miss ratio 0.0409
cdn1_colo28.ns975 S3FIFO-0.9900-1.9000 cache size    26313, 2315384 req, miss ratio 0.0191, byte miss ratio 0.0191
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size       98, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size      328, 2315384 req, miss ratio 0.3374, byte miss ratio 0.3374
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size      986, 2315384 req, miss ratio 0.2234, byte miss ratio 0.2234
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size     3289, 2315384 req, miss ratio 0.0936, byte miss ratio 0.0936
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size     6578, 2315384 req, miss ratio 0.0510, byte miss ratio 0.0510
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size    13156, 2315384 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns975 S3FIFO-0.0050-1.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size       32, 2315384 req, miss ratio 0.6374, byte miss ratio 0.6374
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size       98, 2315384 req, miss ratio 0.4780, byte miss ratio 0.4780
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size      328, 2315384 req, miss ratio 0.3923, byte miss ratio 0.3923
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size      986, 2315384 req, miss ratio 0.2806, byte miss ratio 0.2806
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size     3289, 2315384 req, miss ratio 0.1308, byte miss ratio 0.1308
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size     6578, 2315384 req, miss ratio 0.0694, byte miss ratio 0.0694
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size    13156, 2315384 req, miss ratio 0.0340, byte miss ratio 0.0340
cdn1_colo28.ns975 S3FIFO-0.7000-1.9000 cache size    26313, 2315384 req, miss ratio 0.0165, byte miss ratio 0.0165
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size       32, 2315384 req, miss ratio 0.5772, byte miss ratio 0.5772
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size       98, 2315384 req, miss ratio 0.4566, byte miss ratio 0.4566
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size      328, 2315384 req, miss ratio 0.3741, byte miss ratio 0.3741
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size      986, 2315384 req, miss ratio 0.2634, byte miss ratio 0.2634
cdn1_colo28.ns975 S3FIFO-0.5000-1.9000 cache size     3289, 2315384 req, miss ratio 0.1191, byte miss ratio 0.1191
