cdn1_colo28.ns256 S3FIFO-0.8500-1.9000 cache size        6, 3227845 req, miss ratio 0.6750, byte miss ratio 0.6750
cdn1_colo28.ns256 S3FIFO-0.8500-1.9000 cache size       21, 3227845 req, miss ratio 0.5010, byte miss ratio 0.5010
cdn1_colo28.ns256 S3FIFO-0.8500-1.9000 cache size       43, 3227845 req, miss ratio 0.2393, byte miss ratio 0.2393
cdn1_colo28.ns256 S3FIFO-0.8500-1.9000 cache size       86, 3227845 req, miss ratio 0.0395, byte miss ratio 0.0395
cdn1_colo28.ns256 S3FIFO-0.8500-1.9000 cache size      172, 3227845 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns256 S3FIFO-0.0010-0.9000 cache size        6, 3227845 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns256 S3FIFO-0.0010-0.9000 cache size       21, 3227845 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns256 S3FIFO-0.0010-0.9000 cache size       43, 3227845 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns256 S3FIFO-0.0010-0.9000 cache size       86, 3227845 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns256 S3FIFO-0.0010-0.9000 cache size      172, 3227845 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns256 S3FIFO-0.9900-0.9000 cache size        6, 3227845 req, miss ratio 0.6723, byte miss ratio 0.6723
cdn1_colo28.ns256 S3FIFO-0.9900-0.9000 cache size       21, 3227845 req, miss ratio 0.4986, byte miss ratio 0.4986
cdn1_colo28.ns256 S3FIFO-0.9900-0.9000 cache size       43, 3227845 req, miss ratio 0.2471, byte miss ratio 0.2471
cdn1_colo28.ns256 S3FIFO-0.9900-0.9000 cache size       86, 3227845 req, miss ratio 0.0429, byte miss ratio 0.0429
cdn1_colo28.ns256 S3FIFO-0.9900-0.9000 cache size      172, 3227845 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_colo28.ns256 S3FIFO-0.3000-0.9000 cache size        6, 3227845 req, miss ratio 0.5939, byte miss ratio 0.5939
cdn1_colo28.ns256 S3FIFO-0.3000-0.9000 cache size       21, 3227845 req, miss ratio 0.4540, byte miss ratio 0.4540
cdn1_colo28.ns256 S3FIFO-0.3000-0.9000 cache size       43, 3227845 req, miss ratio 0.2103, byte miss ratio 0.2103
cdn1_colo28.ns256 S3FIFO-0.3000-0.9000 cache size       86, 3227845 req, miss ratio 0.0230, byte miss ratio 0.0230
cdn1_colo28.ns256 S3FIFO-0.3000-0.9000 cache size      172, 3227845 req, miss ratio 0.0001, byte miss ratio 0.0001
cdn1_colo28.ns256 S3FIFO-0.7500-1.9000 cache size        6, 3227845 req, miss ratio 0.6632, byte miss ratio 0.6632
cdn1_colo28.ns256 S3FIFO-0.7500-1.9000 cache size       21, 3227845 req, miss ratio 0.5073, byte miss ratio 0.5073
cdn1_colo28.ns256 S3FIFO-0.7500-1.9000 cache size       43, 3227845 req, miss ratio 0.2341, byte miss ratio 0.2341
cdn1_colo28.ns256 S3FIFO-0.7500-1.9000 cache size       86, 3227845 req, miss ratio 0.0368, byte miss ratio 0.0368
