io_traces.ns242 S3FIFO-0.7000-0.9000 cache size     2047, 19400000 req, miss ratio 0.4344, byte miss ratio 0.4344
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size     6142, 19400000 req, miss ratio 0.3198, byte miss ratio 0.3198
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size    20473, 19400000 req, miss ratio 0.2367, byte miss ratio 0.2367
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size    61420, 19400000 req, miss ratio 0.1663, byte miss ratio 0.1663
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size   204736, 19400000 req, miss ratio 0.1225, byte miss ratio 0.1225
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size   409472, 19400000 req, miss ratio 0.1102, byte miss ratio 0.1102
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size   818944, 19400000 req, miss ratio 0.1073, byte miss ratio 0.1073
io_traces.ns242 S3FIFO-0.7000-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size     2047, 19400000 req, miss ratio 0.4711, byte miss ratio 0.4711
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size     6142, 19400000 req, miss ratio 0.3379, byte miss ratio 0.3379
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size    20473, 19400000 req, miss ratio 0.2393, byte miss ratio 0.2393
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size    61420, 19400000 req, miss ratio 0.1681, byte miss ratio 0.1681
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size   204736, 19400000 req, miss ratio 0.1275, byte miss ratio 0.1275
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size   409472, 19400000 req, miss ratio 0.1147, byte miss ratio 0.1147
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size   818944, 19400000 req, miss ratio 0.1078, byte miss ratio 0.1078
io_traces.ns242 S3FIFO-0.8500-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1057, byte miss ratio 0.1057
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size     2047, 19400000 req, miss ratio 0.3784, byte miss ratio 0.3784
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size     6142, 19400000 req, miss ratio 0.3417, byte miss ratio 0.3417
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size    20473, 19400000 req, miss ratio 0.2540, byte miss ratio 0.2540
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size    61420, 19400000 req, miss ratio 0.2079, byte miss ratio 0.2079
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size   204736, 19400000 req, miss ratio 0.1487, byte miss ratio 0.1487
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size   409472, 19400000 req, miss ratio 0.1354, byte miss ratio 0.1354
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size   818944, 19400000 req, miss ratio 0.1196, byte miss ratio 0.1196
io_traces.ns242 S3FIFO-0.0050-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size     2047, 19400000 req, miss ratio 0.5042, byte miss ratio 0.5042
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size     6142, 19400000 req, miss ratio 0.3623, byte miss ratio 0.3623
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size    20473, 19400000 req, miss ratio 0.2472, byte miss ratio 0.2472
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size    61420, 19400000 req, miss ratio 0.1705, byte miss ratio 0.1705
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size   204736, 19400000 req, miss ratio 0.1312, byte miss ratio 0.1312
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size   409472, 19400000 req, miss ratio 0.1187, byte miss ratio 0.1187
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size   818944, 19400000 req, miss ratio 0.1111, byte miss ratio 0.1111
io_traces.ns242 S3FIFO-0.9900-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1074, byte miss ratio 0.1074
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size     2047, 19400000 req, miss ratio 0.3508, byte miss ratio 0.3508
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size     6142, 19400000 req, miss ratio 0.3124, byte miss ratio 0.3124
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size    20473, 19400000 req, miss ratio 0.2386, byte miss ratio 0.2386
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size    61420, 19400000 req, miss ratio 0.1877, byte miss ratio 0.1877
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size   204736, 19400000 req, miss ratio 0.1177, byte miss ratio 0.1177
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size   409472, 19400000 req, miss ratio 0.1121, byte miss ratio 0.1121
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size   818944, 19400000 req, miss ratio 0.1089, byte miss ratio 0.1089
io_traces.ns242 S3FIFO-0.1000-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size     2047, 19400000 req, miss ratio 0.3476, byte miss ratio 0.3476
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size     6142, 19400000 req, miss ratio 0.3122, byte miss ratio 0.3122
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size    20473, 19400000 req, miss ratio 0.2345, byte miss ratio 0.2345
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size    61420, 19400000 req, miss ratio 0.1707, byte miss ratio 0.1707
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size   204736, 19400000 req, miss ratio 0.1142, byte miss ratio 0.1142
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size   409472, 19400000 req, miss ratio 0.1099, byte miss ratio 0.1099
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size   818944, 19400000 req, miss ratio 0.1078, byte miss ratio 0.1078
io_traces.ns242 S3FIFO-0.3000-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size     2047, 19400000 req, miss ratio 0.4490, byte miss ratio 0.4490
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size     6142, 19400000 req, miss ratio 0.3231, byte miss ratio 0.3231
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size    20473, 19400000 req, miss ratio 0.2366, byte miss ratio 0.2366
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size    61420, 19400000 req, miss ratio 0.1668, byte miss ratio 0.1668
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size   204736, 19400000 req, miss ratio 0.1244, byte miss ratio 0.1244
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size   409472, 19400000 req, miss ratio 0.1111, byte miss ratio 0.1111
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size   818944, 19400000 req, miss ratio 0.1074, byte miss ratio 0.1074
io_traces.ns242 S3FIFO-0.7500-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size     2047, 19400000 req, miss ratio 0.3559, byte miss ratio 0.3559
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size     6142, 19400000 req, miss ratio 0.3160, byte miss ratio 0.3160
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size    20473, 19400000 req, miss ratio 0.2339, byte miss ratio 0.2339
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size    61420, 19400000 req, miss ratio 0.1670, byte miss ratio 0.1670
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size   204736, 19400000 req, miss ratio 0.1139, byte miss ratio 0.1139
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size   409472, 19400000 req, miss ratio 0.1096, byte miss ratio 0.1096
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size   818944, 19400000 req, miss ratio 0.1076, byte miss ratio 0.1076
io_traces.ns242 S3FIFO-0.4000-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size     2047, 19400000 req, miss ratio 0.3767, byte miss ratio 0.3767
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size     6142, 19400000 req, miss ratio 0.3294, byte miss ratio 0.3294
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size    20473, 19400000 req, miss ratio 0.2464, byte miss ratio 0.2464
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size    61420, 19400000 req, miss ratio 0.2057, byte miss ratio 0.2057
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size   204736, 19400000 req, miss ratio 0.1439, byte miss ratio 0.1439
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size   409472, 19400000 req, miss ratio 0.1293, byte miss ratio 0.1293
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size   818944, 19400000 req, miss ratio 0.1147, byte miss ratio 0.1147
io_traces.ns242 S3FIFO-0.0100-1.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size     2047, 19400000 req, miss ratio 0.4595, byte miss ratio 0.4595
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size     6142, 19400000 req, miss ratio 0.3272, byte miss ratio 0.3272
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size    20473, 19400000 req, miss ratio 0.2383, byte miss ratio 0.2383
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size    61420, 19400000 req, miss ratio 0.1670, byte miss ratio 0.1670
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size   204736, 19400000 req, miss ratio 0.1261, byte miss ratio 0.1261
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size   409472, 19400000 req, miss ratio 0.1126, byte miss ratio 0.1126
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size   818944, 19400000 req, miss ratio 0.1075, byte miss ratio 0.1075
io_traces.ns242 S3FIFO-0.8000-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size     2047, 19400000 req, miss ratio 0.4062, byte miss ratio 0.4062
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size     6142, 19400000 req, miss ratio 0.3181, byte miss ratio 0.3181
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size    20473, 19400000 req, miss ratio 0.2356, byte miss ratio 0.2356
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size    61420, 19400000 req, miss ratio 0.1656, byte miss ratio 0.1656
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size   204736, 19400000 req, miss ratio 0.1184, byte miss ratio 0.1184
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size   409472, 19400000 req, miss ratio 0.1098, byte miss ratio 0.1098
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size   818944, 19400000 req, miss ratio 0.1072, byte miss ratio 0.1072
io_traces.ns242 S3FIFO-0.6000-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size     2047, 19400000 req, miss ratio 0.3483, byte miss ratio 0.3483
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size     6142, 19400000 req, miss ratio 0.3132, byte miss ratio 0.3132
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size    20473, 19400000 req, miss ratio 0.2345, byte miss ratio 0.2345
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size    61420, 19400000 req, miss ratio 0.1682, byte miss ratio 0.1682
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size   204736, 19400000 req, miss ratio 0.1137, byte miss ratio 0.1137
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size   409472, 19400000 req, miss ratio 0.1097, byte miss ratio 0.1097
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size   818944, 19400000 req, miss ratio 0.1076, byte miss ratio 0.1076
io_traces.ns242 S3FIFO-0.3500-0.9000 cache size  1637889, 19400000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns242 S3FIFO-0.2500-1.9000 cache size     2047, 19400000 req, miss ratio 0.3476, byte miss ratio 0.3476
