cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size      444, 618750607 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size      444, 618750607 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
