cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.2500-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.7000-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.8500-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size     1162, 9861230 req, miss ratio 0.1378, byte miss ratio 0.1378
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size     3488, 9861230 req, miss ratio 0.1283, byte miss ratio 0.1283
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size    11626, 9861230 req, miss ratio 0.1190, byte miss ratio 0.1190
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.7500-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size     1162, 9861230 req, miss ratio 0.1378, byte miss ratio 0.1378
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size     3488, 9861230 req, miss ratio 0.1283, byte miss ratio 0.1283
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size    11626, 9861230 req, miss ratio 0.1190, byte miss ratio 0.1190
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.0010-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.3000-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6500-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.5000-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size     1162, 9861230 req, miss ratio 0.1185, byte miss ratio 0.1185
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.9000-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size     1162, 9861230 req, miss ratio 0.1190, byte miss ratio 0.1190
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size     3488, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.9900-1.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.6000-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.1500-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
cdn1_colo28.ns114 S3FIFO-0.2500-0.9000 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
