cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size       12, 1920906 req, miss ratio 0.2605, byte miss ratio 0.2605
cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size       36, 1920906 req, miss ratio 0.1370, byte miss ratio 0.1370
cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size      120, 1920906 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size      240, 1920906 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size      480, 1920906 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns4279 S3FIFO-0.1500-0.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size       12, 1920906 req, miss ratio 0.2947, byte miss ratio 0.2947
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size       36, 1920906 req, miss ratio 0.1621, byte miss ratio 0.1621
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size      120, 1920906 req, miss ratio 0.0395, byte miss ratio 0.0395
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size      240, 1920906 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size      480, 1920906 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns4279 S3FIFO-0.4500-1.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size       12, 1920906 req, miss ratio 0.3097, byte miss ratio 0.3097
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size       36, 1920906 req, miss ratio 0.1753, byte miss ratio 0.1753
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size      120, 1920906 req, miss ratio 0.0452, byte miss ratio 0.0452
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size      240, 1920906 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size      480, 1920906 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns4279 S3FIFO-0.6500-0.9000 cache size      961, 1920906 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size       12, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size       36, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size      120, 1920906 req, miss ratio 0.0289, byte miss ratio 0.0289
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size      240, 1920906 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size      480, 1920906 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns4279 S3FIFO-0.0250-0.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size       12, 1920906 req, miss ratio 0.2972, byte miss ratio 0.2972
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size       36, 1920906 req, miss ratio 0.1646, byte miss ratio 0.1646
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size      120, 1920906 req, miss ratio 0.0413, byte miss ratio 0.0413
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size      240, 1920906 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size      480, 1920906 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns4279 S3FIFO-0.5000-0.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size       12, 1920906 req, miss ratio 0.2688, byte miss ratio 0.2688
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size       36, 1920906 req, miss ratio 0.1396, byte miss ratio 0.1396
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size      120, 1920906 req, miss ratio 0.0317, byte miss ratio 0.0317
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size      240, 1920906 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size      480, 1920906 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns4279 S3FIFO-0.1000-1.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size       12, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size       36, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size      120, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size      240, 1920906 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size      480, 1920906 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns4279 S3FIFO-0.0050-1.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size       12, 1920906 req, miss ratio 0.3097, byte miss ratio 0.3097
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size       36, 1920906 req, miss ratio 0.1712, byte miss ratio 0.1712
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size      120, 1920906 req, miss ratio 0.0438, byte miss ratio 0.0438
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size      240, 1920906 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size      480, 1920906 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns4279 S3FIFO-0.6000-0.9000 cache size      961, 1920906 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size       12, 1920906 req, miss ratio 0.3160, byte miss ratio 0.3160
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size       36, 1920906 req, miss ratio 0.1710, byte miss ratio 0.1710
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size      120, 1920906 req, miss ratio 0.0430, byte miss ratio 0.0430
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size      240, 1920906 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size      480, 1920906 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns4279 S3FIFO-0.6000-1.9000 cache size      961, 1920906 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size       12, 1920906 req, miss ratio 0.3288, byte miss ratio 0.3288
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size       36, 1920906 req, miss ratio 0.1772, byte miss ratio 0.1772
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size      120, 1920906 req, miss ratio 0.0454, byte miss ratio 0.0454
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size      240, 1920906 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size      480, 1920906 req, miss ratio 0.0027, byte miss ratio 0.0027
cdn1_allcolo.ns4279 S3FIFO-0.7000-1.9000 cache size      961, 1920906 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size       12, 1920906 req, miss ratio 0.3419, byte miss ratio 0.3419
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size       36, 1920906 req, miss ratio 0.1848, byte miss ratio 0.1848
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size      120, 1920906 req, miss ratio 0.0492, byte miss ratio 0.0492
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size      240, 1920906 req, miss ratio 0.0125, byte miss ratio 0.0125
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size      480, 1920906 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_allcolo.ns4279 S3FIFO-0.8000-0.9000 cache size      961, 1920906 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size       12, 1920906 req, miss ratio 0.2879, byte miss ratio 0.2879
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size       36, 1920906 req, miss ratio 0.1547, byte miss ratio 0.1547
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size      120, 1920906 req, miss ratio 0.0373, byte miss ratio 0.0373
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size      240, 1920906 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size      480, 1920906 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns4279 S3FIFO-0.3500-1.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size       12, 1920906 req, miss ratio 0.3762, byte miss ratio 0.3762
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size       36, 1920906 req, miss ratio 0.2014, byte miss ratio 0.2014
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size      120, 1920906 req, miss ratio 0.0541, byte miss ratio 0.0541
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size      240, 1920906 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size      480, 1920906 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_allcolo.ns4279 S3FIFO-0.9500-0.9000 cache size      961, 1920906 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size       12, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size       36, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size      120, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size      240, 1920906 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size      480, 1920906 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns4279 S3FIFO-0.0050-0.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size       12, 1920906 req, miss ratio 0.2747, byte miss ratio 0.2747
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size       36, 1920906 req, miss ratio 0.1467, byte miss ratio 0.1467
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size      120, 1920906 req, miss ratio 0.0363, byte miss ratio 0.0363
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size      240, 1920906 req, miss ratio 0.0079, byte miss ratio 0.0079
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size      480, 1920906 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns4279 S3FIFO-0.3000-0.9000 cache size      961, 1920906 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns4279 S3FIFO-0.0100-0.9000 cache size       12, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0100-0.9000 cache size       36, 1920906 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4279 S3FIFO-0.0100-0.9000 cache size      120, 1920906 req, miss ratio 0.0283, byte miss ratio 0.0283
