tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size      580, 4922545 req, miss ratio 0.5003, byte miss ratio 0.5003
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size     1742, 4922545 req, miss ratio 0.4611, byte miss ratio 0.4611
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size     5809, 4922545 req, miss ratio 0.4006, byte miss ratio 0.4006
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size    17428, 4922545 req, miss ratio 0.3343, byte miss ratio 0.3343
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size    58095, 4922545 req, miss ratio 0.2723, byte miss ratio 0.2723
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size   116190, 4922545 req, miss ratio 0.2275, byte miss ratio 0.2275
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size   232381, 4922545 req, miss ratio 0.1646, byte miss ratio 0.1646
tencentBlock.ns8331 S3FIFO-0.0250-0.9000 cache size   464762, 4922545 req, miss ratio 0.1231, byte miss ratio 0.1231
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size      580, 4922545 req, miss ratio 0.5150, byte miss ratio 0.5150
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size     1742, 4922545 req, miss ratio 0.4856, byte miss ratio 0.4856
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size     5809, 4922545 req, miss ratio 0.4236, byte miss ratio 0.4236
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size    17428, 4922545 req, miss ratio 0.3400, byte miss ratio 0.3400
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size    58095, 4922545 req, miss ratio 0.2624, byte miss ratio 0.2624
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size   116190, 4922545 req, miss ratio 0.2219, byte miss ratio 0.2219
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size   232381, 4922545 req, miss ratio 0.1694, byte miss ratio 0.1694
tencentBlock.ns8331 S3FIFO-0.8500-1.9000 cache size   464762, 4922545 req, miss ratio 0.1249, byte miss ratio 0.1249
tencentBlock.ns8331 S3FIFO-0.5000-1.9000 cache size      580, 4922545 req, miss ratio 0.5020, byte miss ratio 0.5020
tencentBlock.ns8331 S3FIFO-0.5000-1.9000 cache size     1742, 4922545 req, miss ratio 0.4770, byte miss ratio 0.4770
tencentBlock.ns8331 S3FIFO-0.5000-1.9000 cache size     5809, 4922545 req, miss ratio 0.4071, byte miss ratio 0.4071
tencentBlock.ns8331 S3FIFO-0.5000-1.9000 cache size    17428, 4922545 req, miss ratio 0.3241, byte miss ratio 0.3241
