cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size        6, 2004903 req, miss ratio 0.8130, byte miss ratio 0.8130
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size       22, 2004903 req, miss ratio 0.5667, byte miss ratio 0.5667
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size       68, 2004903 req, miss ratio 0.2805, byte miss ratio 0.2805
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size      227, 2004903 req, miss ratio 0.0764, byte miss ratio 0.0764
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size      455, 2004903 req, miss ratio 0.0211, byte miss ratio 0.0211
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size      910, 2004903 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns4219 S3FIFO-0.9500-0.9000 cache size     1820, 2004903 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size        6, 2004903 req, miss ratio 0.7129, byte miss ratio 0.7129
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size       22, 2004903 req, miss ratio 0.4422, byte miss ratio 0.4422
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size       68, 2004903 req, miss ratio 0.1878, byte miss ratio 0.1878
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size      227, 2004903 req, miss ratio 0.0497, byte miss ratio 0.0497
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size      455, 2004903 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size      910, 2004903 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns4219 S3FIFO-0.2000-1.9000 cache size     1820, 2004903 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns4219 S3FIFO-0.0010-0.9000 cache size        6, 2004903 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4219 S3FIFO-0.0010-0.9000 cache size       22, 2004903 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4219 S3FIFO-0.0010-0.9000 cache size       68, 2004903 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4219 S3FIFO-0.0010-0.9000 cache size      227, 2004903 req, miss ratio 1.0000, byte miss ratio 1.0000
