tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size       87, 1786370 req, miss ratio 0.2957, byte miss ratio 0.2957
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size      263, 1786370 req, miss ratio 0.2338, byte miss ratio 0.2338
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size      878, 1786370 req, miss ratio 0.2237, byte miss ratio 0.2237
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size     2634, 1786370 req, miss ratio 0.2164, byte miss ratio 0.2164
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size     8782, 1786370 req, miss ratio 0.2026, byte miss ratio 0.2026
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size    17565, 1786370 req, miss ratio 0.1735, byte miss ratio 0.1735
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size    35130, 1786370 req, miss ratio 0.1495, byte miss ratio 0.1495
tencentBlock.ns20597 S3FIFO-0.2000-0.9000 cache size    70261, 1786370 req, miss ratio 0.0574, byte miss ratio 0.0574
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size       87, 1786370 req, miss ratio 0.2869, byte miss ratio 0.2869
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size      263, 1786370 req, miss ratio 0.2335, byte miss ratio 0.2335
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size      878, 1786370 req, miss ratio 0.2221, byte miss ratio 0.2221
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size     2634, 1786370 req, miss ratio 0.2163, byte miss ratio 0.2163
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size     8782, 1786370 req, miss ratio 0.1983, byte miss ratio 0.1983
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size    17565, 1786370 req, miss ratio 0.1904, byte miss ratio 0.1904
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size    35130, 1786370 req, miss ratio 0.1536, byte miss ratio 0.1536
tencentBlock.ns20597 S3FIFO-0.2500-1.9000 cache size    70261, 1786370 req, miss ratio 0.0593, byte miss ratio 0.0593
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size       87, 1786370 req, miss ratio 0.3428, byte miss ratio 0.3428
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size      263, 1786370 req, miss ratio 0.2629, byte miss ratio 0.2629
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size      878, 1786370 req, miss ratio 0.2310, byte miss ratio 0.2310
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size     2634, 1786370 req, miss ratio 0.2201, byte miss ratio 0.2201
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size     8782, 1786370 req, miss ratio 0.2163, byte miss ratio 0.2163
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size    17565, 1786370 req, miss ratio 0.2005, byte miss ratio 0.2005
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size    35130, 1786370 req, miss ratio 0.1566, byte miss ratio 0.1566
tencentBlock.ns20597 S3FIFO-0.8000-1.9000 cache size    70261, 1786370 req, miss ratio 0.0768, byte miss ratio 0.0768
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size       87, 1786370 req, miss ratio 0.2953, byte miss ratio 0.2953
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size      263, 1786370 req, miss ratio 0.2339, byte miss ratio 0.2339
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size      878, 1786370 req, miss ratio 0.2239, byte miss ratio 0.2239
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size     2634, 1786370 req, miss ratio 0.2165, byte miss ratio 0.2165
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size     8782, 1786370 req, miss ratio 0.2034, byte miss ratio 0.2034
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size    17565, 1786370 req, miss ratio 0.1771, byte miss ratio 0.1771
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size    35130, 1786370 req, miss ratio 0.1571, byte miss ratio 0.1571
tencentBlock.ns20597 S3FIFO-0.3000-0.9000 cache size    70261, 1786370 req, miss ratio 0.0610, byte miss ratio 0.0610
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size       87, 1786370 req, miss ratio 0.2954, byte miss ratio 0.2954
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size      263, 1786370 req, miss ratio 0.2339, byte miss ratio 0.2339
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size      878, 1786370 req, miss ratio 0.2236, byte miss ratio 0.2236
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size     2634, 1786370 req, miss ratio 0.2164, byte miss ratio 0.2164
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size     8782, 1786370 req, miss ratio 0.2029, byte miss ratio 0.2029
tencentBlock.ns20597 S3FIFO-0.2500-0.9000 cache size    17565, 1786370 req, miss ratio 0.1754, byte miss ratio 0.1754
