cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size       57, 2593251 req, miss ratio 0.9486, byte miss ratio 0.9486
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size      172, 2593251 req, miss ratio 0.8984, byte miss ratio 0.8984
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size      575, 2593251 req, miss ratio 0.7730, byte miss ratio 0.7730
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size     1725, 2593251 req, miss ratio 0.5500, byte miss ratio 0.5500
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size     5752, 2593251 req, miss ratio 0.2409, byte miss ratio 0.2409
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size    11505, 2593251 req, miss ratio 0.1137, byte miss ratio 0.1137
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size    23010, 2593251 req, miss ratio 0.0509, byte miss ratio 0.0509
cdn1_colo28.ns5960 S3FIFO-0.6500-1.9000 cache size    46020, 2593251 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size       57, 2593251 req, miss ratio 0.9367, byte miss ratio 0.9367
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size      172, 2593251 req, miss ratio 0.8701, byte miss ratio 0.8701
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size      575, 2593251 req, miss ratio 0.7203, byte miss ratio 0.7203
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size     1725, 2593251 req, miss ratio 0.4949, byte miss ratio 0.4949
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size     5752, 2593251 req, miss ratio 0.2133, byte miss ratio 0.2133
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size    11505, 2593251 req, miss ratio 0.0980, byte miss ratio 0.0980
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size    23010, 2593251 req, miss ratio 0.0441, byte miss ratio 0.0441
cdn1_colo28.ns5960 S3FIFO-0.4000-0.9000 cache size    46020, 2593251 req, miss ratio 0.0237, byte miss ratio 0.0237
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size       57, 2593251 req, miss ratio 0.9355, byte miss ratio 0.9355
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size      172, 2593251 req, miss ratio 0.8684, byte miss ratio 0.8684
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size      575, 2593251 req, miss ratio 0.7189, byte miss ratio 0.7189
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size     1725, 2593251 req, miss ratio 0.4905, byte miss ratio 0.4905
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size     5752, 2593251 req, miss ratio 0.2040, byte miss ratio 0.2040
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size    11505, 2593251 req, miss ratio 0.0922, byte miss ratio 0.0922
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size    23010, 2593251 req, miss ratio 0.0420, byte miss ratio 0.0420
cdn1_colo28.ns5960 S3FIFO-0.3000-1.9000 cache size    46020, 2593251 req, miss ratio 0.0234, byte miss ratio 0.0234
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size       57, 2593251 req, miss ratio 0.9516, byte miss ratio 0.9516
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size      172, 2593251 req, miss ratio 0.9070, byte miss ratio 0.9070
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size      575, 2593251 req, miss ratio 0.7880, byte miss ratio 0.7880
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size     1725, 2593251 req, miss ratio 0.5666, byte miss ratio 0.5666
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size     5752, 2593251 req, miss ratio 0.2523, byte miss ratio 0.2523
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size    11505, 2593251 req, miss ratio 0.1207, byte miss ratio 0.1207
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size    23010, 2593251 req, miss ratio 0.0545, byte miss ratio 0.0545
cdn1_colo28.ns5960 S3FIFO-0.7500-1.9000 cache size    46020, 2593251 req, miss ratio 0.0263, byte miss ratio 0.0263
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size       57, 2593251 req, miss ratio 0.9499, byte miss ratio 0.9499
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size      172, 2593251 req, miss ratio 0.9028, byte miss ratio 0.9028
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size      575, 2593251 req, miss ratio 0.7806, byte miss ratio 0.7806
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size     1725, 2593251 req, miss ratio 0.5582, byte miss ratio 0.5582
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size     5752, 2593251 req, miss ratio 0.2466, byte miss ratio 0.2466
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size    11505, 2593251 req, miss ratio 0.1173, byte miss ratio 0.1173
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size    23010, 2593251 req, miss ratio 0.0526, byte miss ratio 0.0526
cdn1_colo28.ns5960 S3FIFO-0.7000-1.9000 cache size    46020, 2593251 req, miss ratio 0.0257, byte miss ratio 0.0257
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size       57, 2593251 req, miss ratio 0.9521, byte miss ratio 0.9521
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size      172, 2593251 req, miss ratio 0.9065, byte miss ratio 0.9065
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size      575, 2593251 req, miss ratio 0.7878, byte miss ratio 0.7878
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size     1725, 2593251 req, miss ratio 0.5747, byte miss ratio 0.5747
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size     5752, 2593251 req, miss ratio 0.2635, byte miss ratio 0.2635
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size    11505, 2593251 req, miss ratio 0.1277, byte miss ratio 0.1277
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size    23010, 2593251 req, miss ratio 0.0564, byte miss ratio 0.0564
cdn1_colo28.ns5960 S3FIFO-0.8000-0.9000 cache size    46020, 2593251 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size       57, 2593251 req, miss ratio 0.9586, byte miss ratio 0.9586
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size      172, 2593251 req, miss ratio 0.9200, byte miss ratio 0.9200
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size      575, 2593251 req, miss ratio 0.8134, byte miss ratio 0.8134
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size     1725, 2593251 req, miss ratio 0.6058, byte miss ratio 0.6058
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size     5752, 2593251 req, miss ratio 0.2885, byte miss ratio 0.2885
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size    11505, 2593251 req, miss ratio 0.1440, byte miss ratio 0.1440
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size    23010, 2593251 req, miss ratio 0.0643, byte miss ratio 0.0643
cdn1_colo28.ns5960 S3FIFO-0.9900-0.9000 cache size    46020, 2593251 req, miss ratio 0.0299, byte miss ratio 0.0299
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size       57, 2593251 req, miss ratio 0.9256, byte miss ratio 0.9256
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size      172, 2593251 req, miss ratio 0.8491, byte miss ratio 0.8491
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size      575, 2593251 req, miss ratio 0.6829, byte miss ratio 0.6829
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size     1725, 2593251 req, miss ratio 0.4519, byte miss ratio 0.4519
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size     5752, 2593251 req, miss ratio 0.1795, byte miss ratio 0.1795
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size    11505, 2593251 req, miss ratio 0.0800, byte miss ratio 0.0800
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size    23010, 2593251 req, miss ratio 0.0381, byte miss ratio 0.0381
cdn1_colo28.ns5960 S3FIFO-0.0500-1.9000 cache size    46020, 2593251 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size       57, 2593251 req, miss ratio 0.9576, byte miss ratio 0.9576
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size      172, 2593251 req, miss ratio 0.9177, byte miss ratio 0.9177
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size      575, 2593251 req, miss ratio 0.8092, byte miss ratio 0.8092
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size     1725, 2593251 req, miss ratio 0.6011, byte miss ratio 0.6011
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size     5752, 2593251 req, miss ratio 0.2843, byte miss ratio 0.2843
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size    11505, 2593251 req, miss ratio 0.1407, byte miss ratio 0.1407
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size    23010, 2593251 req, miss ratio 0.0625, byte miss ratio 0.0625
cdn1_colo28.ns5960 S3FIFO-0.9500-0.9000 cache size    46020, 2593251 req, miss ratio 0.0293, byte miss ratio 0.0293
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size       57, 2593251 req, miss ratio 0.9591, byte miss ratio 0.9591
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size      172, 2593251 req, miss ratio 0.9220, byte miss ratio 0.9220
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size      575, 2593251 req, miss ratio 0.8161, byte miss ratio 0.8161
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size     1725, 2593251 req, miss ratio 0.5980, byte miss ratio 0.5980
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size     5752, 2593251 req, miss ratio 0.2798, byte miss ratio 0.2798
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size    11505, 2593251 req, miss ratio 0.1393, byte miss ratio 0.1393
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size    23010, 2593251 req, miss ratio 0.0643, byte miss ratio 0.0643
cdn1_colo28.ns5960 S3FIFO-0.9900-1.9000 cache size    46020, 2593251 req, miss ratio 0.0299, byte miss ratio 0.0299
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size       57, 2593251 req, miss ratio 0.9313, byte miss ratio 0.9313
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size      172, 2593251 req, miss ratio 0.8576, byte miss ratio 0.8576
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size      575, 2593251 req, miss ratio 0.6959, byte miss ratio 0.6959
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size     1725, 2593251 req, miss ratio 0.4679, byte miss ratio 0.4679
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size     5752, 2593251 req, miss ratio 0.1955, byte miss ratio 0.1955
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size    11505, 2593251 req, miss ratio 0.0887, byte miss ratio 0.0887
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size    23010, 2593251 req, miss ratio 0.0411, byte miss ratio 0.0411
cdn1_colo28.ns5960 S3FIFO-0.2500-0.9000 cache size    46020, 2593251 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size       57, 2593251 req, miss ratio 0.9337, byte miss ratio 0.9337
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size      172, 2593251 req, miss ratio 0.8646, byte miss ratio 0.8646
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size      575, 2593251 req, miss ratio 0.7111, byte miss ratio 0.7111
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size     1725, 2593251 req, miss ratio 0.4826, byte miss ratio 0.4826
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size     5752, 2593251 req, miss ratio 0.1990, byte miss ratio 0.1990
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size    11505, 2593251 req, miss ratio 0.0896, byte miss ratio 0.0896
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size    23010, 2593251 req, miss ratio 0.0411, byte miss ratio 0.0411
cdn1_colo28.ns5960 S3FIFO-0.2500-1.9000 cache size    46020, 2593251 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size       57, 2593251 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size      172, 2593251 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size      575, 2593251 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size     1725, 2593251 req, miss ratio 0.4459, byte miss ratio 0.4459
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size     5752, 2593251 req, miss ratio 0.1754, byte miss ratio 0.1754
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size    11505, 2593251 req, miss ratio 0.0784, byte miss ratio 0.0784
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size    23010, 2593251 req, miss ratio 0.0377, byte miss ratio 0.0377
cdn1_colo28.ns5960 S3FIFO-0.0010-1.9000 cache size    46020, 2593251 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size       57, 2593251 req, miss ratio 0.9388, byte miss ratio 0.9388
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size      172, 2593251 req, miss ratio 0.8747, byte miss ratio 0.8747
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size      575, 2593251 req, miss ratio 0.7283, byte miss ratio 0.7283
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size     1725, 2593251 req, miss ratio 0.5042, byte miss ratio 0.5042
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size     5752, 2593251 req, miss ratio 0.2192, byte miss ratio 0.2192
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size    11505, 2593251 req, miss ratio 0.1014, byte miss ratio 0.1014
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size    23010, 2593251 req, miss ratio 0.0452, byte miss ratio 0.0452
cdn1_colo28.ns5960 S3FIFO-0.4500-0.9000 cache size    46020, 2593251 req, miss ratio 0.0239, byte miss ratio 0.0239
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size       57, 2593251 req, miss ratio 0.9470, byte miss ratio 0.9470
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size      172, 2593251 req, miss ratio 0.8926, byte miss ratio 0.8926
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size      575, 2593251 req, miss ratio 0.7622, byte miss ratio 0.7622
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size     1725, 2593251 req, miss ratio 0.5444, byte miss ratio 0.5444
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size     5752, 2593251 req, miss ratio 0.2437, byte miss ratio 0.2437
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size    11505, 2593251 req, miss ratio 0.1157, byte miss ratio 0.1157
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size    23010, 2593251 req, miss ratio 0.0509, byte miss ratio 0.0509
cdn1_colo28.ns5960 S3FIFO-0.6500-0.9000 cache size    46020, 2593251 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size       57, 2593251 req, miss ratio 0.9582, byte miss ratio 0.9582
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size      172, 2593251 req, miss ratio 0.9199, byte miss ratio 0.9199
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size      575, 2593251 req, miss ratio 0.8127, byte miss ratio 0.8127
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size     1725, 2593251 req, miss ratio 0.5948, byte miss ratio 0.5948
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size     5752, 2593251 req, miss ratio 0.2764, byte miss ratio 0.2764
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size    11505, 2593251 req, miss ratio 0.1363, byte miss ratio 0.1363
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size    23010, 2593251 req, miss ratio 0.0625, byte miss ratio 0.0625
cdn1_colo28.ns5960 S3FIFO-0.9500-1.9000 cache size    46020, 2593251 req, miss ratio 0.0293, byte miss ratio 0.0293
cdn1_colo28.ns5960 S3FIFO-0.9000-0.9000 cache size       57, 2593251 req, miss ratio 0.9558, byte miss ratio 0.9558
