cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     1185, 1994940 req, miss ratio 0.6169, byte miss ratio 0.6169
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size     3555, 1994940 req, miss ratio 0.6025, byte miss ratio 0.6025
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5954, byte miss ratio 0.5954
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     1185, 1994940 req, miss ratio 0.6046, byte miss ratio 0.6046
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     3555, 1994940 req, miss ratio 0.5985, byte miss ratio 0.5985
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    11851, 1994940 req, miss ratio 0.5968, byte miss ratio 0.5968
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size    35553, 1994940 req, miss ratio 0.5955, byte miss ratio 0.5955
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   118510, 1994940 req, miss ratio 0.5948, byte miss ratio 0.5948
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   237020, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   474041, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     1185, 1994940 req, miss ratio 0.6025, byte miss ratio 0.6025
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size     3555, 1994940 req, miss ratio 0.5970, byte miss ratio 0.5970
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    11851, 1994940 req, miss ratio 0.5958, byte miss ratio 0.5958
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size    35553, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.6500-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     1185, 1994940 req, miss ratio 0.6496, byte miss ratio 0.6496
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     3555, 1994940 req, miss ratio 0.6271, byte miss ratio 0.6271
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    11851, 1994940 req, miss ratio 0.6117, byte miss ratio 0.6117
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    35553, 1994940 req, miss ratio 0.5973, byte miss ratio 0.5973
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
