io_traces.ns322 S3FIFO-0.4500-1.9000 cache size      242, 3600000 req, miss ratio 0.5880, byte miss ratio 0.5880
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size      727, 3600000 req, miss ratio 0.5350, byte miss ratio 0.5350
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size     2424, 3600000 req, miss ratio 0.5255, byte miss ratio 0.5255
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size     7272, 3600000 req, miss ratio 0.5170, byte miss ratio 0.5170
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size    24242, 3600000 req, miss ratio 0.4814, byte miss ratio 0.4814
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size    48484, 3600000 req, miss ratio 0.3075, byte miss ratio 0.3075
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size    96968, 3600000 req, miss ratio 0.1114, byte miss ratio 0.1114
io_traces.ns322 S3FIFO-0.4500-1.9000 cache size   193936, 3600000 req, miss ratio 0.0693, byte miss ratio 0.0693
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size      242, 3600000 req, miss ratio 0.5725, byte miss ratio 0.5725
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size      727, 3600000 req, miss ratio 0.5342, byte miss ratio 0.5342
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size     2424, 3600000 req, miss ratio 0.5259, byte miss ratio 0.5259
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size     7272, 3600000 req, miss ratio 0.5153, byte miss ratio 0.5153
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size    24242, 3600000 req, miss ratio 0.4747, byte miss ratio 0.4747
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size    48484, 3600000 req, miss ratio 0.3079, byte miss ratio 0.3079
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size    96968, 3600000 req, miss ratio 0.1035, byte miss ratio 0.1035
io_traces.ns322 S3FIFO-0.3000-1.9000 cache size   193936, 3600000 req, miss ratio 0.0691, byte miss ratio 0.0691
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size      242, 3600000 req, miss ratio 0.5613, byte miss ratio 0.5613
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size      727, 3600000 req, miss ratio 0.5364, byte miss ratio 0.5364
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size     2424, 3600000 req, miss ratio 0.5295, byte miss ratio 0.5295
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size     7272, 3600000 req, miss ratio 0.5145, byte miss ratio 0.5145
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size    24242, 3600000 req, miss ratio 0.3969, byte miss ratio 0.3969
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size    48484, 3600000 req, miss ratio 0.2189, byte miss ratio 0.2189
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size    96968, 3600000 req, miss ratio 0.0927, byte miss ratio 0.0927
io_traces.ns322 S3FIFO-0.0250-1.9000 cache size   193936, 3600000 req, miss ratio 0.0691, byte miss ratio 0.0691
io_traces.ns322 S3FIFO-0.1000-1.9000 cache size      242, 3600000 req, miss ratio 0.5610, byte miss ratio 0.5610
io_traces.ns322 S3FIFO-0.1000-1.9000 cache size      727, 3600000 req, miss ratio 0.5349, byte miss ratio 0.5349
