tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size     1149, 8090856 req, miss ratio 0.5809, byte miss ratio 0.5809
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size     3449, 8090856 req, miss ratio 0.4335, byte miss ratio 0.4335
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size    11499, 8090856 req, miss ratio 0.3549, byte miss ratio 0.3549
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size    34497, 8090856 req, miss ratio 0.2968, byte miss ratio 0.2968
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size   114992, 8090856 req, miss ratio 0.2186, byte miss ratio 0.2186
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size   229985, 8090856 req, miss ratio 0.1780, byte miss ratio 0.1780
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size   459970, 8090856 req, miss ratio 0.1535, byte miss ratio 0.1535
tencentBlock.ns13912 S3FIFO-0.8500-1.9000 cache size   919940, 8090856 req, miss ratio 0.1435, byte miss ratio 0.1435
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size     1149, 8090856 req, miss ratio 0.5041, byte miss ratio 0.5041
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size     3449, 8090856 req, miss ratio 0.3688, byte miss ratio 0.3688
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size    11499, 8090856 req, miss ratio 0.3346, byte miss ratio 0.3346
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size    34497, 8090856 req, miss ratio 0.2847, byte miss ratio 0.2847
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size   114992, 8090856 req, miss ratio 0.1890, byte miss ratio 0.1890
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size   229985, 8090856 req, miss ratio 0.1585, byte miss ratio 0.1585
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size   459970, 8090856 req, miss ratio 0.1455, byte miss ratio 0.1455
tencentBlock.ns13912 S3FIFO-0.4000-0.9000 cache size   919940, 8090856 req, miss ratio 0.1425, byte miss ratio 0.1425
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size     1149, 8090856 req, miss ratio 0.4625, byte miss ratio 0.4625
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size     3449, 8090856 req, miss ratio 0.3977, byte miss ratio 0.3977
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size    11499, 8090856 req, miss ratio 0.3606, byte miss ratio 0.3606
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size    34497, 8090856 req, miss ratio 0.3077, byte miss ratio 0.3077
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size   114992, 8090856 req, miss ratio 0.2064, byte miss ratio 0.2064
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size   229985, 8090856 req, miss ratio 0.1727, byte miss ratio 0.1727
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size   459970, 8090856 req, miss ratio 0.1538, byte miss ratio 0.1538
tencentBlock.ns13912 S3FIFO-0.0010-1.9000 cache size   919940, 8090856 req, miss ratio 0.1425, byte miss ratio 0.1425
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size     1149, 8090856 req, miss ratio 0.4590, byte miss ratio 0.4590
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size     3449, 8090856 req, miss ratio 0.3713, byte miss ratio 0.3713
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size    11499, 8090856 req, miss ratio 0.3403, byte miss ratio 0.3403
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size    34497, 8090856 req, miss ratio 0.2868, byte miss ratio 0.2868
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size   114992, 8090856 req, miss ratio 0.1930, byte miss ratio 0.1930
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size   229985, 8090856 req, miss ratio 0.1596, byte miss ratio 0.1596
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size   459970, 8090856 req, miss ratio 0.1470, byte miss ratio 0.1470
tencentBlock.ns13912 S3FIFO-0.0500-0.9000 cache size   919940, 8090856 req, miss ratio 0.1425, byte miss ratio 0.1425
