cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size     1358, 4104427 req, miss ratio 0.4310, byte miss ratio 0.4310
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size     4074, 4104427 req, miss ratio 0.4209, byte miss ratio 0.4209
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size    13581, 4104427 req, miss ratio 0.4066, byte miss ratio 0.4066
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size    40744, 4104427 req, miss ratio 0.3915, byte miss ratio 0.3915
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size   135814, 4104427 req, miss ratio 0.3700, byte miss ratio 0.3700
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size   271629, 4104427 req, miss ratio 0.3565, byte miss ratio 0.3565
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size   543259, 4104427 req, miss ratio 0.3443, byte miss ratio 0.3443
cdn1_colo28.ns1274 S3FIFO-0.6500-1.9000 cache size  1086519, 4104427 req, miss ratio 0.3332, byte miss ratio 0.3332
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size     1358, 4104427 req, miss ratio 0.4315, byte miss ratio 0.4315
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size     4074, 4104427 req, miss ratio 0.4214, byte miss ratio 0.4214
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size    13581, 4104427 req, miss ratio 0.4072, byte miss ratio 0.4072
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size    40744, 4104427 req, miss ratio 0.3922, byte miss ratio 0.3922
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size   135814, 4104427 req, miss ratio 0.3708, byte miss ratio 0.3708
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size   271629, 4104427 req, miss ratio 0.3571, byte miss ratio 0.3571
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size   543259, 4104427 req, miss ratio 0.3446, byte miss ratio 0.3446
cdn1_colo28.ns1274 S3FIFO-0.7000-1.9000 cache size  1086519, 4104427 req, miss ratio 0.3333, byte miss ratio 0.3333
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size     1358, 4104427 req, miss ratio 0.4323, byte miss ratio 0.4323
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size     4074, 4104427 req, miss ratio 0.4223, byte miss ratio 0.4223
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size    13581, 4104427 req, miss ratio 0.4084, byte miss ratio 0.4084
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size    40744, 4104427 req, miss ratio 0.3935, byte miss ratio 0.3935
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size   135814, 4104427 req, miss ratio 0.3724, byte miss ratio 0.3724
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size   271629, 4104427 req, miss ratio 0.3584, byte miss ratio 0.3584
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size   543259, 4104427 req, miss ratio 0.3454, byte miss ratio 0.3454
cdn1_colo28.ns1274 S3FIFO-0.8000-0.9000 cache size  1086519, 4104427 req, miss ratio 0.3334, byte miss ratio 0.3334
cdn1_colo28.ns1274 S3FIFO-0.9500-1.9000 cache size     1358, 4104427 req, miss ratio 0.4348, byte miss ratio 0.4348
cdn1_colo28.ns1274 S3FIFO-0.9500-1.9000 cache size     4074, 4104427 req, miss ratio 0.4238, byte miss ratio 0.4238
cdn1_colo28.ns1274 S3FIFO-0.9500-1.9000 cache size    13581, 4104427 req, miss ratio 0.4103, byte miss ratio 0.4103
