guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size     4077, 15433112 req, miss ratio 0.2068, byte miss ratio 0.2068
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size    13592, 15433112 req, miss ratio 0.1355, byte miss ratio 0.1355
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size    40777, 15433112 req, miss ratio 0.1055, byte miss ratio 0.1055
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size   135924, 15433112 req, miss ratio 0.0895, byte miss ratio 0.0895
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.3000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size     1359, 15433112 req, miss ratio 0.3585, byte miss ratio 0.3585
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size     4077, 15433112 req, miss ratio 0.1967, byte miss ratio 0.1967
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size    13592, 15433112 req, miss ratio 0.1310, byte miss ratio 0.1310
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size    40777, 15433112 req, miss ratio 0.1036, byte miss ratio 0.1036
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   135924, 15433112 req, miss ratio 0.0896, byte miss ratio 0.0896
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-0.4000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size     1359, 15433112 req, miss ratio 0.3580, byte miss ratio 0.3580
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size     4077, 15433112 req, miss ratio 0.1958, byte miss ratio 0.1958
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size    13592, 15433112 req, miss ratio 0.1304, byte miss ratio 0.1304
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size    40777, 15433112 req, miss ratio 0.1034, byte miss ratio 0.1034
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size   135924, 15433112 req, miss ratio 0.0897, byte miss ratio 0.0897
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size   271848, 15433112 req, miss ratio 0.0882, byte miss ratio 0.0882
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.4000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size     1359, 15433112 req, miss ratio 0.4107, byte miss ratio 0.4107
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size     4077, 15433112 req, miss ratio 0.2359, byte miss ratio 0.2359
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size    13592, 15433112 req, miss ratio 0.1443, byte miss ratio 0.1443
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-0.2000 cache size    40777, 15433112 req, miss ratio 0.1065, byte miss ratio 0.1065
