io_traces.ns97 S3FIFO-0.9000-1.9000 cache size     1627, 18800000 req, miss ratio 0.1260, byte miss ratio 0.1260
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size     4881, 18800000 req, miss ratio 0.1167, byte miss ratio 0.1167
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size    16271, 18800000 req, miss ratio 0.1148, byte miss ratio 0.1148
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size    48813, 18800000 req, miss ratio 0.1100, byte miss ratio 0.1100
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size   162711, 18800000 req, miss ratio 0.1053, byte miss ratio 0.1053
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size   325423, 18800000 req, miss ratio 0.1002, byte miss ratio 0.1002
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size   650847, 18800000 req, miss ratio 0.0937, byte miss ratio 0.0937
io_traces.ns97 S3FIFO-0.9000-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size     1627, 18800000 req, miss ratio 0.1169, byte miss ratio 0.1169
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size     4881, 18800000 req, miss ratio 0.1151, byte miss ratio 0.1151
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size    16271, 18800000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size    48813, 18800000 req, miss ratio 0.1085, byte miss ratio 0.1085
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size   162711, 18800000 req, miss ratio 0.1012, byte miss ratio 0.1012
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size   325423, 18800000 req, miss ratio 0.0969, byte miss ratio 0.0969
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.6500-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size     1627, 18800000 req, miss ratio 0.1192, byte miss ratio 0.1192
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size     4881, 18800000 req, miss ratio 0.1158, byte miss ratio 0.1158
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size    16271, 18800000 req, miss ratio 0.1118, byte miss ratio 0.1118
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size    48813, 18800000 req, miss ratio 0.1094, byte miss ratio 0.1094
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size   162711, 18800000 req, miss ratio 0.1030, byte miss ratio 0.1030
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size   325423, 18800000 req, miss ratio 0.0983, byte miss ratio 0.0983
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size   650847, 18800000 req, miss ratio 0.0925, byte miss ratio 0.0925
io_traces.ns97 S3FIFO-0.8000-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size     1627, 18800000 req, miss ratio 0.1208, byte miss ratio 0.1208
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size     4881, 18800000 req, miss ratio 0.1191, byte miss ratio 0.1191
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size    16271, 18800000 req, miss ratio 0.1133, byte miss ratio 0.1133
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size    48813, 18800000 req, miss ratio 0.1070, byte miss ratio 0.1070
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size   162711, 18800000 req, miss ratio 0.0991, byte miss ratio 0.0991
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size   325423, 18800000 req, miss ratio 0.0959, byte miss ratio 0.0959
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.0010-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size     1627, 18800000 req, miss ratio 0.1174, byte miss ratio 0.1174
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size     4881, 18800000 req, miss ratio 0.1154, byte miss ratio 0.1154
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size    16271, 18800000 req, miss ratio 0.1112, byte miss ratio 0.1112
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size    48813, 18800000 req, miss ratio 0.1088, byte miss ratio 0.1088
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size   162711, 18800000 req, miss ratio 0.1012, byte miss ratio 0.1012
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size   325423, 18800000 req, miss ratio 0.0969, byte miss ratio 0.0969
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size   650847, 18800000 req, miss ratio 0.0920, byte miss ratio 0.0920
io_traces.ns97 S3FIFO-0.7000-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size     1627, 18800000 req, miss ratio 0.1169, byte miss ratio 0.1169
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size     4881, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size    16271, 18800000 req, miss ratio 0.1110, byte miss ratio 0.1110
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size    48813, 18800000 req, miss ratio 0.1087, byte miss ratio 0.1087
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size   162711, 18800000 req, miss ratio 0.1007, byte miss ratio 0.1007
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size   325423, 18800000 req, miss ratio 0.0965, byte miss ratio 0.0965
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.6500-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size     1627, 18800000 req, miss ratio 0.1174, byte miss ratio 0.1174
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size     4881, 18800000 req, miss ratio 0.1154, byte miss ratio 0.1154
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size    16271, 18800000 req, miss ratio 0.1111, byte miss ratio 0.1111
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size    48813, 18800000 req, miss ratio 0.1089, byte miss ratio 0.1089
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size   162711, 18800000 req, miss ratio 0.1017, byte miss ratio 0.1017
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size   325423, 18800000 req, miss ratio 0.0974, byte miss ratio 0.0974
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size   650847, 18800000 req, miss ratio 0.0921, byte miss ratio 0.0921
io_traces.ns97 S3FIFO-0.7000-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size     1627, 18800000 req, miss ratio 0.1209, byte miss ratio 0.1209
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size     4881, 18800000 req, miss ratio 0.1191, byte miss ratio 0.1191
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size    16271, 18800000 req, miss ratio 0.1137, byte miss ratio 0.1137
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size    48813, 18800000 req, miss ratio 0.1074, byte miss ratio 0.1074
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size   162711, 18800000 req, miss ratio 0.0995, byte miss ratio 0.0995
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size   325423, 18800000 req, miss ratio 0.0962, byte miss ratio 0.0962
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.0010-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size     1627, 18800000 req, miss ratio 0.1326, byte miss ratio 0.1326
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size     4881, 18800000 req, miss ratio 0.1181, byte miss ratio 0.1181
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size    16271, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size    48813, 18800000 req, miss ratio 0.1105, byte miss ratio 0.1105
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size   162711, 18800000 req, miss ratio 0.1056, byte miss ratio 0.1056
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size   325423, 18800000 req, miss ratio 0.1014, byte miss ratio 0.1014
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size   650847, 18800000 req, miss ratio 0.0946, byte miss ratio 0.0946
io_traces.ns97 S3FIFO-0.9500-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0872, byte miss ratio 0.0872
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size     1627, 18800000 req, miss ratio 0.1211, byte miss ratio 0.1211
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size     4881, 18800000 req, miss ratio 0.1161, byte miss ratio 0.1161
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size    16271, 18800000 req, miss ratio 0.1124, byte miss ratio 0.1124
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size    48813, 18800000 req, miss ratio 0.1097, byte miss ratio 0.1097
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size   162711, 18800000 req, miss ratio 0.1040, byte miss ratio 0.1040
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size   325423, 18800000 req, miss ratio 0.0990, byte miss ratio 0.0990
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size   650847, 18800000 req, miss ratio 0.0930, byte miss ratio 0.0930
io_traces.ns97 S3FIFO-0.8500-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size     1627, 18800000 req, miss ratio 0.1209, byte miss ratio 0.1209
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size     4881, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size    16271, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size    48813, 18800000 req, miss ratio 0.1070, byte miss ratio 0.1070
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size   162711, 18800000 req, miss ratio 0.0995, byte miss ratio 0.0995
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size   325423, 18800000 req, miss ratio 0.0962, byte miss ratio 0.0962
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.0100-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size     1627, 18800000 req, miss ratio 0.1259, byte miss ratio 0.1259
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size     4881, 18800000 req, miss ratio 0.1167, byte miss ratio 0.1167
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size    16271, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size    48813, 18800000 req, miss ratio 0.1098, byte miss ratio 0.1098
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size   162711, 18800000 req, miss ratio 0.1051, byte miss ratio 0.1051
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size   325423, 18800000 req, miss ratio 0.0997, byte miss ratio 0.0997
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size   650847, 18800000 req, miss ratio 0.0937, byte miss ratio 0.0937
io_traces.ns97 S3FIFO-0.9000-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size     1627, 18800000 req, miss ratio 0.1160, byte miss ratio 0.1160
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size     4881, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size    16271, 18800000 req, miss ratio 0.1096, byte miss ratio 0.1096
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size    48813, 18800000 req, miss ratio 0.1068, byte miss ratio 0.1068
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size   162711, 18800000 req, miss ratio 0.0992, byte miss ratio 0.0992
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size   325423, 18800000 req, miss ratio 0.0959, byte miss ratio 0.0959
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size   650847, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
io_traces.ns97 S3FIFO-0.1500-1.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size     1627, 18800000 req, miss ratio 0.1210, byte miss ratio 0.1210
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size     4881, 18800000 req, miss ratio 0.1161, byte miss ratio 0.1161
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size    16271, 18800000 req, miss ratio 0.1123, byte miss ratio 0.1123
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size    48813, 18800000 req, miss ratio 0.1095, byte miss ratio 0.1095
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size   162711, 18800000 req, miss ratio 0.1035, byte miss ratio 0.1035
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size   325423, 18800000 req, miss ratio 0.0985, byte miss ratio 0.0985
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size   650847, 18800000 req, miss ratio 0.0930, byte miss ratio 0.0930
io_traces.ns97 S3FIFO-0.8500-0.9000 cache size  1301695, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size     1627, 18800000 req, miss ratio 0.1192, byte miss ratio 0.1192
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size     4881, 18800000 req, miss ratio 0.1158, byte miss ratio 0.1158
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size    16271, 18800000 req, miss ratio 0.1118, byte miss ratio 0.1118
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size    48813, 18800000 req, miss ratio 0.1093, byte miss ratio 0.1093
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size   162711, 18800000 req, miss ratio 0.1023, byte miss ratio 0.1023
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size   325423, 18800000 req, miss ratio 0.0978, byte miss ratio 0.0978
io_traces.ns97 S3FIFO-0.8000-0.9000 cache size   650847, 18800000 req, miss ratio 0.0925, byte miss ratio 0.0925
